course_id,course_name,platform,provider,difficulty,duration_hours,language,certificate,price,rating,skill_id,role_id,course_url
COURSE0053,Vue.js Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK027,ROLE027,https://example.com/course/53
COURSE0054,Vue.js Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK027,ROLE027,https://example.com/course/54
COURSE0055,Next.js Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK028,ROLE028,https://example.com/course/55
COURSE0056,Next.js Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK028,ROLE028,https://example.com/course/56
COURSE0057,Express.js Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK029,ROLE029,https://example.com/course/57
COURSE0058,Express.js Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK029,ROLE029,https://example.com/course/58
COURSE0059,Node.js Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK030,ROLE030,https://example.com/course/59
COURSE0060,Node.js Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK030,ROLE030,https://example.com/course/60
COURSE0061,REST API Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK031,ROLE031,https://example.com/course/61
COURSE0062,REST API Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK031,ROLE031,https://example.com/course/62
COURSE0063,GraphQL Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK032,ROLE032,https://example.com/course/63
COURSE0064,GraphQL Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK032,ROLE032,https://example.com/course/64
COURSE0065,AJAX Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK033,ROLE033,https://example.com/course/65
COURSE0066,AJAX Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK033,ROLE033,https://example.com/course/66
COURSE0067,JSON Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK034,ROLE034,https://example.com/course/67
COURSE0068,JSON Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK034,ROLE034,https://example.com/course/68
COURSE0069,XML Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK035,ROLE035,https://example.com/course/69
COURSE0070,XML Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK035,ROLE035,https://example.com/course/70
COURSE0071,JWT Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK036,ROLE036,https://example.com/course/71
COURSE0072,JWT Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK036,ROLE036,https://example.com/course/72
COURSE0073,OAuth Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK037,ROLE037,https://example.com/course/73
COURSE0074,OAuth Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK037,ROLE037,https://example.com/course/74
COURSE0075,Redux Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK038,ROLE038,https://example.com/course/75
COURSE0076,Redux Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK038,ROLE038,https://example.com/course/76
COURSE0077,Webpack Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK039,ROLE039,https://example.com/course/77
COURSE0078,Webpack Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK039,ROLE039,https://example.com/course/78
COURSE0079,Vite Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK040,ROLE040,https://example.com/course/79
COURSE0080,Vite Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK040,ROLE040,https://example.com/course/80
COURSE0081,Responsive Design Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK041,ROLE041,https://example.com/course/81
COURSE0082,Responsive Design Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK041,ROLE041,https://example.com/course/82
COURSE0083,Web Security Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK042,ROLE042,https://example.com/course/83
COURSE0084,Web Security Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK042,ROLE042,https://example.com/course/84
COURSE0085,Authentication Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK043,ROLE043,https://example.com/course/85
COURSE0086,Authentication Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK043,ROLE043,https://example.com/course/86
COURSE0087,Authorization Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK044,ROLE044,https://example.com/course/87
COURSE0088,Authorization Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK044,ROLE044,https://example.com/course/88
COURSE0089,SSR Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK045,ROLE045,https://example.com/course/89
COURSE0090,SSR Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK045,ROLE045,https://example.com/course/90
COURSE0091,SPA Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK046,ROLE046,https://example.com/course/91
COURSE0092,SPA Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK046,ROLE046,https://example.com/course/92
COURSE0093,Micro Frontends Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK047,ROLE047,https://example.com/course/93
COURSE0094,Micro Frontends Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK047,ROLE047,https://example.com/course/94
COURSE0095,PWA Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK048,ROLE048,https://example.com/course/95
COURSE0096,PWA Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK048,ROLE048,https://example.com/course/96
COURSE0097,Nginx Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK049,ROLE049,https://example.com/course/97
COURSE0098,Nginx Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK049,ROLE049,https://example.com/course/98
COURSE0099,Apache Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK050,ROLE050,https://example.com/course/99
COURSE0100,Apache Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK050,ROLE050,https://example.com/course/100
COURSE0101,Machine Learning Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK051,ROLE051,https://example.com/course/101
COURSE0102,Machine Learning Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK051,ROLE051,https://example.com/course/102
COURSE0103,Deep Learning Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK052,ROLE052,https://example.com/course/103
COURSE0104,Deep Learning Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK052,ROLE052,https://example.com/course/104
COURSE0105,NLP Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK053,ROLE053,https://example.com/course/105
COURSE0106,NLP Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK053,ROLE053,https://example.com/course/106
COURSE0107,Computer Vision Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK054,ROLE054,https://example.com/course/107
COURSE0108,Computer Vision Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK054,ROLE054,https://example.com/course/108
COURSE0109,Generative AI Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK055,ROLE055,https://example.com/course/109
COURSE0110,Generative AI Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK055,ROLE055,https://example.com/course/110
COURSE0111,Prompt Engineering Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK056,ROLE056,https://example.com/course/111
COURSE0112,Prompt Engineering Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK056,ROLE056,https://example.com/course/112
COURSE0113,LLMs Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK057,ROLE057,https://example.com/course/113
COURSE0114,LLMs Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK057,ROLE057,https://example.com/course/114
COURSE0115,RAG Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK058,ROLE058,https://example.com/course/115
COURSE0116,RAG Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK058,ROLE058,https://example.com/course/116
COURSE0117,LangChain Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK059,ROLE059,https://example.com/course/117
COURSE0118,LangChain Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK059,ROLE059,https://example.com/course/118
COURSE0119,LlamaIndex Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK060,ROLE060,https://example.com/course/119
COURSE0120,LlamaIndex Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK060,ROLE060,https://example.com/course/120
COURSE0121,Vector Database Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK061,ROLE001,https://example.com/course/121
COURSE0122,Vector Database Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK061,ROLE001,https://example.com/course/122
COURSE0123,Embeddings Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK062,ROLE002,https://example.com/course/123
COURSE0124,Embeddings Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK062,ROLE002,https://example.com/course/124
COURSE0125,Neural Networks Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK063,ROLE003,https://example.com/course/125
COURSE0126,Neural Networks Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK063,ROLE003,https://example.com/course/126
COURSE0127,TensorFlow Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK064,ROLE004,https://example.com/course/127
COURSE0128,TensorFlow Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK064,ROLE004,https://example.com/course/128
COURSE0129,PyTorch Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK065,ROLE005,https://example.com/course/129
COURSE0130,PyTorch Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK065,ROLE005,https://example.com/course/130
COURSE0131,Keras Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK066,ROLE006,https://example.com/course/131
COURSE0132,Keras Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK066,ROLE006,https://example.com/course/132
COURSE0133,Scikit-learn Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK067,ROLE007,https://example.com/course/133
COURSE0134,Scikit-learn Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK067,ROLE007,https://example.com/course/134
COURSE0135,XGBoost Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK068,ROLE008,https://example.com/course/135
COURSE0136,XGBoost Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK068,ROLE008,https://example.com/course/136
COURSE0137,LightGBM Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK069,ROLE009,https://example.com/course/137
COURSE0138,LightGBM Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK069,ROLE009,https://example.com/course/138
COURSE0139,OpenCV Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK070,ROLE010,https://example.com/course/139
COURSE0140,OpenCV Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK070,ROLE010,https://example.com/course/140
COURSE0141,Hugging Face Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK071,ROLE011,https://example.com/course/141
COURSE0142,Hugging Face Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK071,ROLE011,https://example.com/course/142
COURSE0143,Transformers Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK072,ROLE012,https://example.com/course/143
COURSE0144,Transformers Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK072,ROLE012,https://example.com/course/144
COURSE0145,Model Fine-tuning Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK073,ROLE013,https://example.com/course/145
COURSE0146,Model Fine-tuning Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK073,ROLE013,https://example.com/course/146
COURSE0147,RLHF Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK074,ROLE014,https://example.com/course/147
COURSE0148,RLHF Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK074,ROLE014,https://example.com/course/148
COURSE0149,Diffusion Models Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK075,ROLE015,https://example.com/course/149
COURSE0150,Diffusion Models Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK075,ROLE015,https://example.com/course/150
COURSE0151,GAN Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK076,ROLE016,https://example.com/course/151
COURSE0152,GAN Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK076,ROLE016,https://example.com/course/152
COURSE0153,Recommendation Systems Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK077,ROLE017,https://example.com/course/153
COURSE0154,Recommendation Systems Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK077,ROLE017,https://example.com/course/154
COURSE0155,Time Series Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK078,ROLE018,https://example.com/course/155
COURSE0156,Time Series Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK078,ROLE018,https://example.com/course/156
COURSE0157,Feature Engineering Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK079,ROLE019,https://example.com/course/157
COURSE0158,Feature Engineering Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK079,ROLE019,https://example.com/course/158
COURSE0159,Model Evaluation Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK080,ROLE020,https://example.com/course/159
COURSE0160,Model Evaluation Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK080,ROLE020,https://example.com/course/160
COURSE0161,Hyperparameter Tuning Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK081,ROLE021,https://example.com/course/161
COURSE0162,Hyperparameter Tuning Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK081,ROLE021,https://example.com/course/162
COURSE0163,MLOps Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK082,ROLE022,https://example.com/course/163
COURSE0164,MLOps Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK082,ROLE022,https://example.com/course/164
COURSE0165,MLflow Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK083,ROLE023,https://example.com/course/165
COURSE0166,MLflow Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK083,ROLE023,https://example.com/course/166
COURSE0167,FastAPI Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK084,ROLE024,https://example.com/course/167
COURSE0168,FastAPI Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK084,ROLE024,https://example.com/course/168
COURSE0169,ONNX Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK085,ROLE025,https://example.com/course/169
COURSE0170,ONNX Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK085,ROLE025,https://example.com/course/170
COURSE0171,AI Ethics Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK086,ROLE026,https://example.com/course/171
COURSE0172,AI Ethics Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK086,ROLE026,https://example.com/course/172
COURSE0173,Responsible AI Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK087,ROLE027,https://example.com/course/173
COURSE0174,Responsible AI Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK087,ROLE027,https://example.com/course/174
COURSE0175,Explainable AI Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK088,ROLE028,https://example.com/course/175
COURSE0176,Explainable AI Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK088,ROLE028,https://example.com/course/176
COURSE0177,Speech Recognition Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK089,ROLE029,https://example.com/course/177
COURSE0178,Speech Recognition Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK089,ROLE029,https://example.com/course/178
COURSE0179,OCR Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK090,ROLE030,https://example.com/course/179
COURSE0180,OCR Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK090,ROLE030,https://example.com/course/180
COURSE0181,NumPy Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK091,ROLE031,https://example.com/course/181
COURSE0182,NumPy Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK091,ROLE031,https://example.com/course/182
COURSE0183,Pandas Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK092,ROLE032,https://example.com/course/183
COURSE0184,Pandas Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK092,ROLE032,https://example.com/course/184
COURSE0185,Matplotlib Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK093,ROLE033,https://example.com/course/185
COURSE0186,Matplotlib Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK093,ROLE033,https://example.com/course/186
COURSE0187,Seaborn Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK094,ROLE034,https://example.com/course/187
COURSE0188,Seaborn Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK094,ROLE034,https://example.com/course/188
COURSE0189,Power BI Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK095,ROLE035,https://example.com/course/189
COURSE0190,Power BI Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK095,ROLE035,https://example.com/course/190
COURSE0191,Tableau Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK096,ROLE036,https://example.com/course/191
COURSE0192,Tableau Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK096,ROLE036,https://example.com/course/192
COURSE0193,Excel Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK097,ROLE037,https://example.com/course/193
COURSE0194,Excel Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK097,ROLE037,https://example.com/course/194
COURSE0195,Statistics Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK098,ROLE038,https://example.com/course/195
COURSE0196,Statistics Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK098,ROLE038,https://example.com/course/196
COURSE0197,Probability Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK099,ROLE039,https://example.com/course/197
COURSE0198,Probability Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK099,ROLE039,https://example.com/course/198
COURSE0199,Linear Algebra Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK100,ROLE040,https://example.com/course/199
COURSE0200,Linear Algebra Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK100,ROLE040,https://example.com/course/200
