roadmap_id,role_id,roadmap_type,week_number,day_range,topic,skill_id,course_id,project_id,milestone,estimated_hours
RM0020,ROLE001,90-Day,8,Day 50-56,Learning Module 8,SK009,COURSE0009,PROJ0009,Complete Week 8 objectives,10
RM0021,ROLE001,90-Day,9,Day 57-63,Learning Module 9,SK010,COURSE0010,PROJ0010,Complete Week 9 objectives,10
RM0022,ROLE001,90-Day,10,Day 64-70,Learning Module 10,SK011,COURSE0011,PROJ0011,Complete Week 10 objectives,10
RM0023,ROLE001,90-Day,11,Day 71-77,Learning Module 11,SK012,COURSE0012,PROJ0012,Complete Week 11 objectives,10
RM0024,ROLE001,90-Day,12,Day 78-84,Learning Module 12,SK013,COURSE0013,PROJ0013,Complete Week 12 objectives,10
RM0025,ROLE002,30-Day,1,Day 1-7,Learning Module 1,SK003,COURSE0003,PROJ0003,Complete Week 1 objectives,20
RM0026,ROLE002,30-Day,2,Day 8-14,Learning Module 2,SK005,COURSE0005,PROJ0005,Complete Week 2 objectives,20
RM0027,ROLE002,30-Day,3,Day 15-21,Learning Module 3,SK007,COURSE0007,PROJ0007,Complete Week 3 objectives,20
RM0028,ROLE002,30-Day,4,Day 22-28,Learning Module 4,SK009,COURSE0009,PROJ0009,Complete Week 4 objectives,20
RM0029,ROLE002,60-Day,1,Day 1-7,Learning Module 1,SK003,COURSE0003,PROJ0003,Complete Week 1 objectives,15
RM0030,ROLE002,60-Day,2,Day 8-14,Learning Module 2,SK005,COURSE0005,PROJ0005,Complete Week 2 objectives,15
RM0031,ROLE002,60-Day,3,Day 15-21,Learning Module 3,SK007,COURSE0007,PROJ0007,Complete Week 3 objectives,15
RM0032,ROLE002,60-Day,4,Day 22-28,Learning Module 4,SK009,COURSE0009,PROJ0009,Complete Week 4 objectives,15
RM0033,ROLE002,60-Day,5,Day 29-35,Learning Module 5,SK011,COURSE0011,PROJ0011,Complete Week 5 objectives,15
RM0034,ROLE002,60-Day,6,Day 36-42,Learning Module 6,SK013,COURSE0013,PROJ0013,Complete Week 6 objectives,15
RM0035,ROLE002,60-Day,7,Day 43-49,Learning Module 7,SK015,COURSE0015,PROJ0015,Complete Week 7 objectives,15
RM0036,ROLE002,60-Day,8,Day 50-56,Learning Module 8,SK017,COURSE0017,PROJ0017,Complete Week 8 objectives,15
RM0037,ROLE002,90-Day,1,Day 1-7,Learning Module 1,SK003,COURSE0003,PROJ0003,Complete Week 1 objectives,10
RM0038,ROLE002,90-Day,2,Day 8-14,Learning Module 2,SK005,COURSE0005,PROJ0005,Complete Week 2 objectives,10
RM0039,ROLE002,90-Day,3,Day 15-21,Learning Module 3,SK007,COURSE0007,PROJ0007,Complete Week 3 objectives,10
RM0040,ROLE002,90-Day,4,Day 22-28,Learning Module 4,SK009,COURSE0009,PROJ0009,Complete Week 4 objectives,10
RM0041,ROLE002,90-Day,5,Day 29-35,Learning Module 5,SK011,COURSE0011,PROJ0011,Complete Week 5 objectives,10
RM0042,ROLE002,90-Day,6,Day 36-42,Learning Module 6,SK013,COURSE0013,PROJ0013,Complete Week 6 objectives,10
RM0043,ROLE002,90-Day,7,Day 43-49,Learning Module 7,SK015,COURSE0015,PROJ0015,Complete Week 7 objectives,10
RM0044,ROLE002,90-Day,8,Day 50-56,Learning Module 8,SK017,COURSE0017,PROJ0017,Complete Week 8 objectives,10
RM0045,ROLE002,90-Day,9,Day 57-63,Learning Module 9,SK019,COURSE0019,PROJ0019,Complete Week 9 objectives,10
RM0046,ROLE002,90-Day,10,Day 64-70,Learning Module 10,SK021,COURSE0021,PROJ0021,Complete Week 10 objectives,10
RM0047,ROLE002,90-Day,11,Day 71-77,Learning Module 11,SK023,COURSE0023,PROJ0023,Complete Week 11 objectives,10
RM0048,ROLE002,90-Day,12,Day 78-84,Learning Module 12,SK025,COURSE0025,PROJ0025,Complete Week 12 objectives,10
RM0049,ROLE003,30-Day,1,Day 1-7,Learning Module 1,SK004,COURSE0004,PROJ0004,Complete Week 1 objectives,20
RM0050,ROLE003,30-Day,2,Day 8-14,Learning Module 2,SK007,COURSE0007,PROJ0007,Complete Week 2 objectives,20
RM0051,ROLE003,30-Day,3,Day 15-21,Learning Module 3,SK010,COURSE0010,PROJ0010,Complete Week 3 objectives,20
RM0052,ROLE003,30-Day,4,Day 22-28,Learning Module 4,SK013,COURSE0013,PROJ0013,Complete Week 4 objectives,20
RM0053,ROLE003,60-Day,1,Day 1-7,Learning Module 1,SK004,COURSE0004,PROJ0004,Complete Week 1 objectives,15
RM0054,ROLE003,60-Day,2,Day 8-14,Learning Module 2,SK007,COURSE0007,PROJ0007,Complete Week 2 objectives,15
RM0055,ROLE003,60-Day,3,Day 15-21,Learning Module 3,SK010,COURSE0010,PROJ0010,Complete Week 3 objectives,15
RM0056,ROLE003,60-Day,4,Day 22-28,Learning Module 4,SK013,COURSE0013,PROJ0013,Complete Week 4 objectives,15
RM0057,ROLE003,60-Day,5,Day 29-35,Learning Module 5,SK016,COURSE0016,PROJ0016,Complete Week 5 objectives,15
RM0058,ROLE003,60-Day,6,Day 36-42,Learning Module 6,SK019,COURSE0019,PROJ0019,Complete Week 6 objectives,15
RM0059,ROLE003,60-Day,7,Day 43-49,Learning Module 7,SK022,COURSE0022,PROJ0022,Complete Week 7 objectives,15
RM0060,ROLE003,60-Day,8,Day 50-56,Learning Module 8,SK025,COURSE0025,PROJ0025,Complete Week 8 objectives,15
RM0061,ROLE003,90-Day,1,Day 1-7,Learning Module 1,SK004,COURSE0004,PROJ0004,Complete Week 1 objectives,10
RM0062,ROLE003,90-Day,2,Day 8-14,Learning Module 2,SK007,COURSE0007,PROJ0007,Complete Week 2 objectives,10
RM0063,ROLE003,90-Day,3,Day 15-21,Learning Module 3,SK010,COURSE0010,PROJ0010,Complete Week 3 objectives,10
RM0064,ROLE003,90-Day,4,Day 22-28,Learning Module 4,SK013,COURSE0013,PROJ0013,Complete Week 4 objectives,10
RM0065,ROLE003,90-Day,5,Day 29-35,Learning Module 5,SK016,COURSE0016,PROJ0016,Complete Week 5 objectives,10
RM0066,ROLE003,90-Day,6,Day 36-42,Learning Module 6,SK019,COURSE0019,PROJ0019,Complete Week 6 objectives,10
RM0067,ROLE003,90-Day,7,Day 43-49,Learning Module 7,SK022,COURSE0022,PROJ0022,Complete Week 7 objectives,10
RM0068,ROLE003,90-Day,8,Day 50-56,Learning Module 8,SK025,COURSE0025,PROJ0025,Complete Week 8 objectives,10
RM0069,ROLE003,90-Day,9,Day 57-63,Learning Module 9,SK028,COURSE0028,PROJ0028,Complete Week 9 objectives,10
RM0070,ROLE003,90-Day,10,Day 64-70,Learning Module 10,SK031,COURSE0031,PROJ0031,Complete Week 10 objectives,10
RM0071,ROLE003,90-Day,11,Day 71-77,Learning Module 11,SK034,COURSE0034,PROJ0034,Complete Week 11 objectives,10
RM0072,ROLE003,90-Day,12,Day 78-84,Learning Module 12,SK037,COURSE0037,PROJ0037,Complete Week 12 objectives,10
RM0073,ROLE004,30-Day,1,Day 1-7,Learning Module 1,SK005,COURSE0005,PROJ0005,Complete Week 1 objectives,20
RM0074,ROLE004,30-Day,2,Day 8-14,Learning Module 2,SK009,COURSE0009,PROJ0009,Complete Week 2 objectives,20
RM0075,ROLE004,30-Day,3,Day 15-21,Learning Module 3,SK013,COURSE0013,PROJ0013,Complete Week 3 objectives,20
RM0076,ROLE004,30-Day,4,Day 22-28,Learning Module 4,SK017,COURSE0017,PROJ0017,Complete Week 4 objectives,20
RM0077,ROLE004,60-Day,1,Day 1-7,Learning Module 1,SK005,COURSE0005,PROJ0005,Complete Week 1 objectives,15
RM0078,ROLE004,60-Day,2,Day 8-14,Learning Module 2,SK009,COURSE0009,PROJ0009,Complete Week 2 objectives,15
RM0079,ROLE004,60-Day,3,Day 15-21,Learning Module 3,SK013,COURSE0013,PROJ0013,Complete Week 3 objectives,15
RM0080,ROLE004,60-Day,4,Day 22-28,Learning Module 4,SK017,COURSE0017,PROJ0017,Complete Week 4 objectives,15
RM0081,ROLE004,60-Day,5,Day 29-35,Learning Module 5,SK021,COURSE0021,PROJ0021,Complete Week 5 objectives,15
RM0082,ROLE004,60-Day,6,Day 36-42,Learning Module 6,SK025,COURSE0025,PROJ0025,Complete Week 6 objectives,15
RM0083,ROLE004,60-Day,7,Day 43-49,Learning Module 7,SK029,COURSE0029,PROJ0029,Complete Week 7 objectives,15
RM0084,ROLE004,60-Day,8,Day 50-56,Learning Module 8,SK033,COURSE0033,PROJ0033,Complete Week 8 objectives,15
RM0085,ROLE004,90-Day,1,Day 1-7,Learning Module 1,SK005,COURSE0005,PROJ0005,Complete Week 1 objectives,10
RM0086,ROLE004,90-Day,2,Day 8-14,Learning Module 2,SK009,COURSE0009,PROJ0009,Complete Week 2 objectives,10
RM0087,ROLE004,90-Day,3,Day 15-21,Learning Module 3,SK013,COURSE0013,PROJ0013,Complete Week 3 objectives,10
RM0088,ROLE004,90-Day,4,Day 22-28,Learning Module 4,SK017,COURSE0017,PROJ0017,Complete Week 4 objectives,10
RM0089,ROLE004,90-Day,5,Day 29-35,Learning Module 5,SK021,COURSE0021,PROJ0021,Complete Week 5 objectives,10
RM0090,ROLE004,90-Day,6,Day 36-42,Learning Module 6,SK025,COURSE0025,PROJ0025,Complete Week 6 objectives,10
RM0091,ROLE004,90-Day,7,Day 43-49,Learning Module 7,SK029,COURSE0029,PROJ0029,Complete Week 7 objectives,10
RM0092,ROLE004,90-Day,8,Day 50-56,Learning Module 8,SK033,COURSE0033,PROJ0033,Complete Week 8 objectives,10
RM0093,ROLE004,90-Day,9,Day 57-63,Learning Module 9,SK037,COURSE0037,PROJ0037,Complete Week 9 objectives,10
RM0094,ROLE004,90-Day,10,Day 64-70,Learning Module 10,SK041,COURSE0041,PROJ0041,Complete Week 10 objectives,10
RM0095,ROLE004,90-Day,11,Day 71-77,Learning Module 11,SK045,COURSE0045,PROJ0045,Complete Week 11 objectives,10
RM0096,ROLE004,90-Day,12,Day 78-84,Learning Module 12,SK049,COURSE0049,PROJ0049,Complete Week 12 objectives,10
RM0097,ROLE005,30-Day,1,Day 1-7,Learning Module 1,SK006,COURSE0006,PROJ0006,Complete Week 1 objectives,20
RM0098,ROLE005,30-Day,2,Day 8-14,Learning Module 2,SK011,COURSE0011,PROJ0011,Complete Week 2 objectives,20
RM0099,ROLE005,30-Day,3,Day 15-21,Learning Module 3,SK016,COURSE0016,PROJ0016,Complete Week 3 objectives,20
RM0100,ROLE005,30-Day,4,Day 22-28,Learning Module 4,SK021,COURSE0021,PROJ0021,Complete Week 4 objectives,20
RM0101,ROLE005,60-Day,1,Day 1-7,Learning Module 1,SK006,COURSE0006,PROJ0006,Complete Week 1 objectives,15
RM0102,ROLE005,60-Day,2,Day 8-14,Learning Module 2,SK011,COURSE0011,PROJ0011,Complete Week 2 objectives,15
RM0103,ROLE005,60-Day,3,Day 15-21,Learning Module 3,SK016,COURSE0016,PROJ0016,Complete Week 3 objectives,15
RM0104,ROLE005,60-Day,4,Day 22-28,Learning Module 4,SK021,COURSE0021,PROJ0021,Complete Week 4 objectives,15
RM0105,ROLE005,60-Day,5,Day 29-35,Learning Module 5,SK026,COURSE0026,PROJ0026,Complete Week 5 objectives,15
RM0106,ROLE005,60-Day,6,Day 36-42,Learning Module 6,SK031,COURSE0031,PROJ0031,Complete Week 6 objectives,15
RM0107,ROLE005,60-Day,7,Day 43-49,Learning Module 7,SK036,COURSE0036,PROJ0036,Complete Week 7 objectives,15
RM0108,ROLE005,60-Day,8,Day 50-56,Learning Module 8,SK041,COURSE0041,PROJ0041,Complete Week 8 objectives,15
RM0109,ROLE005,90-Day,1,Day 1-7,Learning Module 1,SK006,COURSE0006,PROJ0006,Complete Week 1 objectives,10
RM0110,ROLE005,90-Day,2,Day 8-14,Learning Module 2,SK011,COURSE0011,PROJ0011,Complete Week 2 objectives,10
RM0111,ROLE005,90-Day,3,Day 15-21,Learning Module 3,SK016,COURSE0016,PROJ0016,Complete Week 3 objectives,10
RM0112,ROLE005,90-Day,4,Day 22-28,Learning Module 4,SK021,COURSE0021,PROJ0021,Complete Week 4 objectives,10
RM0113,ROLE005,90-Day,5,Day 29-35,Learning Module 5,SK026,COURSE0026,PROJ0026,Complete Week 5 objectives,10
RM0114,ROLE005,90-Day,6,Day 36-42,Learning Module 6,SK031,COURSE0031,PROJ0031,Complete Week 6 objectives,10
RM0115,ROLE005,90-Day,7,Day 43-49,Learning Module 7,SK036,COURSE0036,PROJ0036,Complete Week 7 objectives,10
RM0116,ROLE005,90-Day,8,Day 50-56,Learning Module 8,SK041,COURSE0041,PROJ0041,Complete Week 8 objectives,10
RM0117,ROLE005,90-Day,9,Day 57-63,Learning Module 9,SK046,COURSE0046,PROJ0046,Complete Week 9 objectives,10
RM0118,ROLE005,90-Day,10,Day 64-70,Learning Module 10,SK051,COURSE0051,PROJ0051,Complete Week 10 objectives,10
RM0119,ROLE005,90-Day,11,Day 71-77,Learning Module 11,SK056,COURSE0056,PROJ0056,Complete Week 11 objectives,10
RM0120,ROLE005,90-Day,12,Day 78-84,Learning Module 12,SK061,COURSE0061,PROJ0061,Complete Week 12 objectives,10
RM0121,ROLE006,30-Day,1,Day 1-7,Learning Module 1,SK007,COURSE0007,PROJ0007,Complete Week 1 objectives,20
RM0122,ROLE006,30-Day,2,Day 8-14,Learning Module 2,SK013,COURSE0013,PROJ0013,Complete Week 2 objectives,20
RM0123,ROLE006,30-Day,3,Day 15-21,Learning Module 3,SK019,COURSE0019,PROJ0019,Complete Week 3 objectives,20
RM0124,ROLE006,30-Day,4,Day 22-28,Learning Module 4,SK025,COURSE0025,PROJ0025,Complete Week 4 objectives,20
RM0125,ROLE006,60-Day,1,Day 1-7,Learning Module 1,SK007,COURSE0007,PROJ0007,Complete Week 1 objectives,15
RM0126,ROLE006,60-Day,2,Day 8-14,Learning Module 2,SK013,COURSE0013,PROJ0013,Complete Week 2 objectives,15
RM0127,ROLE006,60-Day,3,Day 15-21,Learning Module 3,SK019,COURSE0019,PROJ0019,Complete Week 3 objectives,15
RM0128,ROLE006,60-Day,4,Day 22-28,Learning Module 4,SK025,COURSE0025,PROJ0025,Complete Week 4 objectives,15
RM0129,ROLE006,60-Day,5,Day 29-35,Learning Module 5,SK031,COURSE0031,PROJ0031,Complete Week 5 objectives,15
RM0130,ROLE006,60-Day,6,Day 36-42,Learning Module 6,SK037,COURSE0037,PROJ0037,Complete Week 6 objectives,15
RM0131,ROLE006,60-Day,7,Day 43-49,Learning Module 7,SK043,COURSE0043,PROJ0043,Complete Week 7 objectives,15
RM0132,ROLE006,60-Day,8,Day 50-56,Learning Module 8,SK049,COURSE0049,PROJ0049,Complete Week 8 objectives,15
RM0133,ROLE006,90-Day,1,Day 1-7,Learning Module 1,SK007,COURSE0007,PROJ0007,Complete Week 1 objectives,10
RM0134,ROLE006,90-Day,2,Day 8-14,Learning Module 2,SK013,COURSE0013,PROJ0013,Complete Week 2 objectives,10
RM0135,ROLE006,90-Day,3,Day 15-21,Learning Module 3,SK019,COURSE0019,PROJ0019,Complete Week 3 objectives,10
RM0136,ROLE006,90-Day,4,Day 22-28,Learning Module 4,SK025,COURSE0025,PROJ0025,Complete Week 4 objectives,10
RM0137,ROLE006,90-Day,5,Day 29-35,Learning Module 5,SK031,COURSE0031,PROJ0031,Complete Week 5 objectives,10
RM0138,ROLE006,90-Day,6,Day 36-42,Learning Module 6,SK037,COURSE0037,PROJ0037,Complete Week 6 objectives,10
RM0139,ROLE006,90-Day,7,Day 43-49,Learning Module 7,SK043,COURSE0043,PROJ0043,Complete Week 7 objectives,10
RM0140,ROLE006,90-Day,8,Day 50-56,Learning Module 8,SK049,COURSE0049,PROJ0049,Complete Week 8 objectives,10
RM0141,ROLE006,90-Day,9,Day 57-63,Learning Module 9,SK055,COURSE0055,PROJ0055,Complete Week 9 objectives,10
RM0142,ROLE006,90-Day,10,Day 64-70,Learning Module 10,SK061,COURSE0061,PROJ0061,Complete Week 10 objectives,10
RM0143,ROLE006,90-Day,11,Day 71-77,Learning Module 11,SK067,COURSE0067,PROJ0067,Complete Week 11 objectives,10
RM0144,ROLE006,90-Day,12,Day 78-84,Learning Module 12,SK073,COURSE0073,PROJ0073,Complete Week 12 objectives,10
RM0145,ROLE007,30-Day,1,Day 1-7,Learning Module 1,SK008,COURSE0008,PROJ0008,Complete Week 1 objectives,20
RM0146,ROLE007,30-Day,2,Day 8-14,Learning Module 2,SK015,COURSE0015,PROJ0015,Complete Week 2 objectives,20
RM0147,ROLE007,30-Day,3,Day 15-21,Learning Module 3,SK022,COURSE0022,PROJ0022,Complete Week 3 objectives,20
RM0148,ROLE007,30-Day,4,Day 22-28,Learning Module 4,SK029,COURSE0029,PROJ0029,Complete Week 4 objectives,20
RM0149,ROLE007,60-Day,1,Day 1-7,Learning Module 1,SK008,COURSE0008,PROJ0008,Complete Week 1 objectives,15
RM0150,ROLE007,60-Day,2,Day 8-14,Learning Module 2,SK015,COURSE0015,PROJ0015,Complete Week 2 objectives,15
RM0151,ROLE007,60-Day,3,Day 15-21,Learning Module 3,SK022,COURSE0022,PROJ0022,Complete Week 3 objectives,15
RM0152,ROLE007,60-Day,4,Day 22-28,Learning Module 4,SK029,COURSE0029,PROJ0029,Complete Week 4 objectives,15
RM0153,ROLE007,60-Day,5,Day 29-35,Learning Module 5,SK036,COURSE0036,PROJ0036,Complete Week 5 objectives,15
RM0154,ROLE007,60-Day,6,Day 36-42,Learning Module 6,SK043,COURSE0043,PROJ0043,Complete Week 6 objectives,15
RM0155,ROLE007,60-Day,7,Day 43-49,Learning Module 7,SK050,COURSE0050,PROJ0050,Complete Week 7 objectives,15
RM0156,ROLE007,60-Day,8,Day 50-56,Learning Module 8,SK057,COURSE0057,PROJ0057,Complete Week 8 objectives,15
RM0157,ROLE007,90-Day,1,Day 1-7,Learning Module 1,SK008,COURSE0008,PROJ0008,Complete Week 1 objectives,10
RM0158,ROLE007,90-Day,2,Day 8-14,Learning Module 2,SK015,COURSE0015,PROJ0015,Complete Week 2 objectives,10
RM0159,ROLE007,90-Day,3,Day 15-21,Learning Module 3,SK022,COURSE0022,PROJ0022,Complete Week 3 objectives,10
RM0160,ROLE007,90-Day,4,Day 22-28,Learning Module 4,SK029,COURSE0029,PROJ0029,Complete Week 4 objectives,10
RM0161,ROLE007,90-Day,5,Day 29-35,Learning Module 5,SK036,COURSE0036,PROJ0036,Complete Week 5 objectives,10
RM0162,ROLE007,90-Day,6,Day 36-42,Learning Module 6,SK043,COURSE0043,PROJ0043,Complete Week 6 objectives,10
RM0163,ROLE007,90-Day,7,Day 43-49,Learning Module 7,SK050,COURSE0050,PROJ0050,Complete Week 7 objectives,10
RM0164,ROLE007,90-Day,8,Day 50-56,Learning Module 8,SK057,COURSE0057,PROJ0057,Complete Week 8 objectives,10
RM0165,ROLE007,90-Day,9,Day 57-63,Learning Module 9,SK064,COURSE0064,PROJ0064,Complete Week 9 objectives,10
RM0166,ROLE007,90-Day,10,Day 64-70,Learning Module 10,SK071,COURSE0071,PROJ0071,Complete Week 10 objectives,10
RM0167,ROLE007,90-Day,11,Day 71-77,Learning Module 11,SK078,COURSE0078,PROJ0078,Complete Week 11 objectives,10
RM0168,ROLE007,90-Day,12,Day 78-84,Learning Module 12,SK085,COURSE0085,PROJ0085,Complete Week 12 objectives,10
RM0169,ROLE008,30-Day,1,Day 1-7,Learning Module 1,SK009,COURSE0009,PROJ0009,Complete Week 1 objectives,20
RM0170,ROLE008,30-Day,2,Day 8-14,Learning Module 2,SK017,COURSE0017,PROJ0017,Complete Week 2 objectives,20
RM0171,ROLE008,30-Day,3,Day 15-21,Learning Module 3,SK025,COURSE0025,PROJ0025,Complete Week 3 objectives,20
RM0172,ROLE008,30-Day,4,Day 22-28,Learning Module 4,SK033,COURSE0033,PROJ0033,Complete Week 4 objectives,20
RM0173,ROLE008,60-Day,1,Day 1-7,Learning Module 1,SK009,COURSE0009,PROJ0009,Complete Week 1 objectives,15
RM0174,ROLE008,60-Day,2,Day 8-14,Learning Module 2,SK017,COURSE0017,PROJ0017,Complete Week 2 objectives,15
RM0175,ROLE008,60-Day,3,Day 15-21,Learning Module 3,SK025,COURSE0025,PROJ0025,Complete Week 3 objectives,15
RM0176,ROLE008,60-Day,4,Day 22-28,Learning Module 4,SK033,COURSE0033,PROJ0033,Complete Week 4 objectives,15
RM0177,ROLE008,60-Day,5,Day 29-35,Learning Module 5,SK041,COURSE0041,PROJ0041,Complete Week 5 objectives,15
RM0178,ROLE008,60-Day,6,Day 36-42,Learning Module 6,SK049,COURSE0049,PROJ0049,Complete Week 6 objectives,15
RM0179,ROLE008,60-Day,7,Day 43-49,Learning Module 7,SK057,COURSE0057,PROJ0057,Complete Week 7 objectives,15
RM0180,ROLE008,60-Day,8,Day 50-56,Learning Module 8,SK065,COURSE0065,PROJ0065,Complete Week 8 objectives,15
RM0181,ROLE008,90-Day,1,Day 1-7,Learning Module 1,SK009,COURSE0009,PROJ0009,Complete Week 1 objectives,10
RM0182,ROLE008,90-Day,2,Day 8-14,Learning Module 2,SK017,COURSE0017,PROJ0017,Complete Week 2 objectives,10
RM0183,ROLE008,90-Day,3,Day 15-21,Learning Module 3,SK025,COURSE0025,PROJ0025,Complete Week 3 objectives,10
RM0184,ROLE008,90-Day,4,Day 22-28,Learning Module 4,SK033,COURSE0033,PROJ0033,Complete Week 4 objectives,10
RM0185,ROLE008,90-Day,5,Day 29-35,Learning Module 5,SK041,COURSE0041,PROJ0041,Complete Week 5 objectives,10
RM0186,ROLE008,90-Day,6,Day 36-42,Learning Module 6,SK049,COURSE0049,PROJ0049,Complete Week 6 objectives,10
RM0187,ROLE008,90-Day,7,Day 43-49,Learning Module 7,SK057,COURSE0057,PROJ0057,Complete Week 7 objectives,10
RM0188,ROLE008,90-Day,8,Day 50-56,Learning Module 8,SK065,COURSE0065,PROJ0065,Complete Week 8 objectives,10
RM0189,ROLE008,90-Day,9,Day 57-63,Learning Module 9,SK073,COURSE0073,PROJ0073,Complete Week 9 objectives,10
RM0190,ROLE008,90-Day,10,Day 64-70,Learning Module 10,SK081,COURSE0081,PROJ0081,Complete Week 10 objectives,10
RM0191,ROLE008,90-Day,11,Day 71-77,Learning Module 11,SK089,COURSE0089,PROJ0089,Complete Week 11 objectives,10
RM0192,ROLE008,90-Day,12,Day 78-84,Learning Module 12,SK097,COURSE0097,PROJ0097,Complete Week 12 objectives,10
RM0193,ROLE009,30-Day,1,Day 1-7,Learning Module 1,SK010,COURSE0010,PROJ0010,Complete Week 1 objectives,20
RM0194,ROLE009,30-Day,2,Day 8-14,Learning Module 2,SK019,COURSE0019,PROJ0019,Complete Week 2 objectives,20
RM0195,ROLE009,30-Day,3,Day 15-21,Learning Module 3,SK028,COURSE0028,PROJ0028,Complete Week 3 objectives,20
RM0196,ROLE009,30-Day,4,Day 22-28,Learning Module 4,SK037,COURSE0037,PROJ0037,Complete Week 4 objectives,20
RM0197,ROLE009,60-Day,1,Day 1-7,Learning Module 1,SK010,COURSE0010,PROJ0010,Complete Week 1 objectives,15
RM0198,ROLE009,60-Day,2,Day 8-14,Learning Module 2,SK019,COURSE0019,PROJ0019,Complete Week 2 objectives,15
RM0199,ROLE009,60-Day,3,Day 15-21,Learning Module 3,SK028,COURSE0028,PROJ0028,Complete Week 3 objectives,15
RM0200,ROLE009,60-Day,4,Day 22-28,Learning Module 4,SK037,COURSE0037,PROJ0037,Complete Week 4 objectives,15
RM0201,ROLE009,60-Day,5,Day 29-35,Learning Module 5,SK046,COURSE0046,PROJ0046,Complete Week 5 objectives,15
RM0202,ROLE009,60-Day,6,Day 36-42,Learning Module 6,SK055,COURSE0055,PROJ0055,Complete Week 6 objectives,15
RM0203,ROLE009,60-Day,7,Day 43-49,Learning Module 7,SK064,COURSE0064,PROJ0064,Complete Week 7 objectives,15
RM0204,ROLE009,60-Day,8,Day 50-56,Learning Module 8,SK073,COURSE0073,PROJ0073,Complete Week 8 objectives,15
RM0205,ROLE009,90-Day,1,Day 1-7,Learning Module 1,SK010,COURSE0010,PROJ0010,Complete Week 1 objectives,10
RM0206,ROLE009,90-Day,2,Day 8-14,Learning Module 2,SK019,COURSE0019,PROJ0019,Complete Week 2 objectives,10
RM0207,ROLE009,90-Day,3,Day 15-21,Learning Module 3,SK028,COURSE0028,PROJ0028,Complete Week 3 objectives,10
RM0208,ROLE009,90-Day,4,Day 22-28,Learning Module 4,SK037,COURSE0037,PROJ0037,Complete Week 4 objectives,10
RM0209,ROLE009,90-Day,5,Day 29-35,Learning Module 5,SK046,COURSE0046,PROJ0046,Complete Week 5 objectives,10
RM0210,ROLE009,90-Day,6,Day 36-42,Learning Module 6,SK055,COURSE0055,PROJ0055,Complete Week 6 objectives,10
RM0211,ROLE009,90-Day,7,Day 43-49,Learning Module 7,SK064,COURSE0064,PROJ0064,Complete Week 7 objectives,10
RM0212,ROLE009,90-Day,8,Day 50-56,Learning Module 8,SK073,COURSE0073,PROJ0073,Complete Week 8 objectives,10
RM0213,ROLE009,90-Day,9,Day 57-63,Learning Module 9,SK082,COURSE0082,PROJ0082,Complete Week 9 objectives,10
