student_id,branch,year,cgpa,current_skills,skill_level,certifications,dream_role,available_hours_per_week,learning_mode,career_goal
STU047,Electrical,2nd,8.61,"PLC Programming, Power Systems, Circuit Design",Intermediate,AWS Cloud Practitioner,Power Systems Engineer,19,Online,Higher Studies
STU048,Electronics & Communication,3rd,9.54,"MATLAB, Embedded C, Verilog, C",Beginner,AWS Cloud Practitioner,Embedded Systems Engineer,6,Offline,Startup
STU049,Electrical,4th,8.79,"Circuit Design, Power Systems, PLC Programming, MATLAB",Advanced,AWS Cloud Practitioner,Electrical Engineer,8,Online,Higher Studies
STU050,Electrical,3rd,6.64,"PLC Programming, Power Systems, MATLAB, Circuit Design",Beginner,None,Power Systems Engineer,9,Offline,Government Job
STU051,Mechanical,3rd,7.05,"MATLAB, SolidWorks, AutoCAD, ANSYS",Advanced,Cisco CCNA,Automotive Engineer,10,Offline,Placement
STU052,Mechanical,3rd,7.81,"AutoCAD, SolidWorks, ANSYS, MATLAB",Beginner,Google Data Analytics,Robotics Engineer,7,Hybrid,Government Job
STU053,Electronics & Communication,3rd,8.37,"C++, C, Embedded C, MATLAB",Beginner,None,IoT Developer,13,Hybrid,Higher Studies
STU054,Electrical,4th,9.11,"PLC Programming, Power Systems, Circuit Design, MATLAB",Intermediate,NPTEL Python,Electrical Engineer,18,Online,Startup
STU055,Mechanical,3rd,9.77,"MATLAB, SolidWorks, AutoCAD, ANSYS",Intermediate,NPTEL Python,Robotics Engineer,20,Hybrid,Government Job
STU056,Mechanical,2nd,6.2,"ANSYS, MATLAB, AutoCAD",Beginner,None,Robotics Engineer,16,Offline,Government Job
STU057,Chemical,4th,7.12,"Safety Management, MATLAB, Process Simulation, Excel",Intermediate,Google Data Analytics,Process Engineer,12,Hybrid,Placement
STU058,Chemical,4th,6.84,"Safety Management, MATLAB, Process Simulation, Excel",Advanced,AWS Cloud Practitioner,Production Engineer,8,Offline,Startup
STU059,Chemical,3rd,7.43,"Excel, Safety Management, Process Simulation, MATLAB",Intermediate,Cisco CCNA,Production Engineer,16,Online,Higher Studies
STU060,Civil,4th,6.03,"Surveying, STAAD Pro, Excel, AutoCAD",Intermediate,Google Data Analytics,Structural Engineer,6,Offline,Startup
STU061,Information Technology,3rd,9.6,"React, Python, JavaScript, SQL",Intermediate,None,Cloud Engineer,20,Offline,Placement
STU062,Electronics & Communication,1st,8.23,"C, Embedded C",Advanced,Cisco CCNA,Embedded Systems Engineer,6,Offline,Placement
STU063,Civil,3rd,6.19,"Excel, Surveying, STAAD Pro, AutoCAD",Intermediate,Google Data Analytics,Structural Engineer,10,Hybrid,Startup
STU064,Information Technology,3rd,7.01,"SQL, Git, JavaScript, Node.js",Advanced,Cisco CCNA,Cloud Engineer,15,Offline,Startup
STU065,Electrical,1st,9.1,"Power Systems, PLC Programming",Beginner,NPTEL Python,Power Systems Engineer,9,Offline,Startup
STU066,Electronics & Communication,1st,8.75,"Embedded C, Verilog",Intermediate,Google Data Analytics,Embedded Systems Engineer,7,Hybrid,Placement
STU067,Civil,1st,6.48,"AutoCAD, Excel",Beginner,Google Data Analytics,Civil Site Engineer,11,Offline,Higher Studies
STU068,Civil,2nd,7.98,"AutoCAD, Excel, Surveying",Intermediate,NPTEL Python,Civil Site Engineer,12,Hybrid,Startup
STU069,Computer Science,1st,9.19,"Java, React",Beginner,Cisco CCNA,Software Developer,19,Online,Startup
STU070,Chemical,4th,6.44,"Excel, Process Simulation, MATLAB, Safety Management",Beginner,NPTEL Python,Production Engineer,5,Offline,Placement
STU071,Electrical,4th,7.65,"Power Systems, MATLAB, PLC Programming, Circuit Design",Advanced,Google Data Analytics,Power Systems Engineer,8,Offline,Placement
STU072,Mechanical,4th,8.21,"ANSYS, AutoCAD, MATLAB, SolidWorks",Beginner,None,Mechanical Design Engineer,8,Online,Higher Studies
STU073,Civil,4th,6.84,"STAAD Pro, AutoCAD, Excel, Surveying",Intermediate,None,Civil Site Engineer,13,Hybrid,Startup
STU074,Electronics & Communication,2nd,6.1,"MATLAB, Verilog, Embedded C",Intermediate,AWS Cloud Practitioner,VLSI Engineer,19,Offline,Higher Studies
STU075,Electrical,1st,6.26,"MATLAB, Power Systems",Advanced,None,Power Systems Engineer,11,Hybrid,Higher Studies
STU076,Chemical,2nd,6.83,"Process Simulation, MATLAB, Safety Management",Intermediate,None,Production Engineer,19,Hybrid,Startup
STU077,Mechanical,4th,7.25,"MATLAB, SolidWorks, ANSYS, AutoCAD",Beginner,Google Data Analytics,Mechanical Design Engineer,7,Online,Placement
STU078,Mechanical,2nd,6.18,"MATLAB, SolidWorks, ANSYS",Advanced,Cisco CCNA,Mechanical Design Engineer,17,Online,Placement
STU079,Computer Science,2nd,8.54,"Git, SQL, Data Structures",Intermediate,None,Software Developer,10,Offline,Higher Studies
STU080,Electronics & Communication,4th,8.62,"Verilog, MATLAB, C++, C, Embedded C",Advanced,None,VLSI Engineer,11,Offline,Higher Studies
STU081,Electrical,2nd,6.81,"MATLAB, Circuit Design, PLC Programming",Beginner,AWS Cloud Practitioner,Power Systems Engineer,15,Online,Government Job
STU082,Mechanical,4th,7.35,"SolidWorks, MATLAB, AutoCAD, ANSYS",Advanced,None,Robotics Engineer,7,Offline,Placement
STU083,Chemical,3rd,8.68,"MATLAB, Process Simulation, Excel, Safety Management",Intermediate,Google Data Analytics,Production Engineer,13,Online,Higher Studies
STU084,Chemical,3rd,8.61,"MATLAB, Process Simulation, Safety Management, Excel",Advanced,NPTEL Python,Process Engineer,10,Online,Placement
STU085,Electronics & Communication,1st,6.97,"MATLAB, Embedded C",Beginner,NPTEL Python,IoT Developer,7,Hybrid,Higher Studies
STU086,Electronics & Communication,3rd,7.78,"C, MATLAB, C++, Embedded C",Beginner,Google Data Analytics,Embedded Systems Engineer,14,Offline,Startup
STU087,Computer Science,4th,8.66,"Algorithms, Java, Python, Data Structures, Machine Learning",Advanced,Cisco CCNA,Backend Developer,20,Online,Government Job
STU088,Electrical,3rd,6.3,"MATLAB, Power Systems, PLC Programming, Circuit Design",Beginner,NPTEL Python,Electrical Engineer,7,Online,Government Job
STU089,Computer Science,3rd,6.31,"Machine Learning, Data Structures, Git, SQL",Advanced,NPTEL Python,Backend Developer,16,Hybrid,Startup
STU090,Information Technology,3rd,7.68,"React, JavaScript, Git, Python",Advanced,Cisco CCNA,Software Developer,6,Offline,Placement
STU091,Information Technology,3rd,9.57,"Python, JavaScript, SQL, Node.js",Intermediate,Cisco CCNA,Software Developer,9,Online,Higher Studies
STU092,Computer Science,4th,7.87,"Git, Python, Algorithms, Data Structures, SQL",Advanced,Google Data Analytics,Data Scientist,18,Offline,Higher Studies
STU093,Electrical,3rd,9.55,"MATLAB, PLC Programming, Circuit Design, Power Systems",Beginner,None,Electrical Engineer,18,Hybrid,Higher Studies
STU094,Civil,4th,7.58,"Surveying, STAAD Pro, AutoCAD, Excel",Intermediate,Google Data Analytics,Civil Site Engineer,13,Online,Government Job
STU095,Civil,4th,9.41,"Surveying, STAAD Pro, AutoCAD, Excel",Intermediate,NPTEL Python,Civil Site Engineer,5,Offline,Placement
STU096,Information Technology,4th,6.05,"React, SQL, JavaScript, Python, Node.js",Intermediate,Cisco CCNA,Full Stack Developer,7,Online,Higher Studies
STU097,Electronics & Communication,2nd,9.04,"C, C++, MATLAB",Beginner,AWS Cloud Practitioner,VLSI Engineer,10,Online,Higher Studies
STU098,Electronics & Communication,3rd,6.04,"Embedded C, C, C++, Verilog",Intermediate,Google Data Analytics,IoT Developer,19,Offline,Government Job
STU099,Information Technology,2nd,6.2,"React, Python, SQL",Advanced,Cisco CCNA,Software Developer,13,Online,Government Job
STU100,Chemical,4th,6.44,"Process Simulation, MATLAB, Excel, Safety Management",Advanced,NPTEL Python,Production Engineer,10,Offline,Higher Studies
STU101,Electronics & Communication,2nd,9.48,"Verilog, C, Embedded C",Beginner,None,VLSI Engineer,17,Offline,Startup
STU102,Civil,2nd,9.21,"Excel, STAAD Pro, AutoCAD",Intermediate,Google Data Analytics,Civil Site Engineer,13,Online,Government Job
STU103,Electronics & Communication,2nd,8.36,"C++, Embedded C, Verilog",Advanced,None,Embedded Systems Engineer,9,Offline,Government Job
STU104,Electronics & Communication,4th,9.38,"Embedded C, MATLAB, Verilog, C, C++",Advanced,AWS Cloud Practitioner,Embedded Systems Engineer,19,Online,Government Job
STU105,Electrical,1st,8.3,"Circuit Design, PLC Programming",Intermediate,AWS Cloud Practitioner,Electrical Engineer,19,Hybrid,Startup
STU106,Electrical,2nd,6.35,"PLC Programming, Circuit Design, MATLAB",Beginner,Cisco CCNA,Power Systems Engineer,16,Offline,Placement
STU107,Electronics & Communication,3rd,6.67,"Embedded C, C++, Verilog, C",Intermediate,NPTEL Python,Embedded Systems Engineer,16,Offline,Government Job
STU108,Electronics & Communication,3rd,8.98,"Verilog, C++, Embedded C, MATLAB",Beginner,None,Embedded Systems Engineer,7,Offline,Higher Studies
STU109,Information Technology,1st,8.51,"Node.js, React",Beginner,AWS Cloud Practitioner,Cloud Engineer,16,Offline,Higher Studies
STU110,Civil,1st,7.39,"STAAD Pro, Surveying",Advanced,None,Structural Engineer,8,Hybrid,Startup
STU111,Information Technology,4th,6.37,"SQL, Node.js, React, Python, Git",Advanced,None,Software Developer,12,Offline,Startup
STU112,Information Technology,3rd,7.09,"SQL, React, JavaScript, Python",Beginner,Google Data Analytics,Software Developer,5,Offline,Higher Studies
STU113,Computer Science,3rd,9.61,"Algorithms, SQL, React, Python",Beginner,AWS Cloud Practitioner,Backend Developer,14,Online,Higher Studies
STU114,Chemical,2nd,9.79,"MATLAB, Process Simulation, Safety Management",Advanced,NPTEL Python,Process Engineer,9,Online,Placement
STU115,Computer Science,3rd,6.99,"Java, Python, Git, Machine Learning",Intermediate,None,ML Engineer,7,Offline,Placement
STU116,Electronics & Communication,4th,6.73,"Verilog, Embedded C, C, C++, MATLAB",Beginner,None,IoT Developer,8,Offline,Higher Studies
STU117,Electronics & Communication,1st,6.52,"MATLAB, Verilog",Intermediate,Google Data Analytics,Embedded Systems Engineer,6,Online,Higher Studies
STU118,Chemical,1st,9.48,"Excel, MATLAB",Intermediate,None,Process Engineer,15,Hybrid,Startup
STU119,Information Technology,1st,8.06,"React, Node.js",Intermediate,Cisco CCNA,Software Developer,9,Offline,Placement
STU120,Mechanical,2nd,8.8,"ANSYS, AutoCAD, MATLAB",Intermediate,Cisco CCNA,Automotive Engineer,19,Hybrid,Higher Studies
STU121,Mechanical,2nd,7.01,"MATLAB, ANSYS, SolidWorks",Advanced,AWS Cloud Practitioner,Mechanical Design Engineer,11,Hybrid,Placement
STU122,Mechanical,1st,8.6,"SolidWorks, ANSYS",Beginner,None,Mechanical Design Engineer,18,Offline,Government Job
STU123,Mechanical,3rd,6.11,"ANSYS, SolidWorks, MATLAB, AutoCAD",Beginner,Cisco CCNA,Robotics Engineer,6,Hybrid,Startup
STU124,Information Technology,4th,8.98,"SQL, Node.js, Python, JavaScript, Git",Advanced,None,Software Developer,18,Online,Placement
STU125,Electronics & Communication,2nd,7.61,"C, C++, Embedded C",Advanced,NPTEL Python,VLSI Engineer,17,Online,Placement
STU126,Information Technology,3rd,6.99,"SQL, React, Node.js, Git",Beginner,Google Data Analytics,Software Developer,9,Online,Government Job
STU127,Mechanical,2nd,7.83,"AutoCAD, ANSYS, MATLAB",Intermediate,Google Data Analytics,Automotive Engineer,9,Hybrid,Higher Studies
STU128,Electrical,4th,9.34,"MATLAB, Power Systems, PLC Programming, Circuit Design",Advanced,NPTEL Python,Power Systems Engineer,12,Hybrid,Higher Studies
STU129,Information Technology,4th,9.01,"Node.js, Git, SQL, Python, React",Advanced,AWS Cloud Practitioner,Software Developer,9,Hybrid,Higher Studies
STU130,Chemical,1st,7.45,"MATLAB, Excel",Advanced,NPTEL Python,Production Engineer,13,Hybrid,Higher Studies
STU131,Civil,2nd,6.08,"Excel, STAAD Pro, AutoCAD",Advanced,Google Data Analytics,Civil Site Engineer,14,Offline,Placement
STU132,Chemical,2nd,8.96,"Process Simulation, Safety Management, MATLAB",Beginner,Google Data Analytics,Process Engineer,16,Hybrid,Government Job
STU133,Computer Science,4th,6.43,"Algorithms, Git, Machine Learning, SQL, Java",Beginner,Cisco CCNA,Backend Developer,14,Offline,Higher Studies
STU134,Mechanical,2nd,6.22,"ANSYS, MATLAB, SolidWorks",Beginner,Cisco CCNA,Mechanical Design Engineer,9,Online,Higher Studies
STU135,Electronics & Communication,3rd,8.11,"Verilog, MATLAB, C, Embedded C",Advanced,None,Embedded Systems Engineer,7,Hybrid,Government Job
STU136,Electrical,3rd,6.18,"PLC Programming, Circuit Design, Power Systems, MATLAB",Beginner,Cisco CCNA,Electrical Engineer,11,Hybrid,Higher Studies
STU137,Information Technology,4th,9.33,"React, Git, SQL, Node.js, JavaScript",Beginner,NPTEL Python,Cloud Engineer,17,Offline,Startup
STU138,Electronics & Communication,1st,6.87,"C++, Embedded C",Advanced,None,VLSI Engineer,17,Online,Startup
STU139,Civil,4th,6.53,"AutoCAD, STAAD Pro, Excel, Surveying",Intermediate,AWS Cloud Practitioner,Civil Site Engineer,20,Offline,Higher Studies
STU140,Information Technology,3rd,6.44,"Node.js, SQL, JavaScript, Python",Intermediate,None,Software Developer,18,Hybrid,Startup
STU141,Information Technology,1st,7.64,"Python, Node.js",Intermediate,NPTEL Python,Software Developer,20,Offline,Placement
STU142,Mechanical,2nd,9.03,"SolidWorks, ANSYS, AutoCAD",Beginner,None,Mechanical Design Engineer,13,Offline,Government Job
STU143,Chemical,2nd,9.31,"Excel, MATLAB, Process Simulation",Advanced,Google Data Analytics,Process Engineer,6,Hybrid,Startup
STU144,Computer Science,1st,8.62,"SQL, React",Beginner,Google Data Analytics,Data Scientist,6,Offline,Startup
STU145,Electronics & Communication,2nd,8.4,"MATLAB, Verilog, C++",Intermediate,Google Data Analytics,Embedded Systems Engineer,17,Offline,Startup
STU146,Information Technology,3rd,8.99,"Python, JavaScript, Git, React",Advanced,NPTEL Python,Software Developer,10,Online,Startup
STU147,Electronics & Communication,1st,6.35,"C, Embedded C",Intermediate,Google Data Analytics,IoT Developer,11,Offline,Placement
STU148,Mechanical,1st,7.42,"MATLAB, AutoCAD",Advanced,Google Data Analytics,Mechanical Design Engineer,12,Hybrid,Government Job
STU149,Mechanical,4th,9.24,"AutoCAD, ANSYS, SolidWorks, MATLAB",Advanced,Cisco CCNA,Automotive Engineer,14,Offline,Higher Studies
STU150,Chemical,1st,8.4,"MATLAB, Excel",Intermediate,NPTEL Python,Process Engineer,14,Offline,Higher Studies
STU151,Information Technology,4th,9.64,"React, JavaScript, Python, Node.js, Git",Intermediate,Cisco CCNA,Cloud Engineer,13,Offline,Startup
STU152,Civil,2nd,6.81,"STAAD Pro, AutoCAD, Surveying",Beginner,AWS Cloud Practitioner,Structural Engineer,10,Offline,Higher Studies
STU153,Chemical,3rd,8.52,"Process Simulation, Safety Management, MATLAB, Excel",Advanced,AWS Cloud Practitioner,Process Engineer,14,Online,Government Job
STU154,Information Technology,3rd,6.88,"SQL, React, Python, Git",Intermediate,None,Cloud Engineer,12,Offline,Placement
STU155,Electrical,1st,8.39,"PLC Programming, MATLAB",Beginner,Cisco CCNA,Power Systems Engineer,5,Hybrid,Placement
STU156,Civil,2nd,8.35,"STAAD Pro, Excel, Surveying",Beginner,Google Data Analytics,Civil Site Engineer,11,Hybrid,Higher Studies
STU157,Information Technology,4th,7.62,"JavaScript, Python, SQL, Node.js, Git",Advanced,None,Cloud Engineer,11,Hybrid,Government Job
STU158,Chemical,4th,6.07,"Process Simulation, Safety Management, Excel, MATLAB",Advanced,Cisco CCNA,Production Engineer,8,Offline,Startup
STU159,Computer Science,2nd,8.64,"Java, Git, Python",Advanced,None,Data Scientist,9,Hybrid,Startup
STU160,Electronics & Communication,2nd,8.97,"C++, C, Verilog",Beginner,Cisco CCNA,Embedded Systems Engineer,11,Online,Higher Studies
STU161,Civil,3rd,8.05,"AutoCAD, STAAD Pro, Excel, Surveying",Advanced,Google Data Analytics,Structural Engineer,9,Online,Government Job
STU162,Mechanical,1st,6.73,"AutoCAD, ANSYS",Intermediate,NPTEL Python,Mechanical Design Engineer,11,Offline,Higher Studies
STU163,Mechanical,3rd,7.25,"ANSYS, MATLAB, AutoCAD, SolidWorks",Beginner,NPTEL Python,Robotics Engineer,16,Hybrid,Startup
STU164,Electronics & Communication,1st,6.12,"MATLAB, Embedded C",Beginner,None,VLSI Engineer,19,Offline,Placement
STU165,Electrical,2nd,8.82,"PLC Programming, MATLAB, Circuit Design",Intermediate,AWS Cloud Practitioner,Electrical Engineer,7,Online,Placement
STU166,Computer Science,1st,9.26,"Machine Learning, React",Intermediate,Cisco CCNA,Data Scientist,15,Online,Government Job
STU167,Information Technology,3rd,9.6,"Python, React, SQL, Git",Advanced,Cisco CCNA,Cloud Engineer,8,Offline,Startup
STU168,Mechanical,2nd,8.02,"ANSYS, AutoCAD, SolidWorks",Beginner,Cisco CCNA,Robotics Engineer,15,Hybrid,Startup
STU169,Electronics & Communication,4th,7.25,"MATLAB, C++, Embedded C, Verilog, C",Beginner,Cisco CCNA,IoT Developer,11,Offline,Startup
STU170,Electrical,1st,8.03,"MATLAB, Circuit Design",Advanced,Cisco CCNA,Power Systems Engineer,17,Online,Government Job
STU171,Information Technology,2nd,6.66,"Python, Node.js, SQL",Beginner,AWS Cloud Practitioner,Software Developer,8,Offline,Startup
STU172,Civil,1st,7.37,"STAAD Pro, Excel",Advanced,Cisco CCNA,Structural Engineer,13,Offline,Placement
STU173,Civil,1st,7.35,"Excel, Surveying",Advanced,None,Civil Site Engineer,8,Offline,Startup
STU174,Information Technology,4th,8.68,"SQL, Git, React, Node.js, Python",Advanced,AWS Cloud Practitioner,Cloud Engineer,9,Hybrid,Placement
STU175,Computer Science,2nd,8.03,"Data Structures, Machine Learning, Git",Intermediate,NPTEL Python,Software Developer,9,Online,Higher Studies
STU176,Electrical,2nd,9.06,"MATLAB, Power Systems, PLC Programming",Advanced,None,Power Systems Engineer,13,Hybrid,Government Job
STU177,Electrical,1st,6.53,"Circuit Design, Power Systems",Beginner,Cisco CCNA,Electrical Engineer,5,Offline,Placement
STU178,Electronics & Communication,3rd,7.74,"MATLAB, Embedded C, Verilog, C++",Intermediate,NPTEL Python,IoT Developer,15,Hybrid,Government Job
STU179,Computer Science,4th,7.34,"Java, Python, Git, SQL, Machine Learning",Advanced,NPTEL Python,Backend Developer,11,Offline,Startup
STU180,Electronics & Communication,2nd,8.53,"C, Verilog, Embedded C",Intermediate,Cisco CCNA,Embedded Systems Engineer,9,Hybrid,Placement
STU181,Electronics & Communication,2nd,8.76,"Embedded C, C, Verilog",Beginner,Google Data Analytics,VLSI Engineer,6,Hybrid,Government Job
STU182,Information Technology,3rd,8.36,"Node.js, Python, JavaScript, Git",Intermediate,Cisco CCNA,Cloud Engineer,8,Hybrid,Higher Studies
STU183,Mechanical,4th,9.68,"ANSYS, MATLAB, SolidWorks, AutoCAD",Beginner,AWS Cloud Practitioner,Mechanical Design Engineer,11,Offline,Higher Studies
STU184,Civil,4th,7.17,"AutoCAD, STAAD Pro, Surveying, Excel",Intermediate,Google Data Analytics,Civil Site Engineer,5,Online,Startup
STU185,Civil,3rd,6.28,"AutoCAD, STAAD Pro, Excel, Surveying",Advanced,None,Civil Site Engineer,7,Online,Government Job
STU186,Electrical,3rd,9.46,"Circuit Design, PLC Programming, Power Systems, MATLAB",Beginner,Google Data Analytics,Electrical Engineer,5,Online,Higher Studies
STU187,Electronics & Communication,3rd,8.06,"MATLAB, Verilog, C, C++",Intermediate,Google Data Analytics,IoT Developer,10,Hybrid,Government Job
STU188,Mechanical,3rd,7.31,"ANSYS, AutoCAD, MATLAB, SolidWorks",Intermediate,Cisco CCNA,Mechanical Design Engineer,13,Hybrid,Placement
STU189,Chemical,1st,6.15,"Excel, Process Simulation",Advanced,NPTEL Python,Production Engineer,17,Offline,Startup
STU190,Mechanical,3rd,7.31,"SolidWorks, MATLAB, AutoCAD, ANSYS",Advanced,AWS Cloud Practitioner,Mechanical Design Engineer,11,Hybrid,Higher Studies
STU191,Information Technology,4th,8.59,"JavaScript, React, Node.js, SQL, Python",Beginner,NPTEL Python,Full Stack Developer,9,Offline,Higher Studies
STU192,Mechanical,2nd,6.19,"SolidWorks, AutoCAD, MATLAB",Intermediate,Cisco CCNA,Robotics Engineer,10,Hybrid,Placement
STU193,Computer Science,1st,8.69,"Algorithms, Data Structures",Intermediate,Google Data Analytics,ML Engineer,13,Offline,Government Job
STU194,Chemical,1st,7.34,"MATLAB, Excel",Advanced,Cisco CCNA,Production Engineer,9,Hybrid,Placement
STU195,Information Technology,2nd,7.01,"React, Python, JavaScript",Beginner,Cisco CCNA,Cloud Engineer,12,Hybrid,Startup
STU196,Electronics & Communication,2nd,6.68,"C++, MATLAB, Embedded C",Advanced,AWS Cloud Practitioner,VLSI Engineer,7,Online,Government Job
STU197,Civil,1st,8.58,"STAAD Pro, AutoCAD",Intermediate,NPTEL Python,Structural Engineer,18,Hybrid,Startup
STU198,Computer Science,3rd,9.04,"Python, Java, SQL, Data Structures",Advanced,Google Data Analytics,Software Developer,5,Offline,Startup
STU199,Mechanical,1st,8.19,"SolidWorks, MATLAB",Advanced,Google Data Analytics,Robotics Engineer,17,Hybrid,Placement
