role_id, role_name                 , role_family         , description                                                                                                                                                                                                                                                                              , difficulty_level, average_learning_time, entry_level, salary_range, future_scope, required_degree       , work_mode    , roadmap_available
ROLE017, Flutter Developer         , Mobile Development  , Builds cross-platform mobile and web applications from a single codebase using the Flutter framework. Delivers native-like performance and responsive user experiences across multiple operating systems.                                                                                , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , BCA                   , Remote/Hybrid, Yes
ROLE018, QA Engineer               , Testing             , "Executes manual and exploratory test cases to identify software defects, functional errors, and usability issues. Collaborates with developers to ensure product quality aligns with strict specifications before release."                                                             , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , Moderate    , B.Tech Any Branch     , Hybrid       , Yes
ROLE019, Automation Test Engineer  , Testing             , Develops automated testing scripts and frameworks to streamline regression testing and quality assurance workflows. Integrates test suites into CI/CD pipelines to catch defects early in development.                                                                                   , Intermediate    , 5 Months             , Yes        , ₹4-6 LPA    , High        , B.Tech CSE            , Hybrid       , Yes
ROLE020, Game Developer            , Game Development    , "Programs core game mechanics, artificial intelligence behaviors, and interactive graphics using game engines. Optimizes rendering performance and frame rates for immersive gaming experiences across platforms."                                                                       , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE021, Blockchain Developer      , Blockchain          , "Architects and implements decentralized applications and smart contracts using distributed ledger technologies. Ensures cryptographic security, transaction integrity, and consensus optimization."                                                                                     , Advanced        , 10 Months            , No         , ₹8-12 LPA   , High        , B.Tech CSE            , Remote/Hybrid, Yes
ROLE022, IoT Engineer              , IoT                 , "Connects physical hardware devices to cloud platforms through sensors, actuators, and communication protocols. Develops firmware and data processing pipelines for smart connected ecosystems and industrial automation."                                                               , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech ECE            , Onsite       , Yes
ROLE023, Embedded Systems Engineer , Embedded Devices    , "Programs microcontrollers and low-level hardware components for specialized electronic equipment. Optimizes real-time operating systems for power efficiency, memory limits, and hardware reliability."                                                                                 , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech ECE            , Onsite       , Yes
ROLE024, Robotics Engineer         , Robotics            , "Designs, builds, and programs autonomous robotic systems utilizing computer vision, kinematic modeling, and control algorithms. Integrates sensors and actuators for precise industrial or service automation tasks."                                                                   , Advanced        , 12 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech ECE            , Onsite       , Yes
ROLE025, UI Designer               , Design              , "Creates wireframes, visual mockups, and comprehensive design systems focusing on aesthetics and layout hierarchy. Translates brand guidelines into engaging, intuitive digital interface designs."                                                                                      , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , Moderate    , Any Engineering Degree, Remote/Hybrid, Yes
ROLE026, UX Designer               , Design              , "Conducts user research, persona creation, and usability testing to understand customer behavior and pain points. Maps out user journeys and interaction flows to ensure optimal digital product usability."                                                                             , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , Any Engineering Degree, Remote/Hybrid, Yes
ROLE027, UI/UX Designer            , Design              , Combines visual design skills with user research methodologies to craft end-to-end digital product experiences. Creates interactive prototypes and collaborates with developers to preserve design fidelity during implementation.                                                       , Intermediate    , 6 Months             , Yes        , ₹4-6 LPA    , High        , Any Engineering Degree, Remote/Hybrid, Yes
ROLE028, Product Manager           , Management          , "Defines product vision, strategy, and roadmap based on market research and customer feedback. Prioritizes feature backlogs and coordinates cross-functional teams to deliver high-impact solutions successfully."                                                                       , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech Any Branch     , Hybrid       , Yes
ROLE029, Technical Support Engineer, Support             , "Provides tier-2 and tier-3 technical assistance for complex software and hardware issues. Diagnoses system errors, troubleshoots network anomalies, and guides customers through effective technical resolutions."                                                                      , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , Moderate    , BCA                   , Hybrid       , Yes
ROLE030, Database Administrator    , Data                , "Manages, secures, and optimizes enterprise database systems to ensure high availability and data integrity. Performs routine backups, performance tuning, and capacity planning for mission-critical databases."                                                                        , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech CSE            , Hybrid       , Yes
ROLE031, Data Engineer             , Data                , "Builds and maintains robust data pipelines, data warehouses, and ETL infrastructure. Transforms raw, unstructured data into clean, accessible formats for analytical consumption and machine learning model training."                                                                  , Intermediate    , 8 Months             , Yes        , ₹6-10 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE032, Site Reliability Engineer , DevOps              , "Applies software engineering principles to infrastructure and operations problems. Ensures high availability, low latency, and efficient scaling of large-scale distributed systems through automation and monitoring."                                                                 , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE033, Network Engineer          , Networking          , "Designs, implements, and maintains enterprise local and wide area networks. Configures routers, switches, and firewalls while monitoring network traffic performance and ensuring maximum security compliance."                                                                         , Intermediate    , 6 Months             , Yes        , ₹4-6 LPA    , Moderate    , B.Tech ECE            , Onsite       , Yes
ROLE034, Solutions Architect       , Cloud Computing     , "Designs comprehensive enterprise technical solutions combining cloud infrastructure, software architecture, and security. Guides development teams through architectural compliance and complex integrations."                                                                          , Advanced        , 12 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE035, BI Developer              , Data                , "Transforms raw business metrics into interactive dashboards, reports, and analytical tools. Uses business intelligence platforms to visualize key performance indicators for executive and operational stakeholders."                                                                   , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , BCA                   , Hybrid       , Yes
ROLE036, Prompt Engineer           , AI                  , "Designs, tests, and optimizes textual and structural prompts to elicit accurate, high-quality outputs from large language models. Fine-tunes interactions for specific enterprise applications and automated workflows."                                                                , Beginner        , 2 Months             , Yes        , ₹4-6 LPA    , High        , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE037, Generative AI Engineer    , AI                  , "Builds advanced applications utilizing foundational generative models, vector databases, and retrieval-augmented generation pipelines. Creates custom AI agents for creative and automated text, image, and code generation."                                                           , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Remote/Hybrid, Yes
ROLE038, NLP Engineer              , AI                  , "Develops systems capable of understanding, interpreting, and generating human language. Implements text classification, sentiment analysis, and conversational bot architectures using advanced linguistic models."                                                                     , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE039, Computer Vision Engineer  , AI                  , "Builds algorithms that enable computers to extract meaningful information from digital images and videos. Implements object detection, facial recognition, and image segmentation for automated vision systems."                                                                        , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE040, AR/VR Developer           , AR/VR               , "Creates immersive augmented and virtual reality applications for training, entertainment, and enterprise simulations. Programs spatial interactions and 3D graphics environments using specialized engines."                                                                            , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE041, SAP Consultant            , Business            , "Implements, configures, and customizes SAP enterprise resource planning modules to match business processes. Provides expert technical guidance and training to clients for seamless enterprise software adoption."                                                                     , Intermediate    , 8 Months             , No         , ₹6-10 LPA   , High        , MCA                   , Hybrid       , Yes
ROLE042, ERP Consultant            , Business            , "Analyzes enterprise requirements to configure and deploy comprehensive enterprise resource planning solutions. Streamlines supply chain, financial, and human resource management workflows through integrated systems."                                                                , Intermediate    , 8 Months             , No         , ₹6-10 LPA   , High        , MCA                   , Hybrid       , Yes
ROLE043, Digital Marketing Analyst , Business            , Analyzes digital marketing campaign performance across channels to optimize acquisition metrics and ROI. Conducts audience segmentation research and delivers data-backed growth strategies for online branding.                                                                         , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , High        , Any Engineering Degree, Remote/Hybrid, Yes
ROLE044, SEO Analyst               , Business            , "Optimizes website structure, content, and metadata to improve organic search engine rankings and web traffic. Conducts keyword research and analyzes search engine algorithm updates to maximize visibility."                                                                           , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , High        , Any Engineering Degree, Remote/Hybrid, Yes
ROLE045, Technical Writer          , Support             , "Creates clear, comprehensive technical documentation, API guides, user manuals, and release notes. Translates complex engineering specifications into user-friendly instructions for developers and end-users."                                                                         , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , Moderate    , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE046, Cloud Security Engineer   , Cloud Security      , "Implements robust security controls, identity management, and compliance measures within cloud environments. Monitors cloud infrastructure for vulnerabilities and mitigates potential threat vectors."                                                                                 , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE047, Penetration Tester        , Cyber Security      , Conducts controlled security assessments and simulated attacks to discover system vulnerabilities. Generates comprehensive technical reports with remediation recommendations to improve security posture.                                                                               , Advanced        , 8 Months             , No         , ₹6-10 LPA   , Very High   , B.Tech CSE            , Remote/Hybrid, Yes
ROLE048, CRM Developer             , Software Development, Customizes and maintains customer relationship management software platforms to meet unique business workflows. Develops automated marketing processes and integrates third-party applications securely.                                                                                 , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , High        , MCA                   , Remote/Hybrid, Yes
ROLE049, Salesforce Developer      , Software Development, Builds custom applications and automated workflows on the Salesforce platform using Apex and Lightning components. Integrates Salesforce with enterprise systems to optimize customer data management.                                                                                   , Intermediate    , 6 Months             , Yes        , ₹6-10 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE050, Power BI Developer        , Data                , "Designs and deploys interactive business intelligence dashboards using Power BI. Connects various data sources, models data structures, and writes DAX queries to deliver strategic insights to stakeholders."                                                                          , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , BCA                   , Hybrid       , Yes
ROLE051, Systems Administrator     , DevOps              , "Manages, updates, and troubleshoots physical and virtual operating systems, servers, and network services. Ensures system uptime, data backups, and enforces organizational user access policies."                                                                                      , Beginner        , 4 Months             , Yes        , ₹3-5 LPA    , Moderate    , B.Tech CSE            , Onsite       , Yes
ROLE052, Automation Engineer       , Embedded Systems    , "Designs automated machinery control systems, programmable logic controllers, and industrial robotics interfaces. Programs hardware integration scripts for smart factory floors and manufacturing lines."                                                                               , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech ECE            , Onsite       , Yes
ROLE053, Firmware Engineer         , Embedded Systems    , Writes low-level machine code and device drivers that communicate directly with hardware components. Optimizes performance and memory constraints for consumer electronics and embedded computing devices.                                                                               , Intermediate    , 8 Months             , Yes        , ₹6-10 LPA   , High        , B.Tech ECE            , Onsite       , Yes
ROLE054, Storage Engineer          , Cloud Computing     , "Manages, scales, and secures enterprise storage area networks and cloud storage architectures. Ensures high data availability, disaster recovery readiness, and optimized data retrieval speeds."                                                                                       , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , Moderate    , B.Tech CSE            , Hybrid       , Yes
ROLE055, Release Engineer          , DevOps              , "Manages software build processes, release trains, and deployment orchestration across environments. Minimizes deployment downtime and automates verification checks during production rollouts."                                                                                        , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech CSE            , Hybrid       , Yes
ROLE056, Scrum Master              , Management          , "Facilitates Agile software development ceremonies, removes operational roadblocks, and coaches teams on scrum principles. Ensures high team collaboration, sprint goal alignment, and continuous delivery improvement."                                                                 , Intermediate    , 5 Months             , No         , ₹6-10 LPA   , High        , B.Tech Any Branch     , Hybrid       , Yes
ROLE057, IT Support Specialist     , Support             , "Provides frontline hardware, software, and network troubleshooting for internal organizational employees. Resolves technical tickets efficiently and maintains hardware inventory logs."                                                                                                , Beginner        , 2 Months             , Yes        , ₹3-5 LPA    , Moderate    , BCA                   , Onsite       , Yes
ROLE058, Data Governance Analyst   , Data                , "Establishes and enforces data quality policies, metadata management frameworks, and regulatory compliance protocols. Ensures secure and ethical data utilization across organizational departments."                                                                                    , Intermediate    , 5 Months             , No         , ₹5-8 LPA    , High        , B.Tech Any Branch     , Hybrid       , Yes
ROLE059, Platform Engineer         , DevOps              , Builds internal developer platforms and self-service tools to accelerate software delivery velocity and infrastructure consistency. Streamlines developer onboarding and infrastructure provisioning workflows.                                                                          , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE060, Web Developer             , Software Development, "Designs, builds, and maintains standard websites and e-commerce portals using HTML, CSS, JavaScript, and CMS platforms. Optimizes site performance and ensures cross-device responsive layouts."                                                                                        , Beginner        , 3 Months             , Yes        , ₹3-5 LPA    , Moderate    , BCA                   , Remote/Hybrid, Yes
