student_id,branch,year,cgpa,known_skills,projects_completed,internship_status,preferred_domain,preferred_role,coding_level,communication_level,english_level,daily_learning_hours,career_goal
STU0030,IT,2,9.29,"SK089, SK256, SK099, SK145, SK156",4,Yes,Cloud,ROLE041,Beginner,Intermediate,Basic,5,Cyber Security Analyst
STU0031,IT,1,9.72,"SK205, SK042, SK084, SK102, SK013",7,Yes,Data Science,ROLE059,Advanced,Advanced,Intermediate,5,Software Engineer
STU0032,Mechanical,1,9.78,"SK274, SK225, SK146, SK003, SK249",8,Yes,Data Science,ROLE042,Advanced,Advanced,Basic,1,Cloud Engineer
STU0033,ECE,4,8.26,"SK114, SK274, SK001, SK154, SK090",5,Yes,AI,ROLE060,Intermediate,Advanced,Fluent,4,Cyber Security Analyst
STU0034,IT,3,7.58,"SK076, SK265, SK028, SK236, SK086",8,No,Data Science,ROLE003,Beginner,Advanced,Fluent,6,AI Engineer
STU0035,Mechanical,3,6.32,"SK066, SK198, SK087, SK151, SK143",2,No,Mobile,ROLE016,Advanced,Beginner,Basic,4,Cyber Security Analyst
STU0036,IT,2,6.08,"SK145, SK219, SK206, SK273, SK061",7,No,Cloud,ROLE002,Beginner,Beginner,Fluent,1,Cyber Security Analyst
STU0037,IT,1,6.49,"SK114, SK227, SK113, SK141, SK193",0,No,Web Development,ROLE013,Beginner,Advanced,Basic,4,Cloud Engineer
STU0038,Civil,2,7.49,"SK179, SK121, SK236, SK078, SK197",3,No,AI,ROLE029,Advanced,Intermediate,Basic,6,Software Engineer
STU0039,CSE,4,8.57,"SK122, SK121, SK207, SK081, SK193",7,Yes,Cyber Security,ROLE003,Beginner,Beginner,Intermediate,6,Software Engineer
STU0040,Mechanical,4,8.56,"SK116, SK005, SK196, SK199, SK032",3,No,Cloud,ROLE059,Advanced,Advanced,Intermediate,5,Full Stack Developer
STU0041,CSE,2,8.49,"SK042, SK056, SK195, SK278, SK199",6,No,Data Science,ROLE042,Advanced,Intermediate,Basic,1,Software Engineer
STU0042,ECE,3,8.47,"SK070, SK098, SK039, SK270, SK135",3,Yes,Mobile,ROLE017,Intermediate,Advanced,Intermediate,4,Software Engineer
STU0043,ECE,2,6.58,"SK269, SK197, SK210, SK206, SK064",5,Yes,Mobile,ROLE052,Intermediate,Intermediate,Basic,4,Data Scientist
STU0044,IT,4,6.28,"SK135, SK087, SK161, SK012, SK103",4,Yes,Web Development,ROLE039,Beginner,Advanced,Intermediate,5,AI Engineer
STU0045,Mechanical,4,6.1,"SK225, SK183, SK005, SK028, SK079",7,Yes,AI,ROLE036,Advanced,Intermediate,Basic,5,Cloud Engineer
STU0046,Mechanical,3,8.04,"SK242, SK180, SK230, SK103, SK221",8,No,Web Development,ROLE047,Beginner,Advanced,Basic,2,Software Engineer
STU0047,EEE,2,6.4,"SK013, SK060, SK198, SK039, SK003",7,Yes,Data Science,ROLE035,Beginner,Advanced,Intermediate,2,Cloud Engineer
STU0048,Civil,1,7.94,"SK033, SK194, SK024, SK209, SK180",8,No,Data Science,ROLE027,Intermediate,Intermediate,Intermediate,5,Cloud Engineer
STU0049,IT,2,9.54,"SK111, SK050, SK203, SK111, SK046",0,No,Cloud,ROLE006,Intermediate,Beginner,Fluent,4,AI Engineer
STU0050,CSE,3,9.39,"SK018, SK215, SK073, SK068, SK116",1,Yes,Cloud,ROLE013,Beginner,Intermediate,Fluent,2,Cloud Engineer
STU0051,ECE,3,8.34,"SK147, SK111, SK188, SK133, SK254",5,Yes,Web Development,ROLE052,Beginner,Intermediate,Basic,4,Data Scientist
STU0052,Mechanical,3,6.19,"SK011, SK260, SK214, SK172, SK015",7,No,AI,ROLE025,Advanced,Intermediate,Basic,2,Full Stack Developer
STU0053,ECE,4,8.35,"SK220, SK155, SK147, SK165, SK224",7,No,AI,ROLE035,Beginner,Intermediate,Basic,1,Cloud Engineer
STU0054,IT,2,8.48,"SK200, SK079, SK075, SK066, SK248",3,Yes,Cyber Security,ROLE016,Beginner,Beginner,Basic,4,AI Engineer
STU0055,CSE,1,8.98,"SK063, SK174, SK046, SK210, SK213",7,No,Mobile,ROLE032,Beginner,Beginner,Intermediate,6,AI Engineer
STU0056,ECE,4,7.89,"SK271, SK220, SK174, SK180, SK160",5,Yes,Cloud,ROLE029,Intermediate,Intermediate,Fluent,3,Data Scientist
STU0057,Civil,3,8.92,"SK011, SK002, SK168, SK017, SK147",2,No,Web Development,ROLE011,Advanced,Beginner,Intermediate,3,Data Scientist
STU0058,IT,3,9.58,"SK007, SK005, SK083, SK053, SK227",1,No,Cyber Security,ROLE034,Advanced,Intermediate,Intermediate,5,Full Stack Developer
STU0059,IT,3,6.38,"SK260, SK210, SK266, SK139, SK077",2,No,Data Science,ROLE020,Intermediate,Beginner,Intermediate,6,AI Engineer
STU0060,IT,2,6.86,"SK130, SK251, SK226, SK037, SK153",4,No,Mobile,ROLE051,Advanced,Beginner,Fluent,3,Cloud Engineer
STU0061,CSE,4,6.33,"SK273, SK238, SK034, SK061, SK277",6,Yes,Cyber Security,ROLE040,Beginner,Advanced,Intermediate,6,Data Scientist
STU0062,IT,2,8.32,"SK261, SK097, SK027, SK075, SK246",2,Yes,AI,ROLE043,Beginner,Advanced,Fluent,2,Cyber Security Analyst
STU0063,EEE,2,7.4,"SK164, SK086, SK003, SK173, SK103",6,Yes,DevOps,ROLE044,Advanced,Intermediate,Fluent,1,Full Stack Developer
STU0064,ECE,4,8.44,"SK112, SK226, SK021, SK278, SK045",1,Yes,Cloud,ROLE057,Advanced,Intermediate,Basic,6,Cyber Security Analyst
STU0065,ECE,1,7.38,"SK028, SK037, SK070, SK090, SK011",2,Yes,Cloud,ROLE008,Advanced,Intermediate,Basic,6,Data Scientist
STU0066,ECE,2,7.13,"SK128, SK111, SK023, SK150, SK018",6,Yes,Data Science,ROLE051,Intermediate,Advanced,Intermediate,1,Cyber Security Analyst
STU0067,IT,2,6.65,"SK250, SK179, SK248, SK202, SK112",7,No,Mobile,ROLE053,Intermediate,Advanced,Fluent,2,Data Scientist
STU0068,Civil,1,7.62,"SK096, SK231, SK183, SK142, SK167",3,No,Data Science,ROLE036,Beginner,Beginner,Basic,2,AI Engineer
STU0069,CSE,1,7.4,"SK194, SK108, SK022, SK170, SK147",7,No,Web Development,ROLE007,Beginner,Intermediate,Fluent,4,AI Engineer
STU0070,ECE,2,6.36,"SK074, SK190, SK051, SK227, SK095",7,No,Cloud,ROLE053,Beginner,Beginner,Basic,1,Full Stack Developer
STU0071,Civil,3,9.21,"SK151, SK143, SK036, SK084, SK233",3,No,Cloud,ROLE042,Intermediate,Advanced,Fluent,6,Full Stack Developer
STU0072,Mechanical,2,7.1,"SK148, SK136, SK073, SK023, SK092",7,No,Mobile,ROLE043,Intermediate,Beginner,Fluent,6,Full Stack Developer
STU0073,CSE,2,6.85,"SK148, SK267, SK054, SK205, SK181",4,Yes,DevOps,ROLE030,Beginner,Beginner,Fluent,4,Cloud Engineer
STU0074,CSE,4,8.56,"SK068, SK054, SK041, SK066, SK279",8,No,DevOps,ROLE016,Beginner,Beginner,Basic,2,Data Scientist
STU0075,Mechanical,2,7.39,"SK212, SK161, SK022, SK238, SK271",6,No,Data Science,ROLE038,Advanced,Advanced,Intermediate,3,Cloud Engineer
STU0076,IT,4,7.39,"SK027, SK025, SK161, SK074, SK202",5,Yes,Cyber Security,ROLE044,Advanced,Advanced,Fluent,4,Software Engineer
STU0077,Mechanical,3,7.53,"SK144, SK043, SK119, SK232, SK007",7,No,Cyber Security,ROLE032,Advanced,Intermediate,Basic,6,AI Engineer
STU0078,Mechanical,4,6.99,"SK205, SK045, SK072, SK222, SK057",1,Yes,AI,ROLE047,Beginner,Intermediate,Fluent,5,Data Scientist
STU0079,Civil,3,9.35,"SK228, SK097, SK149, SK236, SK130",6,Yes,DevOps,ROLE050,Advanced,Intermediate,Basic,5,Software Engineer
STU0080,EEE,4,9.24,"SK020, SK133, SK070, SK229, SK067",2,Yes,Web Development,ROLE021,Advanced,Advanced,Fluent,5,Full Stack Developer
STU0081,CSE,2,8.61,"SK277, SK233, SK131, SK167, SK185",5,No,DevOps,ROLE006,Advanced,Advanced,Basic,5,Software Engineer
STU0082,Mechanical,4,9.66,"SK170, SK008, SK078, SK126, SK094",2,Yes,Mobile,ROLE007,Advanced,Beginner,Intermediate,5,Data Scientist
STU0083,CSE,1,7.73,"SK264, SK030, SK004, SK207, SK112",0,No,DevOps,ROLE057,Beginner,Intermediate,Intermediate,3,Cloud Engineer
STU0084,IT,3,6.65,"SK018, SK010, SK098, SK083, SK212",1,No,Cyber Security,ROLE035,Advanced,Intermediate,Basic,5,Data Scientist
STU0085,Civil,4,6.71,"SK177, SK278, SK101, SK122, SK103",0,No,Data Science,ROLE016,Intermediate,Intermediate,Basic,3,Cyber Security Analyst
STU0086,Mechanical,4,9.11,"SK170, SK197, SK263, SK187, SK002",7,No,DevOps,ROLE014,Beginner,Intermediate,Intermediate,3,Cyber Security Analyst
STU0087,CSE,1,7.07,"SK127, SK276, SK064, SK245, SK101",3,No,Mobile,ROLE030,Advanced,Beginner,Fluent,4,Data Scientist
STU0088,Civil,4,9.24,"SK242, SK248, SK102, SK162, SK238",2,Yes,Data Science,ROLE060,Advanced,Beginner,Basic,5,AI Engineer
STU0089,CSE,2,9.4,"SK183, SK182, SK139, SK084, SK132",2,Yes,AI,ROLE013,Intermediate,Beginner,Intermediate,2,Data Scientist
STU0090,Mechanical,1,7.87,"SK125, SK043, SK248, SK102, SK138",7,Yes,Mobile,ROLE018,Advanced,Intermediate,Intermediate,6,Software Engineer
STU0091,EEE,3,6.3,"SK029, SK085, SK194, SK084, SK242",6,No,Cyber Security,ROLE037,Beginner,Beginner,Fluent,6,Software Engineer
STU0092,ECE,3,7.02,"SK267, SK111, SK241, SK178, SK181",1,Yes,Web Development,ROLE040,Advanced,Advanced,Fluent,6,Cyber Security Analyst
STU0093,Mechanical,3,9.46,"SK208, SK164, SK175, SK116, SK143",4,No,AI,ROLE032,Advanced,Advanced,Basic,1,Cloud Engineer
STU0094,EEE,4,9.57,"SK272, SK049, SK031, SK270, SK221",8,No,Mobile,ROLE005,Beginner,Intermediate,Fluent,3,Cloud Engineer
STU0095,EEE,3,8.23,"SK213, SK045, SK171, SK122, SK222",8,No,Cloud,ROLE037,Beginner,Advanced,Intermediate,1,Cloud Engineer
STU0096,Mechanical,2,8.95,"SK125, SK100, SK096, SK111, SK269",7,Yes,Cloud,ROLE045,Advanced,Beginner,Fluent,1,AI Engineer
STU0097,CSE,1,6.53,"SK232, SK246, SK241, SK108, SK035",0,No,DevOps,ROLE024,Advanced,Beginner,Fluent,5,Full Stack Developer
STU0098,IT,4,9.71,"SK056, SK229, SK032, SK164, SK036",7,No,Data Science,ROLE016,Advanced,Advanced,Basic,6,Cloud Engineer
STU0099,CSE,2,7.85,"SK159, SK002, SK132, SK173, SK041",4,No,Mobile,ROLE057,Intermediate,Advanced,Intermediate,1,Cloud Engineer
STU0100,Civil,3,6.66,"SK168, SK093, SK051, SK026, SK014",7,Yes,Data Science,ROLE027,Beginner,Intermediate,Basic,2,Cyber Security Analyst
STU0101,Mechanical,3,8.83,"SK166, SK258, SK259, SK245, SK116",3,Yes,DevOps,ROLE038,Advanced,Intermediate,Intermediate,3,Cloud Engineer
STU0102,IT,4,7.29,"SK228, SK118, SK015, SK038, SK045",6,No,Cloud,ROLE028,Beginner,Advanced,Fluent,1,Data Scientist
STU0103,Civil,4,8.25,"SK040, SK202, SK089, SK018, SK038",3,Yes,AI,ROLE056,Advanced,Beginner,Intermediate,3,AI Engineer
STU0104,Civil,3,6.56,"SK235, SK054, SK207, SK101, SK080",4,Yes,Cloud,ROLE032,Intermediate,Beginner,Basic,2,Software Engineer
STU0105,Mechanical,4,8.21,"SK219, SK224, SK018, SK195, SK053",3,Yes,AI,ROLE060,Intermediate,Intermediate,Intermediate,5,Full Stack Developer
STU0106,IT,4,8.65,"SK069, SK218, SK025, SK001, SK080",0,Yes,AI,ROLE041,Advanced,Advanced,Intermediate,2,Cloud Engineer
STU0107,ECE,2,9.7,"SK061, SK125, SK165, SK023, SK188",4,No,DevOps,ROLE025,Advanced,Beginner,Intermediate,2,AI Engineer
STU0108,ECE,3,6.58,"SK130, SK183, SK027, SK171, SK214",4,Yes,Cloud,ROLE041,Advanced,Intermediate,Fluent,4,AI Engineer
STU0109,EEE,4,6.98,"SK241, SK024, SK084, SK079, SK110",4,Yes,Cloud,ROLE052,Beginner,Beginner,Basic,5,Data Scientist
STU0110,ECE,1,7.19,"SK078, SK179, SK149, SK034, SK040",2,No,AI,ROLE047,Advanced,Intermediate,Intermediate,3,Full Stack Developer
STU0111,Mechanical,3,7.25,"SK040, SK235, SK038, SK167, SK049",5,No,Cyber Security,ROLE058,Advanced,Advanced,Fluent,1,Data Scientist
STU0112,CSE,3,8.89,"SK035, SK112, SK010, SK070, SK250",6,Yes,Cyber Security,ROLE041,Beginner,Intermediate,Fluent,6,Full Stack Developer
STU0113,ECE,3,8.75,"SK015, SK075, SK215, SK257, SK278",3,Yes,DevOps,ROLE060,Beginner,Beginner,Basic,2,Data Scientist
STU0114,ECE,3,6.93,"SK080, SK186, SK041, SK213, SK264",4,Yes,Data Science,ROLE022,Advanced,Intermediate,Intermediate,4,Full Stack Developer
STU0115,Civil,2,7.98,"SK097, SK265, SK243, SK268, SK188",0,Yes,DevOps,ROLE044,Intermediate,Intermediate,Fluent,6,Cloud Engineer
STU0116,Mechanical,2,9.7,"SK113, SK039, SK078, SK252, SK251",6,Yes,Web Development,ROLE033,Intermediate,Beginner,Fluent,6,Data Scientist
STU0117,EEE,3,8.45,"SK071, SK048, SK197, SK016, SK011",7,Yes,Mobile,ROLE013,Intermediate,Intermediate,Intermediate,6,Cyber Security Analyst
STU0118,IT,4,6.66,"SK184, SK241, SK101, SK154, SK052",8,No,DevOps,ROLE057,Beginner,Advanced,Fluent,1,Data Scientist
STU0119,ECE,3,8.82,"SK114, SK145, SK152, SK177, SK212",4,No,Mobile,ROLE041,Intermediate,Intermediate,Fluent,3,Cloud Engineer
STU0120,IT,1,7.25,"SK186, SK238, SK115, SK102, SK180",7,No,Mobile,ROLE032,Intermediate,Intermediate,Basic,5,Full Stack Developer
STU0121,ECE,1,7.33,"SK278, SK203, SK199, SK262, SK250",7,Yes,Cloud,ROLE011,Intermediate,Intermediate,Basic,2,Software Engineer
STU0122,IT,3,8.86,"SK137, SK175, SK214, SK109, SK152",3,Yes,Cyber Security,ROLE060,Advanced,Beginner,Fluent,2,Cyber Security Analyst
STU0123,EEE,2,7.63,"SK147, SK151, SK248, SK082, SK069",3,No,Web Development,ROLE049,Advanced,Advanced,Fluent,2,AI Engineer
STU0124,Mechanical,3,9.59,"SK076, SK048, SK086, SK181, SK262",4,No,DevOps,ROLE055,Beginner,Beginner,Basic,2,Data Scientist
STU0125,EEE,3,7.34,"SK020, SK064, SK121, SK270, SK024",8,Yes,Web Development,ROLE037,Advanced,Advanced,Fluent,3,AI Engineer
STU0126,Mechanical,3,9.52,"SK005, SK107, SK258, SK072, SK060",4,No,Cloud,ROLE035,Beginner,Advanced,Basic,2,Data Scientist
STU0127,Civil,1,7.53,"SK088, SK060, SK100, SK046, SK148",1,Yes,Mobile,ROLE045,Advanced,Beginner,Basic,3,AI Engineer
STU0128,IT,1,6.65,"SK074, SK089, SK237, SK155, SK197",6,No,AI,ROLE026,Advanced,Beginner,Basic,6,Cloud Engineer
STU0129,IT,2,7.73,"SK275, SK065, SK207, SK062, SK110",6,Yes,AI,ROLE031,Advanced,Beginner,Intermediate,4,Data Scientist
STU0130,Mechanical,2,6.2,"SK047, SK160, SK271, SK257, SK217",8,No,Web Development,ROLE012,Beginner,Beginner,Basic,6,Cyber Security Analyst
STU0131,CSE,4,6.88,"SK069, SK061, SK068, SK088, SK041",6,No,Cloud,ROLE034,Intermediate,Beginner,Fluent,5,Cyber Security Analyst
STU0132,EEE,4,6.49,"SK119, SK041, SK127, SK213, SK195",3,No,Web Development,ROLE044,Intermediate,Beginner,Intermediate,5,Data Scientist
STU0133,CSE,2,9.11,"SK221, SK074, SK225, SK063, SK193",5,Yes,Data Science,ROLE045,Intermediate,Intermediate,Fluent,4,Software Engineer
STU0134,Civil,4,6.15,"SK054, SK180, SK226, SK259, SK150",0,No,DevOps,ROLE019,Advanced,Beginner,Basic,2,Software Engineer
STU0135,IT,1,7.5,"SK060, SK211, SK156, SK206, SK241",0,No,Web Development,ROLE038,Intermediate,Advanced,Fluent,1,Software Engineer
STU0136,IT,4,8.83,"SK213, SK234, SK037, SK223, SK190",0,No,AI,ROLE016,Beginner,Intermediate,Basic,4,Full Stack Developer
STU0137,EEE,3,8.69,"SK068, SK092, SK022, SK052, SK094",1,Yes,AI,ROLE017,Advanced,Advanced,Fluent,6,Data Scientist
STU0138,IT,3,8.76,"SK002, SK003, SK032, SK177, SK279",1,No,AI,ROLE014,Intermediate,Beginner,Fluent,4,AI Engineer
STU0139,Civil,4,7.72,"SK209, SK211, SK198, SK033, SK216",0,No,Web Development,ROLE044,Advanced,Intermediate,Intermediate,5,AI Engineer
STU0140,ECE,3,8.88,"SK187, SK025, SK021, SK100, SK066",1,Yes,AI,ROLE056,Advanced,Advanced,Basic,6,Cyber Security Analyst
STU0141,CSE,3,6.19,"SK192, SK172, SK185, SK127, SK208",8,Yes,Data Science,ROLE042,Advanced,Intermediate,Fluent,6,Cloud Engineer
STU0142,EEE,1,6.97,"SK160, SK152, SK114, SK019, SK214",0,No,Data Science,ROLE009,Beginner,Advanced,Basic,2,Cloud Engineer
STU0143,Civil,3,7.59,"SK183, SK140, SK070, SK250, SK111",1,Yes,Web Development,ROLE013,Beginner,Advanced,Basic,5,AI Engineer
STU0144,IT,2,8.07,"SK155, SK184, SK166, SK170, SK245",3,No,Mobile,ROLE040,Advanced,Intermediate,Fluent,2,Full Stack Developer
STU0145,EEE,3,6.88,"SK243, SK077, SK244, SK102, SK264",5,Yes,Web Development,ROLE038,Beginner,Beginner,Basic,3,Cyber Security Analyst
STU0146,IT,4,6.75,"SK274, SK008, SK225, SK049, SK254",4,No,Data Science,ROLE001,Advanced,Beginner,Basic,2,Data Scientist
STU0147,IT,2,7.61,"SK244, SK103, SK103, SK099, SK184",2,No,Mobile,ROLE024,Advanced,Intermediate,Fluent,2,Software Engineer
STU0148,Civil,1,8.84,"SK154, SK228, SK271, SK265, SK197",4,No,Mobile,ROLE053,Advanced,Advanced,Basic,3,Cloud Engineer
STU0149,Civil,2,8.82,"SK199, SK135, SK151, SK259, SK097",7,No,Cyber Security,ROLE053,Beginner,Intermediate,Intermediate,1,Cyber Security Analyst
STU0150,Mechanical,3,9.28,"SK244, SK141, SK118, SK028, SK259",2,No,Cloud,ROLE042,Intermediate,Advanced,Intermediate,1,Cyber Security Analyst
STU0151,Mechanical,1,8.38,"SK026, SK084, SK173, SK133, SK262",4,No,Cyber Security,ROLE013,Advanced,Intermediate,Basic,5,Cloud Engineer
STU0152,IT,2,8.31,"SK257, SK219, SK257, SK240, SK084",3,Yes,Cloud,ROLE009,Advanced,Beginner,Intermediate,2,Cyber Security Analyst
STU0153,IT,3,9.31,"SK052, SK160, SK133, SK087, SK129",8,No,Web Development,ROLE048,Beginner,Beginner,Intermediate,1,Cyber Security Analyst
STU0154,Mechanical,1,7.45,"SK099, SK082, SK163, SK194, SK200",0,Yes,Web Development,ROLE016,Advanced,Advanced,Fluent,3,Cyber Security Analyst
STU0155,IT,3,6.9,"SK147, SK067, SK153, SK234, SK151",2,No,AI,ROLE058,Beginner,Advanced,Intermediate,4,Cyber Security Analyst
STU0156,EEE,2,9.75,"SK106, SK267, SK035, SK265, SK002",0,Yes,Mobile,ROLE058,Intermediate,Advanced,Intermediate,6,Full Stack Developer
STU0157,Mechanical,1,6.7,"SK150, SK247, SK100, SK188, SK264",0,Yes,Data Science,ROLE039,Advanced,Intermediate,Intermediate,2,AI Engineer
STU0158,EEE,1,9.37,"SK239, SK074, SK138, SK035, SK214",7,No,Mobile,ROLE049,Intermediate,Advanced,Fluent,2,Full Stack Developer
STU0159,Civil,1,8.26,"SK263, SK227, SK044, SK203, SK015",8,Yes,DevOps,ROLE016,Beginner,Beginner,Basic,3,Full Stack Developer
STU0160,CSE,3,8.63,"SK022, SK026, SK271, SK054, SK126",5,Yes,DevOps,ROLE042,Beginner,Beginner,Fluent,5,Software Engineer
STU0161,ECE,1,9.07,"SK034, SK215, SK052, SK083, SK105",8,No,Data Science,ROLE057,Intermediate,Intermediate,Basic,2,Cyber Security Analyst
STU0162,IT,1,7.56,"SK070, SK029, SK267, SK096, SK034",7,Yes,Cloud,ROLE060,Beginner,Advanced,Basic,6,Full Stack Developer
STU0163,Civil,2,6.98,"SK037, SK179, SK205, SK073, SK112",6,Yes,Cyber Security,ROLE011,Beginner,Intermediate,Fluent,4,Data Scientist
STU0164,IT,1,6.55,"SK164, SK131, SK146, SK135, SK011",6,No,Mobile,ROLE024,Intermediate,Beginner,Basic,3,Full Stack Developer
STU0165,CSE,1,7.85,"SK135, SK077, SK219, SK195, SK274",4,No,Mobile,ROLE030,Beginner,Advanced,Fluent,1,Cyber Security Analyst
STU0166,EEE,1,7.63,"SK217, SK029, SK109, SK189, SK109",6,No,DevOps,ROLE059,Advanced,Beginner,Fluent,4,Software Engineer
STU0167,Mechanical,4,9.55,"SK146, SK166, SK256, SK094, SK109",4,Yes,Cloud,ROLE015,Advanced,Advanced,Basic,5,Data Scientist
STU0168,CSE,3,9.31,"SK073, SK264, SK139, SK157, SK191",8,No,Cyber Security,ROLE032,Intermediate,Intermediate,Intermediate,1,Cyber Security Analyst
STU0169,ECE,2,7.36,"SK021, SK239, SK110, SK080, SK242",6,No,AI,ROLE005,Intermediate,Intermediate,Fluent,1,Cyber Security Analyst
STU0170,EEE,4,6.69,"SK230, SK052, SK054, SK235, SK081",5,No,Cyber Security,ROLE057,Advanced,Intermediate,Fluent,1,AI Engineer
STU0171,IT,2,7.12,"SK167, SK046, SK268, SK163, SK006",7,Yes,Cloud,ROLE018,Intermediate,Advanced,Fluent,4,Data Scientist
STU0172,EEE,1,7.24,"SK141, SK061, SK132, SK130, SK128",4,Yes,DevOps,ROLE046,Beginner,Beginner,Intermediate,1,Data Scientist
STU0173,Mechanical,1,8.13,"SK020, SK194, SK126, SK187, SK177",1,No,Cloud,ROLE013,Intermediate,Beginner,Fluent,2,Full Stack Developer
STU0174,ECE,3,8.67,"SK006, SK120, SK182, SK262, SK043",1,Yes,Cyber Security,ROLE022,Beginner,Beginner,Fluent,3,Software Engineer
STU0175,Mechanical,4,9.33,"SK170, SK169, SK186, SK096, SK103",4,No,Mobile,ROLE013,Beginner,Advanced,Fluent,4,Data Scientist
STU0176,EEE,4,9.77,"SK231, SK116, SK034, SK150, SK133",0,Yes,DevOps,ROLE042,Beginner,Beginner,Intermediate,6,Cyber Security Analyst
STU0177,Civil,1,7.02,"SK070, SK255, SK069, SK106, SK160",2,Yes,Data Science,ROLE002,Advanced,Advanced,Fluent,1,Software Engineer
