resource_id,resource_name,resource_type,platform,topic,difficulty,language,duration,free_paid,skill_id,role_id,url
RES0038,Learning Resource 38,Research Paper,arXiv,Skill SK038,Intermediate,English,3 Hours,Paid,SK038,ROLE038,https://example.com/resource/38
RES0039,Learning Resource 39,Course,Coursera,Skill SK039,Advanced,English,4 Hours,Free,SK039,ROLE039,https://example.com/resource/39
RES0040,Learning Resource 40,Cheat Sheet,freeCodeCamp,Skill SK040,Beginner,English,5 Hours,Paid,SK040,ROLE040,https://example.com/resource/40
RES0041,Learning Resource 41,Book,O'Reilly,Skill SK041,Intermediate,English,6 Hours,Free,SK041,ROLE041,https://example.com/resource/41
RES0042,Learning Resource 42,YouTube,YouTube,Skill SK042,Advanced,English,7 Hours,Paid,SK042,ROLE042,https://example.com/resource/42
RES0043,Learning Resource 43,Documentation,MDN,Skill SK043,Beginner,English,8 Hours,Free,SK043,ROLE043,https://example.com/resource/43
RES0044,Learning Resource 44,Blog,Medium,Skill SK044,Intermediate,English,9 Hours,Paid,SK044,ROLE044,https://example.com/resource/44
RES0045,Learning Resource 45,GitHub,GitHub,Skill SK045,Advanced,English,10 Hours,Free,SK045,ROLE045,https://example.com/resource/45
RES0046,Learning Resource 46,Research Paper,arXiv,Skill SK046,Beginner,English,11 Hours,Paid,SK046,ROLE046,https://example.com/resource/46
RES0047,Learning Resource 47,Course,Coursera,Skill SK047,Intermediate,English,12 Hours,Free,SK047,ROLE047,https://example.com/resource/47
RES0048,Learning Resource 48,Cheat Sheet,freeCodeCamp,Skill SK048,Advanced,English,13 Hours,Paid,SK048,ROLE048,https://example.com/resource/48
RES0049,Learning Resource 49,Book,O'Reilly,Skill SK049,Beginner,English,14 Hours,Free,SK049,ROLE049,https://example.com/resource/49
RES0050,Learning Resource 50,YouTube,YouTube,Skill SK050,Intermediate,English,15 Hours,Paid,SK050,ROLE050,https://example.com/resource/50
RES0051,Learning Resource 51,Documentation,MDN,Skill SK051,Advanced,English,16 Hours,Free,SK051,ROLE051,https://example.com/resource/51
RES0052,Learning Resource 52,Blog,Medium,Skill SK052,Beginner,English,17 Hours,Paid,SK052,ROLE052,https://example.com/resource/52
RES0053,Learning Resource 53,GitHub,GitHub,Skill SK053,Intermediate,English,18 Hours,Free,SK053,ROLE053,https://example.com/resource/53
RES0054,Learning Resource 54,Research Paper,arXiv,Skill SK054,Advanced,English,19 Hours,Paid,SK054,ROLE054,https://example.com/resource/54
RES0055,Learning Resource 55,Course,Coursera,Skill SK055,Beginner,English,2 Hours,Free,SK055,ROLE055,https://example.com/resource/55
RES0056,Learning Resource 56,Cheat Sheet,freeCodeCamp,Skill SK056,Intermediate,English,3 Hours,Paid,SK056,ROLE056,https://example.com/resource/56
RES0057,Learning Resource 57,Book,O'Reilly,Skill SK057,Advanced,English,4 Hours,Free,SK057,ROLE057,https://example.com/resource/57
RES0058,Learning Resource 58,YouTube,YouTube,Skill SK058,Beginner,English,5 Hours,Paid,SK058,ROLE058,https://example.com/resource/58
RES0059,Learning Resource 59,Documentation,MDN,Skill SK059,Intermediate,English,6 Hours,Free,SK059,ROLE059,https://example.com/resource/59
RES0060,Learning Resource 60,Blog,Medium,Skill SK060,Advanced,English,7 Hours,Paid,SK060,ROLE060,https://example.com/resource/60
RES0061,Learning Resource 61,GitHub,GitHub,Skill SK061,Beginner,English,8 Hours,Free,SK061,ROLE001,https://example.com/resource/61
RES0062,Learning Resource 62,Research Paper,arXiv,Skill SK062,Intermediate,English,9 Hours,Paid,SK062,ROLE002,https://example.com/resource/62
RES0063,Learning Resource 63,Course,Coursera,Skill SK063,Advanced,English,10 Hours,Free,SK063,ROLE003,https://example.com/resource/63
RES0064,Learning Resource 64,Cheat Sheet,freeCodeCamp,Skill SK064,Beginner,English,11 Hours,Paid,SK064,ROLE004,https://example.com/resource/64
RES0065,Learning Resource 65,Book,O'Reilly,Skill SK065,Intermediate,English,12 Hours,Free,SK065,ROLE005,https://example.com/resource/65
RES0066,Learning Resource 66,YouTube,YouTube,Skill SK066,Advanced,English,13 Hours,Paid,SK066,ROLE006,https://example.com/resource/66
RES0067,Learning Resource 67,Documentation,MDN,Skill SK067,Beginner,English,14 Hours,Free,SK067,ROLE007,https://example.com/resource/67
RES0068,Learning Resource 68,Blog,Medium,Skill SK068,Intermediate,English,15 Hours,Paid,SK068,ROLE008,https://example.com/resource/68
RES0069,Learning Resource 69,GitHub,GitHub,Skill SK069,Advanced,English,16 Hours,Free,SK069,ROLE009,https://example.com/resource/69
RES0070,Learning Resource 70,Research Paper,arXiv,Skill SK070,Beginner,English,17 Hours,Paid,SK070,ROLE010,https://example.com/resource/70
RES0071,Learning Resource 71,Course,Coursera,Skill SK071,Intermediate,English,18 Hours,Free,SK071,ROLE011,https://example.com/resource/71
RES0072,Learning Resource 72,Cheat Sheet,freeCodeCamp,Skill SK072,Advanced,English,19 Hours,Paid,SK072,ROLE012,https://example.com/resource/72
RES0073,Learning Resource 73,Book,O'Reilly,Skill SK073,Beginner,English,2 Hours,Free,SK073,ROLE013,https://example.com/resource/73
RES0074,Learning Resource 74,YouTube,YouTube,Skill SK074,Intermediate,English,3 Hours,Paid,SK074,ROLE014,https://example.com/resource/74
RES0075,Learning Resource 75,Documentation,MDN,Skill SK075,Advanced,English,4 Hours,Free,SK075,ROLE015,https://example.com/resource/75
RES0076,Learning Resource 76,Blog,Medium,Skill SK076,Beginner,English,5 Hours,Paid,SK076,ROLE016,https://example.com/resource/76
RES0077,Learning Resource 77,GitHub,GitHub,Skill SK077,Intermediate,English,6 Hours,Free,SK077,ROLE017,https://example.com/resource/77
RES0078,Learning Resource 78,Research Paper,arXiv,Skill SK078,Advanced,English,7 Hours,Paid,SK078,ROLE018,https://example.com/resource/78
RES0079,Learning Resource 79,Course,Coursera,Skill SK079,Beginner,English,8 Hours,Free,SK079,ROLE019,https://example.com/resource/79
RES0080,Learning Resource 80,Cheat Sheet,freeCodeCamp,Skill SK080,Intermediate,English,9 Hours,Paid,SK080,ROLE020,https://example.com/resource/80
RES0081,Learning Resource 81,Book,O'Reilly,Skill SK081,Advanced,English,10 Hours,Free,SK081,ROLE021,https://example.com/resource/81
RES0082,Learning Resource 82,YouTube,YouTube,Skill SK082,Beginner,English,11 Hours,Paid,SK082,ROLE022,https://example.com/resource/82
RES0083,Learning Resource 83,Documentation,MDN,Skill SK083,Intermediate,English,12 Hours,Free,SK083,ROLE023,https://example.com/resource/83
RES0084,Learning Resource 84,Blog,Medium,Skill SK084,Advanced,English,13 Hours,Paid,SK084,ROLE024,https://example.com/resource/84
RES0085,Learning Resource 85,GitHub,GitHub,Skill SK085,Beginner,English,14 Hours,Free,SK085,ROLE025,https://example.com/resource/85
RES0086,Learning Resource 86,Research Paper,arXiv,Skill SK086,Intermediate,English,15 Hours,Paid,SK086,ROLE026,https://example.com/resource/86
RES0087,Learning Resource 87,Course,Coursera,Skill SK087,Advanced,English,16 Hours,Free,SK087,ROLE027,https://example.com/resource/87
RES0088,Learning Resource 88,Cheat Sheet,freeCodeCamp,Skill SK088,Beginner,English,17 Hours,Paid,SK088,ROLE028,https://example.com/resource/88
RES0089,Learning Resource 89,Book,O'Reilly,Skill SK089,Intermediate,English,18 Hours,Free,SK089,ROLE029,https://example.com/resource/89
RES0090,Learning Resource 90,YouTube,YouTube,Skill SK090,Advanced,English,19 Hours,Paid,SK090,ROLE030,https://example.com/resource/90
RES0091,Learning Resource 91,Documentation,MDN,Skill SK091,Beginner,English,2 Hours,Free,SK091,ROLE031,https://example.com/resource/91
RES0092,Learning Resource 92,Blog,Medium,Skill SK092,Intermediate,English,3 Hours,Paid,SK092,ROLE032,https://example.com/resource/92
RES0093,Learning Resource 93,GitHub,GitHub,Skill SK093,Advanced,English,4 Hours,Free,SK093,ROLE033,https://example.com/resource/93
RES0094,Learning Resource 94,Research Paper,arXiv,Skill SK094,Beginner,English,5 Hours,Paid,SK094,ROLE034,https://example.com/resource/94
RES0095,Learning Resource 95,Course,Coursera,Skill SK095,Intermediate,English,6 Hours,Free,SK095,ROLE035,https://example.com/resource/95
RES0096,Learning Resource 96,Cheat Sheet,freeCodeCamp,Skill SK096,Advanced,English,7 Hours,Paid,SK096,ROLE036,https://example.com/resource/96
RES0097,Learning Resource 97,Book,O'Reilly,Skill SK097,Beginner,English,8 Hours,Free,SK097,ROLE037,https://example.com/resource/97
RES0098,Learning Resource 98,YouTube,YouTube,Skill SK098,Intermediate,English,9 Hours,Paid,SK098,ROLE038,https://example.com/resource/98
RES0099,Learning Resource 99,Documentation,MDN,Skill SK099,Advanced,English,10 Hours,Free,SK099,ROLE039,https://example.com/resource/99
RES0100,Learning Resource 100,Blog,Medium,Skill SK100,Beginner,English,11 Hours,Paid,SK100,ROLE040,https://example.com/resource/100
RES0101,Learning Resource 101,GitHub,GitHub,Skill SK101,Intermediate,English,12 Hours,Free,SK101,ROLE041,https://example.com/resource/101
RES0102,Learning Resource 102,Research Paper,arXiv,Skill SK102,Advanced,English,13 Hours,Paid,SK102,ROLE042,https://example.com/resource/102
RES0103,Learning Resource 103,Course,Coursera,Skill SK103,Beginner,English,14 Hours,Free,SK103,ROLE043,https://example.com/resource/103
RES0104,Learning Resource 104,Cheat Sheet,freeCodeCamp,Skill SK104,Intermediate,English,15 Hours,Paid,SK104,ROLE044,https://example.com/resource/104
RES0105,Learning Resource 105,Book,O'Reilly,Skill SK105,Advanced,English,16 Hours,Free,SK105,ROLE045,https://example.com/resource/105
RES0106,Learning Resource 106,YouTube,YouTube,Skill SK106,Beginner,English,17 Hours,Paid,SK106,ROLE046,https://example.com/resource/106
RES0107,Learning Resource 107,Documentation,MDN,Skill SK107,Intermediate,English,18 Hours,Free,SK107,ROLE047,https://example.com/resource/107
RES0108,Learning Resource 108,Blog,Medium,Skill SK108,Advanced,English,19 Hours,Paid,SK108,ROLE048,https://example.com/resource/108
RES0109,Learning Resource 109,GitHub,GitHub,Skill SK109,Beginner,English,2 Hours,Free,SK109,ROLE049,https://example.com/resource/109
RES0110,Learning Resource 110,Research Paper,arXiv,Skill SK110,Intermediate,English,3 Hours,Paid,SK110,ROLE050,https://example.com/resource/110
RES0111,Learning Resource 111,Course,Coursera,Skill SK111,Advanced,English,4 Hours,Free,SK111,ROLE051,https://example.com/resource/111
RES0112,Learning Resource 112,Cheat Sheet,freeCodeCamp,Skill SK112,Beginner,English,5 Hours,Paid,SK112,ROLE052,https://example.com/resource/112
RES0113,Learning Resource 113,Book,O'Reilly,Skill SK113,Intermediate,English,6 Hours,Free,SK113,ROLE053,https://example.com/resource/113
RES0114,Learning Resource 114,YouTube,YouTube,Skill SK114,Advanced,English,7 Hours,Paid,SK114,ROLE054,https://example.com/resource/114
RES0115,Learning Resource 115,Documentation,MDN,Skill SK115,Beginner,English,8 Hours,Free,SK115,ROLE055,https://example.com/resource/115
RES0116,Learning Resource 116,Blog,Medium,Skill SK116,Intermediate,English,9 Hours,Paid,SK116,ROLE056,https://example.com/resource/116
RES0117,Learning Resource 117,GitHub,GitHub,Skill SK117,Advanced,English,10 Hours,Free,SK117,ROLE057,https://example.com/resource/117
RES0118,Learning Resource 118,Research Paper,arXiv,Skill SK118,Beginner,English,11 Hours,Paid,SK118,ROLE058,https://example.com/resource/118
RES0119,Learning Resource 119,Course,Coursera,Skill SK119,Intermediate,English,12 Hours,Free,SK119,ROLE059,https://example.com/resource/119
RES0120,Learning Resource 120,Cheat Sheet,freeCodeCamp,Skill SK120,Advanced,English,13 Hours,Paid,SK120,ROLE060,https://example.com/resource/120
RES0121,Learning Resource 121,Book,O'Reilly,Skill SK121,Beginner,English,14 Hours,Free,SK121,ROLE001,https://example.com/resource/121
RES0122,Learning Resource 122,YouTube,YouTube,Skill SK122,Intermediate,English,15 Hours,Paid,SK122,ROLE002,https://example.com/resource/122
RES0123,Learning Resource 123,Documentation,MDN,Skill SK123,Advanced,English,16 Hours,Free,SK123,ROLE003,https://example.com/resource/123
RES0124,Learning Resource 124,Blog,Medium,Skill SK124,Beginner,English,17 Hours,Paid,SK124,ROLE004,https://example.com/resource/124
RES0125,Learning Resource 125,GitHub,GitHub,Skill SK125,Intermediate,English,18 Hours,Free,SK125,ROLE005,https://example.com/resource/125
RES0126,Learning Resource 126,Research Paper,arXiv,Skill SK126,Advanced,English,19 Hours,Paid,SK126,ROLE006,https://example.com/resource/126
RES0127,Learning Resource 127,Course,Coursera,Skill SK127,Beginner,English,2 Hours,Free,SK127,ROLE007,https://example.com/resource/127
RES0128,Learning Resource 128,Cheat Sheet,freeCodeCamp,Skill SK128,Intermediate,English,3 Hours,Paid,SK128,ROLE008,https://example.com/resource/128
RES0129,Learning Resource 129,Book,O'Reilly,Skill SK129,Advanced,English,4 Hours,Free,SK129,ROLE009,https://example.com/resource/129
RES0130,Learning Resource 130,YouTube,YouTube,Skill SK130,Beginner,English,5 Hours,Paid,SK130,ROLE010,https://example.com/resource/130
RES0131,Learning Resource 131,Documentation,MDN,Skill SK131,Intermediate,English,6 Hours,Free,SK131,ROLE011,https://example.com/resource/131
RES0132,Learning Resource 132,Blog,Medium,Skill SK132,Advanced,English,7 Hours,Paid,SK132,ROLE012,https://example.com/resource/132
RES0133,Learning Resource 133,GitHub,GitHub,Skill SK133,Beginner,English,8 Hours,Free,SK133,ROLE013,https://example.com/resource/133
RES0134,Learning Resource 134,Research Paper,arXiv,Skill SK134,Intermediate,English,9 Hours,Paid,SK134,ROLE014,https://example.com/resource/134
RES0135,Learning Resource 135,Course,Coursera,Skill SK135,Advanced,English,10 Hours,Free,SK135,ROLE015,https://example.com/resource/135
RES0136,Learning Resource 136,Cheat Sheet,freeCodeCamp,Skill SK136,Beginner,English,11 Hours,Paid,SK136,ROLE016,https://example.com/resource/136
RES0137,Learning Resource 137,Book,O'Reilly,Skill SK137,Intermediate,English,12 Hours,Free,SK137,ROLE017,https://example.com/resource/137
RES0138,Learning Resource 138,YouTube,YouTube,Skill SK138,Advanced,English,13 Hours,Paid,SK138,ROLE018,https://example.com/resource/138
RES0139,Learning Resource 139,Documentation,MDN,Skill SK139,Beginner,English,14 Hours,Free,SK139,ROLE019,https://example.com/resource/139
RES0140,Learning Resource 140,Blog,Medium,Skill SK140,Intermediate,English,15 Hours,Paid,SK140,ROLE020,https://example.com/resource/140
RES0141,Learning Resource 141,GitHub,GitHub,Skill SK141,Advanced,English,16 Hours,Free,SK141,ROLE021,https://example.com/resource/141
RES0142,Learning Resource 142,Research Paper,arXiv,Skill SK142,Beginner,English,17 Hours,Paid,SK142,ROLE022,https://example.com/resource/142
RES0143,Learning Resource 143,Course,Coursera,Skill SK143,Intermediate,English,18 Hours,Free,SK143,ROLE023,https://example.com/resource/143
RES0144,Learning Resource 144,Cheat Sheet,freeCodeCamp,Skill SK144,Advanced,English,19 Hours,Paid,SK144,ROLE024,https://example.com/resource/144
RES0145,Learning Resource 145,Book,O'Reilly,Skill SK145,Beginner,English,2 Hours,Free,SK145,ROLE025,https://example.com/resource/145
RES0146,Learning Resource 146,YouTube,YouTube,Skill SK146,Intermediate,English,3 Hours,Paid,SK146,ROLE026,https://example.com/resource/146
RES0147,Learning Resource 147,Documentation,MDN,Skill SK147,Advanced,English,4 Hours,Free,SK147,ROLE027,https://example.com/resource/147
RES0148,Learning Resource 148,Blog,Medium,Skill SK148,Beginner,English,5 Hours,Paid,SK148,ROLE028,https://example.com/resource/148
RES0149,Learning Resource 149,GitHub,GitHub,Skill SK149,Intermediate,English,6 Hours,Free,SK149,ROLE029,https://example.com/resource/149
RES0150,Learning Resource 150,Research Paper,arXiv,Skill SK150,Advanced,English,7 Hours,Paid,SK150,ROLE030,https://example.com/resource/150
RES0151,Learning Resource 151,Course,Coursera,Skill SK151,Beginner,English,8 Hours,Free,SK151,ROLE031,https://example.com/resource/151
RES0152,Learning Resource 152,Cheat Sheet,freeCodeCamp,Skill SK152,Intermediate,English,9 Hours,Paid,SK152,ROLE032,https://example.com/resource/152
RES0153,Learning Resource 153,Book,O'Reilly,Skill SK153,Advanced,English,10 Hours,Free,SK153,ROLE033,https://example.com/resource/153
RES0154,Learning Resource 154,YouTube,YouTube,Skill SK154,Beginner,English,11 Hours,Paid,SK154,ROLE034,https://example.com/resource/154
RES0155,Learning Resource 155,Documentation,MDN,Skill SK155,Intermediate,English,12 Hours,Free,SK155,ROLE035,https://example.com/resource/155
RES0156,Learning Resource 156,Blog,Medium,Skill SK156,Advanced,English,13 Hours,Paid,SK156,ROLE036,https://example.com/resource/156
RES0157,Learning Resource 157,GitHub,GitHub,Skill SK157,Beginner,English,14 Hours,Free,SK157,ROLE037,https://example.com/resource/157
RES0158,Learning Resource 158,Research Paper,arXiv,Skill SK158,Intermediate,English,15 Hours,Paid,SK158,ROLE038,https://example.com/resource/158
RES0159,Learning Resource 159,Course,Coursera,Skill SK159,Advanced,English,16 Hours,Free,SK159,ROLE039,https://example.com/resource/159
RES0160,Learning Resource 160,Cheat Sheet,freeCodeCamp,Skill SK160,Beginner,English,17 Hours,Paid,SK160,ROLE040,https://example.com/resource/160
RES0161,Learning Resource 161,Book,O'Reilly,Skill SK161,Intermediate,English,18 Hours,Free,SK161,ROLE041,https://example.com/resource/161
RES0162,Learning Resource 162,YouTube,YouTube,Skill SK162,Advanced,English,19 Hours,Paid,SK162,ROLE042,https://example.com/resource/162
RES0163,Learning Resource 163,Documentation,MDN,Skill SK163,Beginner,English,2 Hours,Free,SK163,ROLE043,https://example.com/resource/163
RES0164,Learning Resource 164,Blog,Medium,Skill SK164,Intermediate,English,3 Hours,Paid,SK164,ROLE044,https://example.com/resource/164
RES0165,Learning Resource 165,GitHub,GitHub,Skill SK165,Advanced,English,4 Hours,Free,SK165,ROLE045,https://example.com/resource/165
RES0166,Learning Resource 166,Research Paper,arXiv,Skill SK166,Beginner,English,5 Hours,Paid,SK166,ROLE046,https://example.com/resource/166
RES0167,Learning Resource 167,Course,Coursera,Skill SK167,Intermediate,English,6 Hours,Free,SK167,ROLE047,https://example.com/resource/167
RES0168,Learning Resource 168,Cheat Sheet,freeCodeCamp,Skill SK168,Advanced,English,7 Hours,Paid,SK168,ROLE048,https://example.com/resource/168
RES0169,Learning Resource 169,Book,O'Reilly,Skill SK169,Beginner,English,8 Hours,Free,SK169,ROLE049,https://example.com/resource/169
RES0170,Learning Resource 170,YouTube,YouTube,Skill SK170,Intermediate,English,9 Hours,Paid,SK170,ROLE050,https://example.com/resource/170
RES0171,Learning Resource 171,Documentation,MDN,Skill SK171,Advanced,English,10 Hours,Free,SK171,ROLE051,https://example.com/resource/171
RES0172,Learning Resource 172,Blog,Medium,Skill SK172,Beginner,English,11 Hours,Paid,SK172,ROLE052,https://example.com/resource/172
RES0173,Learning Resource 173,GitHub,GitHub,Skill SK173,Intermediate,English,12 Hours,Free,SK173,ROLE053,https://example.com/resource/173
RES0174,Learning Resource 174,Research Paper,arXiv,Skill SK174,Advanced,English,13 Hours,Paid,SK174,ROLE054,https://example.com/resource/174
RES0175,Learning Resource 175,Course,Coursera,Skill SK175,Beginner,English,14 Hours,Free,SK175,ROLE055,https://example.com/resource/175
RES0176,Learning Resource 176,Cheat Sheet,freeCodeCamp,Skill SK176,Intermediate,English,15 Hours,Paid,SK176,ROLE056,https://example.com/resource/176
RES0177,Learning Resource 177,Book,O'Reilly,Skill SK177,Advanced,English,16 Hours,Free,SK177,ROLE057,https://example.com/resource/177
RES0178,Learning Resource 178,YouTube,YouTube,Skill SK178,Beginner,English,17 Hours,Paid,SK178,ROLE058,https://example.com/resource/178
RES0179,Learning Resource 179,Documentation,MDN,Skill SK179,Intermediate,English,18 Hours,Free,SK179,ROLE059,https://example.com/resource/179
RES0180,Learning Resource 180,Blog,Medium,Skill SK180,Advanced,English,19 Hours,Paid,SK180,ROLE060,https://example.com/resource/180
RES0181,Learning Resource 181,GitHub,GitHub,Skill SK181,Beginner,English,2 Hours,Free,SK181,ROLE001,https://example.com/resource/181
RES0182,Learning Resource 182,Research Paper,arXiv,Skill SK182,Intermediate,English,3 Hours,Paid,SK182,ROLE002,https://example.com/resource/182
RES0183,Learning Resource 183,Course,Coursera,Skill SK183,Advanced,English,4 Hours,Free,SK183,ROLE003,https://example.com/resource/183
RES0184,Learning Resource 184,Cheat Sheet,freeCodeCamp,Skill SK184,Beginner,English,5 Hours,Paid,SK184,ROLE004,https://example.com/resource/184
RES0185,Learning Resource 185,Book,O'Reilly,Skill SK185,Intermediate,English,6 Hours,Free,SK185,ROLE005,https://example.com/resource/185
RES0186,Learning Resource 186,YouTube,YouTube,Skill SK186,Advanced,English,7 Hours,Paid,SK186,ROLE006,https://example.com/resource/186
RES0187,Learning Resource 187,Documentation,MDN,Skill SK187,Beginner,English,8 Hours,Free,SK187,ROLE007,https://example.com/resource/187
RES0188,Learning Resource 188,Blog,Medium,Skill SK188,Intermediate,English,9 Hours,Paid,SK188,ROLE008,https://example.com/resource/188
RES0189,Learning Resource 189,GitHub,GitHub,Skill SK189,Advanced,English,10 Hours,Free,SK189,ROLE009,https://example.com/resource/189
RES0190,Learning Resource 190,Research Paper,arXiv,Skill SK190,Beginner,English,11 Hours,Paid,SK190,ROLE010,https://example.com/resource/190
RES0191,Learning Resource 191,Course,Coursera,Skill SK191,Intermediate,English,12 Hours,Free,SK191,ROLE011,https://example.com/resource/191
RES0192,Learning Resource 192,Cheat Sheet,freeCodeCamp,Skill SK192,Advanced,English,13 Hours,Paid,SK192,ROLE012,https://example.com/resource/192
RES0193,Learning Resource 193,Book,O'Reilly,Skill SK193,Beginner,English,14 Hours,Free,SK193,ROLE013,https://example.com/resource/193
RES0194,Learning Resource 194,YouTube,YouTube,Skill SK194,Intermediate,English,15 Hours,Paid,SK194,ROLE014,https://example.com/resource/194
RES0195,Learning Resource 195,Documentation,MDN,Skill SK195,Advanced,English,16 Hours,Free,SK195,ROLE015,https://example.com/resource/195
RES0196,Learning Resource 196,Blog,Medium,Skill SK196,Beginner,English,17 Hours,Paid,SK196,ROLE016,https://example.com/resource/196
RES0197,Learning Resource 197,GitHub,GitHub,Skill SK197,Intermediate,English,18 Hours,Free,SK197,ROLE017,https://example.com/resource/197
RES0198,Learning Resource 198,Research Paper,arXiv,Skill SK198,Advanced,English,19 Hours,Paid,SK198,ROLE018,https://example.com/resource/198
RES0199,Learning Resource 199,Course,Coursera,Skill SK199,Beginner,English,2 Hours,Free,SK199,ROLE019,https://example.com/resource/199
RES0200,Learning Resource 200,Cheat Sheet,freeCodeCamp,Skill SK200,Intermediate,English,3 Hours,Paid,SK200,ROLE020,https://example.com/resource/200
