college_id,college_name,city,state,top_branch,intake_capacity,placement_rate_percent,average_package_lpa_x10,accreditation,college_type
COL066,Prayagraj Institute of Engineering & Technology 66,Prayagraj,Uttar Pradesh,Information Technology,597,79,70,NAAC A++,Autonomous
COL067,Gwalior Institute of Engineering & Technology 67,Gwalior,Madhya Pradesh,Civil,855,97,185,AICTE Approved,Autonomous
COL068,Hyderabad Institute of Engineering & Technology 68,Hyderabad,Telangana,Civil,600,82,146,NAAC A+,Government
COL069,Lucknow Institute of Engineering & Technology 69,Lucknow,Uttar Pradesh,Civil,350,89,101,AICTE Approved,Autonomous
COL070,Jaipur Institute of Engineering & Technology 70,Jaipur,Rajasthan,Civil,339,68,20,NAAC A+,Autonomous
COL071,Chennai Institute of Engineering & Technology 71,Chennai,Tamil Nadu,Chemical,573,67,93,NAAC A+,Government
COL072,Hyderabad Institute of Engineering & Technology 72,Hyderabad,Telangana,Computer Science,934,61,67,NBA,Government
COL073,Gwalior Institute of Engineering & Technology 73,Gwalior,Madhya Pradesh,Electrical,886,98,43,NAAC A,Government
COL074,Gwalior Institute of Engineering & Technology 74,Gwalior,Madhya Pradesh,Information Technology,869,81,98,AICTE Approved,Government
COL075,Udaipur Institute of Engineering & Technology 75,Udaipur,Rajasthan,Mechanical,763,89,196,NAAC A,Government
COL076,Hyderabad Institute of Engineering & Technology 76,Hyderabad,Telangana,Mechanical,463,74,194,NAAC A++,Private
COL077,Pune Institute of Engineering & Technology 77,Pune,Maharashtra,Civil,152,88,180,NBA,Autonomous
COL078,Nagpur Institute of Engineering & Technology 78,Nagpur,Maharashtra,Information Technology,527,80,69,AICTE Approved,Government
COL079,Madurai Institute of Engineering & Technology 79,Madurai,Tamil Nadu,Electronics & Communication,253,91,115,NAAC A++,Government
COL080,Warangal Institute of Engineering & Technology 80,Warangal,Telangana,Mechanical,292,60,55,NAAC A++,Autonomous
COL081,Nashik Institute of Engineering & Technology 81,Nashik,Maharashtra,Electrical,991,90,172,NAAC A+,Government
COL082,Warangal Institute of Engineering & Technology 82,Warangal,Telangana,Electronics & Communication,142,71,21,AICTE Approved,Government
COL083,Hubballi Institute of Engineering & Technology 83,Hubballi,Karnataka,Information Technology,277,67,125,NAAC A+,Government
COL084,Nashik Institute of Engineering & Technology 84,Nashik,Maharashtra,Civil,843,63,183,NBA,Private
COL085,Warangal Institute of Engineering & Technology 85,Warangal,Telangana,Civil,1145,63,120,NAAC A++,Autonomous
COL086,Mumbai Institute of Engineering & Technology 86,Mumbai,Maharashtra,Mechanical,899,89,79,NAAC A+,Private
COL087,Bengaluru Institute of Engineering & Technology 87,Bengaluru,Karnataka,Computer Science,577,93,88,AICTE Approved,Autonomous
COL088,Hyderabad Institute of Engineering & Technology 88,Hyderabad,Telangana,Computer Science,613,60,125,NBA,Private
COL089,Hyderabad Institute of Engineering & Technology 89,Hyderabad,Telangana,Electrical,857,59,171,NBA,Private
COL090,Gwalior Institute of Engineering & Technology 90,Gwalior,Madhya Pradesh,Chemical,702,79,77,NBA,Private
COL091,Gwalior Institute of Engineering & Technology 91,Gwalior,Madhya Pradesh,Electrical,131,91,61,NAAC A++,Government
COL092,Indore Institute of Engineering & Technology 92,Indore,Madhya Pradesh,Chemical,864,57,151,NAAC A+,Private
COL093,Bengaluru Institute of Engineering & Technology 93,Bengaluru,Karnataka,Computer Science,1143,78,105,AICTE Approved,Private
COL094,Varanasi Institute of Engineering & Technology 94,Varanasi,Uttar Pradesh,Civil,666,76,147,NAAC A,Private
COL095,Pune Institute of Engineering & Technology 95,Pune,Maharashtra,Electrical,276,95,48,NAAC A,Private
COL096,Hyderabad Institute of Engineering & Technology 96,Hyderabad,Telangana,Computer Science,630,65,28,NAAC A+,Private
COL097,Pune Institute of Engineering & Technology 97,Pune,Maharashtra,Information Technology,361,92,186,NAAC A,Autonomous
COL098,Hubballi Institute of Engineering & Technology 98,Hubballi,Karnataka,Civil,393,87,95,AICTE Approved,Private
COL099,Madurai Institute of Engineering & Technology 99,Madurai,Tamil Nadu,Chemical,939,59,115,NAAC A,Autonomous
COL100,Warangal Institute of Engineering & Technology 100,Warangal,Telangana,Electrical,522,89,85,AICTE Approved,Government
COL101,Hyderabad Institute of Engineering & Technology 101,Hyderabad,Telangana,Electronics & Communication,298,68,33,NAAC A,Autonomous
COL102,Indore Institute of Engineering & Technology 102,Indore,Madhya Pradesh,Information Technology,768,91,120,NAAC A+,Private
COL103,Jaipur Institute of Engineering & Technology 103,Jaipur,Rajasthan,Chemical,164,94,131,NAAC A++,Private
COL104,Hyderabad Institute of Engineering & Technology 104,Hyderabad,Telangana,Information Technology,284,60,85,NAAC A,Private
COL105,Lucknow Institute of Engineering & Technology 105,Lucknow,Uttar Pradesh,Electronics & Communication,267,55,163,NAAC A,Government
COL106,Nashik Institute of Engineering & Technology 106,Nashik,Maharashtra,Information Technology,746,81,76,NBA,Private
COL107,Mysuru Institute of Engineering & Technology 107,Mysuru,Karnataka,Mechanical,683,68,24,NAAC A+,Government
COL108,Coimbatore Institute of Engineering & Technology 108,Coimbatore,Tamil Nadu,Chemical,303,61,151,NAAC A+,Autonomous
COL109,Varanasi Institute of Engineering & Technology 109,Varanasi,Uttar Pradesh,Electrical,792,61,163,NAAC A++,Autonomous
COL110,Mumbai Institute of Engineering & Technology 110,Mumbai,Maharashtra,Computer Science,234,66,186,NBA,Government
COL111,Warangal Institute of Engineering & Technology 111,Warangal,Telangana,Computer Science,500,69,174,NAAC A,Autonomous
COL112,Bhopal Institute of Engineering & Technology 112,Bhopal,Madhya Pradesh,Computer Science,966,82,110,AICTE Approved,Government
COL113,Chennai Institute of Engineering & Technology 113,Chennai,Tamil Nadu,Electronics & Communication,157,75,154,NAAC A,Autonomous
COL114,Kota Institute of Engineering & Technology 114,Kota,Rajasthan,Information Technology,641,88,173,NBA,Government
COL115,Indore Institute of Engineering & Technology 115,Indore,Madhya Pradesh,Electronics & Communication,570,72,130,NAAC A,Government
COL116,Udaipur Institute of Engineering & Technology 116,Udaipur,Rajasthan,Information Technology,586,70,67,NAAC A+,Government
COL117,Mumbai Institute of Engineering & Technology 117,Mumbai,Maharashtra,Electrical,694,81,126,AICTE Approved,Private
COL118,Jaipur Institute of Engineering & Technology 118,Jaipur,Rajasthan,Mechanical,1057,59,68,AICTE Approved,Private
COL119,Pune Institute of Engineering & Technology 119,Pune,Maharashtra,Computer Science,432,63,133,AICTE Approved,Autonomous
COL120,Bhopal Institute of Engineering & Technology 120,Bhopal,Madhya Pradesh,Electronics & Communication,466,66,40,NAAC A,Private
COL121,Hubballi Institute of Engineering & Technology 121,Hubballi,Karnataka,Computer Science,478,82,190,AICTE Approved,Government
COL122,Chennai Institute of Engineering & Technology 122,Chennai,Tamil Nadu,Civil,1021,75,158,NAAC A,Autonomous
COL123,Madurai Institute of Engineering & Technology 123,Madurai,Tamil Nadu,Information Technology,1120,80,200,AICTE Approved,Autonomous
COL124,Hyderabad Institute of Engineering & Technology 124,Hyderabad,Telangana,Chemical,616,96,36,NBA,Government
COL125,Madurai Institute of Engineering & Technology 125,Madurai,Tamil Nadu,Mechanical,287,87,184,NAAC A,Government
COL126,Pune Institute of Engineering & Technology 126,Pune,Maharashtra,Chemical,289,60,52,NAAC A,Private
COL127,Noida Institute of Engineering & Technology 127,Noida,Uttar Pradesh,Computer Science,402,73,140,NAAC A+,Autonomous
COL128,Udaipur Institute of Engineering & Technology 128,Udaipur,Rajasthan,Mechanical,1133,64,111,NAAC A,Autonomous
COL129,Nagpur Institute of Engineering & Technology 129,Nagpur,Maharashtra,Information Technology,456,96,59,AICTE Approved,Government
COL130,Bengaluru Institute of Engineering & Technology 130,Bengaluru,Karnataka,Electrical,143,61,63,NAAC A++,Government
COL131,Nashik Institute of Engineering & Technology 131,Nashik,Maharashtra,Information Technology,171,87,25,AICTE Approved,Private
COL132,Pune Institute of Engineering & Technology 132,Pune,Maharashtra,Electronics & Communication,835,89,31,NBA,Private
COL133,Bhopal Institute of Engineering & Technology 133,Bhopal,Madhya Pradesh,Civil,476,64,173,NAAC A+,Autonomous
COL134,Warangal Institute of Engineering & Technology 134,Warangal,Telangana,Mechanical,935,80,122,NBA,Government
COL135,Kota Institute of Engineering & Technology 135,Kota,Rajasthan,Information Technology,242,92,130,AICTE Approved,Private
COL136,Warangal Institute of Engineering & Technology 136,Warangal,Telangana,Electrical,923,60,82,NAAC A+,Private
COL137,Kota Institute of Engineering & Technology 137,Kota,Rajasthan,Mechanical,599,89,102,NAAC A+,Private
COL138,Indore Institute of Engineering & Technology 138,Indore,Madhya Pradesh,Mechanical,401,94,160,NAAC A++,Autonomous
COL139,Jaipur Institute of Engineering & Technology 139,Jaipur,Rajasthan,Electronics & Communication,217,62,81,AICTE Approved,Autonomous
COL140,Indore Institute of Engineering & Technology 140,Indore,Madhya Pradesh,Chemical,1134,74,190,NAAC A+,Autonomous
COL141,Bengaluru Institute of Engineering & Technology 141,Bengaluru,Karnataka,Information Technology,1168,82,52,NAAC A+,Private
COL142,Madurai Institute of Engineering & Technology 142,Madurai,Tamil Nadu,Electrical,206,92,114,AICTE Approved,Autonomous
COL143,Hyderabad Institute of Engineering & Technology 143,Hyderabad,Telangana,Electrical,283,71,63,NBA,Private
COL144,Bengaluru Institute of Engineering & Technology 144,Bengaluru,Karnataka,Information Technology,1080,81,177,NAAC A++,Private
COL145,Hyderabad Institute of Engineering & Technology 145,Hyderabad,Telangana,Mechanical,1167,88,36,NAAC A++,Government
COL146,Mysuru Institute of Engineering & Technology 146,Mysuru,Karnataka,Chemical,281,70,57,NBA,Government
COL147,Nashik Institute of Engineering & Technology 147,Nashik,Maharashtra,Information Technology,501,91,160,NAAC A,Private
COL148,Gwalior Institute of Engineering & Technology 148,Gwalior,Madhya Pradesh,Computer Science,821,74,166,NBA,Government
COL149,Indore Institute of Engineering & Technology 149,Indore,Madhya Pradesh,Electronics & Communication,694,68,156,NBA,Government
COL150,Nagpur Institute of Engineering & Technology 150,Nagpur,Maharashtra,Civil,1028,61,106,NAAC A++,Autonomous
COL151,Udaipur Institute of Engineering & Technology 151,Udaipur,Rajasthan,Electronics & Communication,1116,70,47,NAAC A++,Government
COL152,Mysuru Institute of Engineering & Technology 152,Mysuru,Karnataka,Chemical,134,87,131,NAAC A+,Government
COL153,Bhopal Institute of Engineering & Technology 153,Bhopal,Madhya Pradesh,Electrical,1051,62,115,NBA,Government
COL154,Udaipur Institute of Engineering & Technology 154,Udaipur,Rajasthan,Chemical,270,61,154,NAAC A,Government
COL155,Warangal Institute of Engineering & Technology 155,Warangal,Telangana,Civil,456,58,172,NAAC A+,Government
COL156,Prayagraj Institute of Engineering & Technology 156,Prayagraj,Uttar Pradesh,Electrical,217,74,56,NAAC A++,Government
COL157,Prayagraj Institute of Engineering & Technology 157,Prayagraj,Uttar Pradesh,Information Technology,1145,92,172,AICTE Approved,Private
COL158,Mumbai Institute of Engineering & Technology 158,Mumbai,Maharashtra,Electronics & Communication,842,76,195,NAAC A,Private
COL159,Gwalior Institute of Engineering & Technology 159,Gwalior,Madhya Pradesh,Electronics & Communication,1178,58,120,NBA,Private
COL160,Bengaluru Institute of Engineering & Technology 160,Bengaluru,Karnataka,Computer Science,418,92,172,NBA,Government
COL161,Varanasi Institute of Engineering & Technology 161,Varanasi,Uttar Pradesh,Civil,1117,69,52,NAAC A,Autonomous
COL162,Kota Institute of Engineering & Technology 162,Kota,Rajasthan,Mechanical,130,94,128,NAAC A,Government
COL163,Lucknow Institute of Engineering & Technology 163,Lucknow,Uttar Pradesh,Civil,1198,88,41,NAAC A+,Autonomous
COL164,Udaipur Institute of Engineering & Technology 164,Udaipur,Rajasthan,Electrical,266,56,104,NAAC A,Private
COL165,Madurai Institute of Engineering & Technology 165,Madurai,Tamil Nadu,Information Technology,177,61,58,NAAC A,Private
COL166,Warangal Institute of Engineering & Technology 166,Warangal,Telangana,Information Technology,616,87,45,NBA,Government
COL167,Bhopal Institute of Engineering & Technology 167,Bhopal,Madhya Pradesh,Civil,202,68,171,NBA,Private
COL168,Kota Institute of Engineering & Technology 168,Kota,Rajasthan,Computer Science,926,90,69,AICTE Approved,Government
COL169,Gwalior Institute of Engineering & Technology 169,Gwalior,Madhya Pradesh,Electrical,318,59,102,NAAC A,Private
COL170,Hyderabad Institute of Engineering & Technology 170,Hyderabad,Telangana,Chemical,535,72,51,AICTE Approved,Government
COL171,Mysuru Institute of Engineering & Technology 171,Mysuru,Karnataka,Computer Science,279,89,157,NAAC A++,Government
COL172,Hyderabad Institute of Engineering & Technology 172,Hyderabad,Telangana,Civil,1118,86,93,NAAC A+,Private
COL173,Nashik Institute of Engineering & Technology 173,Nashik,Maharashtra,Mechanical,576,71,59,NBA,Autonomous
COL174,Madurai Institute of Engineering & Technology 174,Madurai,Tamil Nadu,Computer Science,1163,86,98,NAAC A+,Autonomous
COL175,Bengaluru Institute of Engineering & Technology 175,Bengaluru,Karnataka,Information Technology,704,58,112,NAAC A+,Government
COL176,Ghaziabad Institute of Engineering & Technology 176,Ghaziabad,Uttar Pradesh,Mechanical,404,63,38,AICTE Approved,Government
COL177,Nagpur Institute of Engineering & Technology 177,Nagpur,Maharashtra,Mechanical,708,57,174,AICTE Approved,Autonomous
COL178,Ghaziabad Institute of Engineering & Technology 178,Ghaziabad,Uttar Pradesh,Mechanical,786,80,139,NAAC A+,Autonomous
COL179,Gwalior Institute of Engineering & Technology 179,Gwalior,Madhya Pradesh,Chemical,929,63,37,NAAC A++,Autonomous
COL180,Indore Institute of Engineering & Technology 180,Indore,Madhya Pradesh,Computer Science,365,95,113,NBA,Private
COL181,Prayagraj Institute of Engineering & Technology 181,Prayagraj,Uttar Pradesh,Electronics & Communication,893,67,65,NBA,Government
COL182,Indore Institute of Engineering & Technology 182,Indore,Madhya Pradesh,Electronics & Communication,546,81,116,NAAC A++,Private
COL183,Chennai Institute of Engineering & Technology 183,Chennai,Tamil Nadu,Computer Science,421,62,131,NBA,Government
COL184,Hyderabad Institute of Engineering & Technology 184,Hyderabad,Telangana,Chemical,1078,92,47,NAAC A++,Private
COL185,Nagpur Institute of Engineering & Technology 185,Nagpur,Maharashtra,Information Technology,341,64,183,AICTE Approved,Government
COL186,Mysuru Institute of Engineering & Technology 186,Mysuru,Karnataka,Chemical,749,85,95,NBA,Government
COL187,Noida Institute of Engineering & Technology 187,Noida,Uttar Pradesh,Electronics & Communication,1159,98,198,AICTE Approved,Autonomous
COL188,Bengaluru Institute of Engineering & Technology 188,Bengaluru,Karnataka,Electrical,821,86,35,AICTE Approved,Government
COL189,Gwalior Institute of Engineering & Technology 189,Gwalior,Madhya Pradesh,Electrical,709,83,105,NAAC A+,Government
COL190,Kanpur Institute of Engineering & Technology 190,Kanpur,Uttar Pradesh,Chemical,759,77,56,NAAC A+,Government
COL191,Warangal Institute of Engineering & Technology 191,Warangal,Telangana,Information Technology,311,92,117,NAAC A+,Private
COL192,Hyderabad Institute of Engineering & Technology 192,Hyderabad,Telangana,Electrical,130,86,113,NAAC A++,Autonomous
COL193,Warangal Institute of Engineering & Technology 193,Warangal,Telangana,Computer Science,695,74,46,NBA,Autonomous
COL194,Indore Institute of Engineering & Technology 194,Indore,Madhya Pradesh,Electronics & Communication,916,58,39,NAAC A,Government
COL195,Jaipur Institute of Engineering & Technology 195,Jaipur,Rajasthan,Civil,1154,71,44,NAAC A+,Autonomous
COL196,Mumbai Institute of Engineering & Technology 196,Mumbai,Maharashtra,Computer Science,438,56,64,NAAC A++,Autonomous
COL197,Lucknow Institute of Engineering & Technology 197,Lucknow,Uttar Pradesh,Civil,339,77,194,NBA,Government
COL198,Jaipur Institute of Engineering & Technology 198,Jaipur,Rajasthan,Electronics & Communication,901,98,177,NAAC A,Private
COL199,Warangal Institute of Engineering & Technology 199,Warangal,Telangana,Electrical,776,71,150,NBA,Autonomous
COL200,Chennai Institute of Engineering & Technology 200,Chennai,Tamil Nadu,Information Technology,480,86,88,NAAC A+,Autonomous
COL201,Hubballi Institute of Engineering & Technology 201,Hubballi,Karnataka,Electronics & Communication,707,79,189,AICTE Approved,Government
COL202,Mumbai Institute of Engineering & Technology 202,Mumbai,Maharashtra,Civil,953,58,186,NAAC A,Private
COL203,Kota Institute of Engineering & Technology 203,Kota,Rajasthan,Electronics & Communication,680,55,184,NAAC A,Private
COL204,Udaipur Institute of Engineering & Technology 204,Udaipur,Rajasthan,Mechanical,320,55,41,AICTE Approved,Government
COL205,Kanpur Institute of Engineering & Technology 205,Kanpur,Uttar Pradesh,Electrical,761,94,121,NAAC A+,Government
COL206,Bhopal Institute of Engineering & Technology 206,Bhopal,Madhya Pradesh,Computer Science,839,61,144,AICTE Approved,Private
COL207,Prayagraj Institute of Engineering & Technology 207,Prayagraj,Uttar Pradesh,Mechanical,249,62,167,NAAC A,Autonomous
COL208,Prayagraj Institute of Engineering & Technology 208,Prayagraj,Uttar Pradesh,Mechanical,905,69,67,NBA,Government
COL209,Hyderabad Institute of Engineering & Technology 209,Hyderabad,Telangana,Electronics & Communication,1009,66,135,NAAC A++,Private
COL210,Jaipur Institute of Engineering & Technology 210,Jaipur,Rajasthan,Civil,1044,75,46,NAAC A+,Private
COL211,Noida Institute of Engineering & Technology 211,Noida,Uttar Pradesh,Computer Science,412,96,35,AICTE Approved,Private
COL212,Chennai Institute of Engineering & Technology 212,Chennai,Tamil Nadu,Electrical,1147,80,99,NAAC A,Autonomous
COL213,Bengaluru Institute of Engineering & Technology 213,Bengaluru,Karnataka,Electronics & Communication,687,75,28,NAAC A++,Private
COL214,Nashik Institute of Engineering & Technology 214,Nashik,Maharashtra,Electronics & Communication,212,90,89,NAAC A,Autonomous
COL215,Madurai Institute of Engineering & Technology 215,Madurai,Tamil Nadu,Mechanical,1024,57,74,NAAC A++,Government
COL216,Warangal Institute of Engineering & Technology 216,Warangal,Telangana,Information Technology,273,67,196,NAAC A,Private
COL217,Gwalior Institute of Engineering & Technology 217,Gwalior,Madhya Pradesh,Computer Science,253,83,127,NBA,Autonomous
COL218,Bhopal Institute of Engineering & Technology 218,Bhopal,Madhya Pradesh,Chemical,665,77,90,NAAC A,Private
COL219,Bengaluru Institute of Engineering & Technology 219,Bengaluru,Karnataka,Electrical,705,55,185,AICTE Approved,Government
COL220,Warangal Institute of Engineering & Technology 220,Warangal,Telangana,Civil,908,98,174,AICTE Approved,Private
COL221,Coimbatore Institute of Engineering & Technology 221,Coimbatore,Tamil Nadu,Electronics & Communication,291,84,78,NAAC A+,Government
COL222,Gwalior Institute of Engineering & Technology 222,Gwalior,Madhya Pradesh,Mechanical,1119,68,45,NBA,Government
COL223,Kota Institute of Engineering & Technology 223,Kota,Rajasthan,Electronics & Communication,316,56,152,AICTE Approved,Government
COL224,Bengaluru Institute of Engineering & Technology 224,Bengaluru,Karnataka,Electronics & Communication,756,93,180,NBA,Private
COL225,Udaipur Institute of Engineering & Technology 225,Udaipur,Rajasthan,Civil,935,63,54,AICTE Approved,Private
COL226,Hubballi Institute of Engineering & Technology 226,Hubballi,Karnataka,Civil,819,60,133,NAAC A++,Private
COL227,Madurai Institute of Engineering & Technology 227,Madurai,Tamil Nadu,Electronics & Communication,892,87,181,NAAC A+,Private
COL228,Udaipur Institute of Engineering & Technology 228,Udaipur,Rajasthan,Information Technology,363,56,164,NAAC A++,Private
COL229,Jaipur Institute of Engineering & Technology 229,Jaipur,Rajasthan,Computer Science,692,74,163,NAAC A++,Private
COL230,Madurai Institute of Engineering & Technology 230,Madurai,Tamil Nadu,Computer Science,815,91,154,NAAC A++,Private
COL231,Coimbatore Institute of Engineering & Technology 231,Coimbatore,Tamil Nadu,Electrical,601,56,84,NAAC A++,Government
COL232,Jaipur Institute of Engineering & Technology 232,Jaipur,Rajasthan,Information Technology,615,86,183,NBA,Private
COL233,Udaipur Institute of Engineering & Technology 233,Udaipur,Rajasthan,Information Technology,1003,57,71,NAAC A+,Private
