mapping_id,role_id,skill_id,importance,minimum_proficiency,mandatory,recommended_learning_order
MAP0112,ROLE005,SK104,Medium,Beginner,Yes,12
MAP0113,ROLE005,SK105,Medium,Beginner,Yes,13
MAP0114,ROLE005,SK106,Medium,Beginner,Yes,14
MAP0115,ROLE005,SK107,Medium,Beginner,Yes,15
MAP0116,ROLE005,SK108,Low,Beginner,No,16
MAP0117,ROLE005,SK109,Low,Beginner,No,17
MAP0118,ROLE005,SK110,Low,Beginner,No,18
MAP0119,ROLE005,SK111,Low,Beginner,No,19
MAP0120,ROLE005,SK112,Low,Beginner,No,20
MAP0121,ROLE005,SK113,Low,Beginner,No,21
MAP0122,ROLE005,SK114,Low,Beginner,No,22
MAP0123,ROLE005,SK115,Low,Beginner,No,23
MAP0124,ROLE005,SK116,Low,Beginner,No,24
MAP0125,ROLE005,SK117,Low,Beginner,No,25
MAP0126,ROLE006,SK116,High,Intermediate,Yes,1
MAP0127,ROLE006,SK117,High,Intermediate,Yes,2
MAP0128,ROLE006,SK118,High,Intermediate,Yes,3
MAP0129,ROLE006,SK119,High,Intermediate,Yes,4
MAP0130,ROLE006,SK120,High,Intermediate,Yes,5
MAP0131,ROLE006,SK121,Medium,Beginner,Yes,6
MAP0132,ROLE006,SK122,Medium,Beginner,Yes,7
MAP0133,ROLE006,SK123,Medium,Beginner,Yes,8
MAP0134,ROLE006,SK124,Medium,Beginner,Yes,9
MAP0135,ROLE006,SK125,Medium,Beginner,Yes,10
MAP0136,ROLE006,SK126,Medium,Beginner,Yes,11
MAP0137,ROLE006,SK127,Medium,Beginner,Yes,12
MAP0138,ROLE006,SK128,Medium,Beginner,Yes,13
MAP0139,ROLE006,SK129,Medium,Beginner,Yes,14
MAP0140,ROLE006,SK130,Medium,Beginner,Yes,15
MAP0141,ROLE006,SK131,Low,Beginner,No,16
MAP0142,ROLE006,SK132,Low,Beginner,No,17
MAP0143,ROLE006,SK133,Low,Beginner,No,18
MAP0144,ROLE006,SK134,Low,Beginner,No,19
MAP0145,ROLE006,SK135,Low,Beginner,No,20
MAP0146,ROLE006,SK136,Low,Beginner,No,21
MAP0147,ROLE006,SK137,Low,Beginner,No,22
MAP0148,ROLE006,SK138,Low,Beginner,No,23
MAP0149,ROLE006,SK139,Low,Beginner,No,24
MAP0150,ROLE006,SK140,Low,Beginner,No,25
MAP0151,ROLE007,SK139,High,Intermediate,Yes,1
MAP0152,ROLE007,SK140,High,Intermediate,Yes,2
MAP0153,ROLE007,SK141,High,Intermediate,Yes,3
MAP0154,ROLE007,SK142,High,Intermediate,Yes,4
MAP0155,ROLE007,SK143,High,Intermediate,Yes,5
MAP0156,ROLE007,SK144,Medium,Beginner,Yes,6
MAP0157,ROLE007,SK145,Medium,Beginner,Yes,7
MAP0158,ROLE007,SK146,Medium,Beginner,Yes,8
MAP0159,ROLE007,SK147,Medium,Beginner,Yes,9
MAP0160,ROLE007,SK148,Medium,Beginner,Yes,10
MAP0161,ROLE007,SK149,Medium,Beginner,Yes,11
MAP0162,ROLE007,SK150,Medium,Beginner,Yes,12
MAP0163,ROLE007,SK151,Medium,Beginner,Yes,13
MAP0164,ROLE007,SK152,Medium,Beginner,Yes,14
MAP0165,ROLE007,SK153,Medium,Beginner,Yes,15
MAP0166,ROLE007,SK154,Low,Beginner,No,16
MAP0167,ROLE007,SK155,Low,Beginner,No,17
MAP0168,ROLE007,SK156,Low,Beginner,No,18
MAP0169,ROLE007,SK157,Low,Beginner,No,19
MAP0170,ROLE007,SK158,Low,Beginner,No,20
MAP0171,ROLE007,SK159,Low,Beginner,No,21
MAP0172,ROLE007,SK160,Low,Beginner,No,22
MAP0173,ROLE007,SK161,Low,Beginner,No,23
MAP0174,ROLE007,SK162,Low,Beginner,No,24
MAP0175,ROLE007,SK163,Low,Beginner,No,25
MAP0176,ROLE008,SK162,High,Intermediate,Yes,1
MAP0177,ROLE008,SK163,High,Intermediate,Yes,2
MAP0178,ROLE008,SK164,High,Intermediate,Yes,3
MAP0179,ROLE008,SK165,High,Intermediate,Yes,4
MAP0180,ROLE008,SK166,High,Intermediate,Yes,5
MAP0181,ROLE008,SK167,Medium,Beginner,Yes,6
MAP0182,ROLE008,SK168,Medium,Beginner,Yes,7
MAP0183,ROLE008,SK169,Medium,Beginner,Yes,8
MAP0184,ROLE008,SK170,Medium,Beginner,Yes,9
MAP0185,ROLE008,SK171,Medium,Beginner,Yes,10
MAP0186,ROLE008,SK172,Medium,Beginner,Yes,11
MAP0187,ROLE008,SK173,Medium,Beginner,Yes,12
MAP0188,ROLE008,SK174,Medium,Beginner,Yes,13
MAP0189,ROLE008,SK175,Medium,Beginner,Yes,14
MAP0190,ROLE008,SK176,Medium,Beginner,Yes,15
MAP0191,ROLE008,SK177,Low,Beginner,No,16
MAP0192,ROLE008,SK178,Low,Beginner,No,17
MAP0193,ROLE008,SK179,Low,Beginner,No,18
MAP0194,ROLE008,SK180,Low,Beginner,No,19
MAP0195,ROLE008,SK181,Low,Beginner,No,20
MAP0196,ROLE008,SK182,Low,Beginner,No,21
MAP0197,ROLE008,SK183,Low,Beginner,No,22
MAP0198,ROLE008,SK184,Low,Beginner,No,23
MAP0199,ROLE008,SK185,Low,Beginner,No,24
MAP0200,ROLE008,SK186,Low,Beginner,No,25
MAP0201,ROLE009,SK185,High,Intermediate,Yes,1
MAP0202,ROLE009,SK186,High,Intermediate,Yes,2
MAP0203,ROLE009,SK187,High,Intermediate,Yes,3
MAP0204,ROLE009,SK188,High,Intermediate,Yes,4
MAP0205,ROLE009,SK189,High,Intermediate,Yes,5
MAP0206,ROLE009,SK190,Medium,Beginner,Yes,6
MAP0207,ROLE009,SK191,Medium,Beginner,Yes,7
MAP0208,ROLE009,SK192,Medium,Beginner,Yes,8
MAP0209,ROLE009,SK193,Medium,Beginner,Yes,9
MAP0210,ROLE009,SK194,Medium,Beginner,Yes,10
MAP0211,ROLE009,SK195,Medium,Beginner,Yes,11
MAP0212,ROLE009,SK196,Medium,Beginner,Yes,12
MAP0213,ROLE009,SK197,Medium,Beginner,Yes,13
MAP0214,ROLE009,SK198,Medium,Beginner,Yes,14
MAP0215,ROLE009,SK199,Medium,Beginner,Yes,15
MAP0216,ROLE009,SK200,Low,Beginner,No,16
MAP0217,ROLE009,SK201,Low,Beginner,No,17
MAP0218,ROLE009,SK202,Low,Beginner,No,18
MAP0219,ROLE009,SK203,Low,Beginner,No,19
MAP0220,ROLE009,SK204,Low,Beginner,No,20
MAP0221,ROLE009,SK205,Low,Beginner,No,21
MAP0222,ROLE009,SK206,Low,Beginner,No,22
MAP0223,ROLE009,SK207,Low,Beginner,No,23
MAP0224,ROLE009,SK208,Low,Beginner,No,24
MAP0225,ROLE009,SK209,Low,Beginner,No,25
MAP0226,ROLE010,SK208,High,Intermediate,Yes,1
MAP0227,ROLE010,SK209,High,Intermediate,Yes,2
MAP0228,ROLE010,SK210,High,Intermediate,Yes,3
MAP0229,ROLE010,SK211,High,Intermediate,Yes,4
MAP0230,ROLE010,SK212,High,Intermediate,Yes,5
MAP0231,ROLE010,SK213,Medium,Beginner,Yes,6
MAP0232,ROLE010,SK214,Medium,Beginner,Yes,7
MAP0233,ROLE010,SK215,Medium,Beginner,Yes,8
MAP0234,ROLE010,SK216,Medium,Beginner,Yes,9
MAP0235,ROLE010,SK217,Medium,Beginner,Yes,10
MAP0236,ROLE010,SK218,Medium,Beginner,Yes,11
MAP0237,ROLE010,SK219,Medium,Beginner,Yes,12
MAP0238,ROLE010,SK220,Medium,Beginner,Yes,13
MAP0239,ROLE010,SK221,Medium,Beginner,Yes,14
MAP0240,ROLE010,SK222,Medium,Beginner,Yes,15
MAP0241,ROLE010,SK223,Low,Beginner,No,16
MAP0242,ROLE010,SK224,Low,Beginner,No,17
MAP0243,ROLE010,SK225,Low,Beginner,No,18
MAP0244,ROLE010,SK226,Low,Beginner,No,19
MAP0245,ROLE010,SK227,Low,Beginner,No,20
MAP0246,ROLE010,SK228,Low,Beginner,No,21
MAP0247,ROLE010,SK229,Low,Beginner,No,22
MAP0248,ROLE010,SK230,Low,Beginner,No,23
MAP0249,ROLE010,SK231,Low,Beginner,No,24
MAP0250,ROLE010,SK232,Low,Beginner,No,25
MAP0251,ROLE011,SK231,High,Intermediate,Yes,1
MAP0252,ROLE011,SK232,High,Intermediate,Yes,2
MAP0253,ROLE011,SK233,High,Intermediate,Yes,3
MAP0254,ROLE011,SK234,High,Intermediate,Yes,4
MAP0255,ROLE011,SK235,High,Intermediate,Yes,5
MAP0256,ROLE011,SK236,Medium,Beginner,Yes,6
MAP0257,ROLE011,SK237,Medium,Beginner,Yes,7
MAP0258,ROLE011,SK238,Medium,Beginner,Yes,8
MAP0259,ROLE011,SK239,Medium,Beginner,Yes,9
MAP0260,ROLE011,SK240,Medium,Beginner,Yes,10
MAP0261,ROLE011,SK241,Medium,Beginner,Yes,11
MAP0262,ROLE011,SK242,Medium,Beginner,Yes,12
MAP0263,ROLE011,SK243,Medium,Beginner,Yes,13
MAP0264,ROLE011,SK244,Medium,Beginner,Yes,14
MAP0265,ROLE011,SK245,Medium,Beginner,Yes,15
MAP0266,ROLE011,SK246,Low,Beginner,No,16
MAP0267,ROLE011,SK247,Low,Beginner,No,17
MAP0268,ROLE011,SK248,Low,Beginner,No,18
MAP0269,ROLE011,SK249,Low,Beginner,No,19
MAP0270,ROLE011,SK250,Low,Beginner,No,20
MAP0271,ROLE011,SK251,Low,Beginner,No,21
MAP0272,ROLE011,SK252,Low,Beginner,No,22
MAP0273,ROLE011,SK253,Low,Beginner,No,23
MAP0274,ROLE011,SK254,Low,Beginner,No,24
MAP0275,ROLE011,SK255,Low,Beginner,No,25
MAP0276,ROLE012,SK254,High,Intermediate,Yes,1
MAP0277,ROLE012,SK255,High,Intermediate,Yes,2
MAP0278,ROLE012,SK256,High,Intermediate,Yes,3
MAP0279,ROLE012,SK257,High,Intermediate,Yes,4
MAP0280,ROLE012,SK258,High,Intermediate,Yes,5
MAP0281,ROLE012,SK259,Medium,Beginner,Yes,6
MAP0282,ROLE012,SK260,Medium,Beginner,Yes,7
MAP0283,ROLE012,SK261,Medium,Beginner,Yes,8
MAP0284,ROLE012,SK262,Medium,Beginner,Yes,9
MAP0285,ROLE012,SK263,Medium,Beginner,Yes,10
MAP0286,ROLE012,SK264,Medium,Beginner,Yes,11
MAP0287,ROLE012,SK265,Medium,Beginner,Yes,12
MAP0288,ROLE012,SK266,Medium,Beginner,Yes,13
MAP0289,ROLE012,SK267,Medium,Beginner,Yes,14
MAP0290,ROLE012,SK268,Medium,Beginner,Yes,15
MAP0291,ROLE012,SK269,Low,Beginner,No,16
MAP0292,ROLE012,SK270,Low,Beginner,No,17
MAP0293,ROLE012,SK271,Low,Beginner,No,18
MAP0294,ROLE012,SK272,Low,Beginner,No,19
MAP0295,ROLE012,SK273,Low,Beginner,No,20
MAP0296,ROLE012,SK274,Low,Beginner,No,21
MAP0297,ROLE012,SK275,Low,Beginner,No,22
MAP0298,ROLE012,SK276,Low,Beginner,No,23
MAP0299,ROLE012,SK277,Low,Beginner,No,24
MAP0300,ROLE012,SK278,Low,Beginner,No,25
MAP0301,ROLE013,SK277,High,Intermediate,Yes,1
MAP0302,ROLE013,SK278,High,Intermediate,Yes,2
MAP0303,ROLE013,SK279,High,Intermediate,Yes,3
MAP0304,ROLE013,SK001,High,Intermediate,Yes,4
MAP0305,ROLE013,SK002,High,Intermediate,Yes,5
MAP0306,ROLE013,SK003,Medium,Beginner,Yes,6
MAP0307,ROLE013,SK004,Medium,Beginner,Yes,7
MAP0308,ROLE013,SK005,Medium,Beginner,Yes,8
MAP0309,ROLE013,SK006,Medium,Beginner,Yes,9
MAP0310,ROLE013,SK007,Medium,Beginner,Yes,10
MAP0311,ROLE013,SK008,Medium,Beginner,Yes,11
MAP0312,ROLE013,SK009,Medium,Beginner,Yes,12
MAP0313,ROLE013,SK010,Medium,Beginner,Yes,13
MAP0314,ROLE013,SK011,Medium,Beginner,Yes,14
MAP0315,ROLE013,SK012,Medium,Beginner,Yes,15
MAP0316,ROLE013,SK013,Low,Beginner,No,16
MAP0317,ROLE013,SK014,Low,Beginner,No,17
MAP0318,ROLE013,SK015,Low,Beginner,No,18
MAP0319,ROLE013,SK016,Low,Beginner,No,19
MAP0320,ROLE013,SK017,Low,Beginner,No,20
MAP0321,ROLE013,SK018,Low,Beginner,No,21
MAP0322,ROLE013,SK019,Low,Beginner,No,22
MAP0323,ROLE013,SK020,Low,Beginner,No,23
MAP0324,ROLE013,SK021,Low,Beginner,No,24
MAP0325,ROLE013,SK022,Low,Beginner,No,25
MAP0326,ROLE014,SK021,High,Intermediate,Yes,1
MAP0327,ROLE014,SK022,High,Intermediate,Yes,2
MAP0328,ROLE014,SK023,High,Intermediate,Yes,3
MAP0329,ROLE014,SK024,High,Intermediate,Yes,4
MAP0330,ROLE014,SK025,High,Intermediate,Yes,5
MAP0331,ROLE014,SK026,Medium,Beginner,Yes,6
MAP0332,ROLE014,SK027,Medium,Beginner,Yes,7
MAP0333,ROLE014,SK028,Medium,Beginner,Yes,8
MAP0334,ROLE014,SK029,Medium,Beginner,Yes,9
MAP0335,ROLE014,SK030,Medium,Beginner,Yes,10
MAP0336,ROLE014,SK031,Medium,Beginner,Yes,11
MAP0337,ROLE014,SK032,Medium,Beginner,Yes,12
MAP0338,ROLE014,SK033,Medium,Beginner,Yes,13
MAP0339,ROLE014,SK034,Medium,Beginner,Yes,14
MAP0340,ROLE014,SK035,Medium,Beginner,Yes,15
MAP0341,ROLE014,SK036,Low,Beginner,No,16
MAP0342,ROLE014,SK037,Low,Beginner,No,17
MAP0343,ROLE014,SK038,Low,Beginner,No,18
MAP0344,ROLE014,SK039,Low,Beginner,No,19
MAP0345,ROLE014,SK040,Low,Beginner,No,20
MAP0346,ROLE014,SK041,Low,Beginner,No,21
MAP0347,ROLE014,SK042,Low,Beginner,No,22
MAP0348,ROLE014,SK043,Low,Beginner,No,23
MAP0349,ROLE014,SK044,Low,Beginner,No,24
MAP0350,ROLE014,SK045,Low,Beginner,No,25
MAP0351,ROLE015,SK044,High,Intermediate,Yes,1
MAP0352,ROLE015,SK045,High,Intermediate,Yes,2
MAP0353,ROLE015,SK046,High,Intermediate,Yes,3
MAP0354,ROLE015,SK047,High,Intermediate,Yes,4
MAP0355,ROLE015,SK048,High,Intermediate,Yes,5
MAP0356,ROLE015,SK049,Medium,Beginner,Yes,6
MAP0357,ROLE015,SK050,Medium,Beginner,Yes,7
MAP0358,ROLE015,SK051,Medium,Beginner,Yes,8
MAP0359,ROLE015,SK052,Medium,Beginner,Yes,9
MAP0360,ROLE015,SK053,Medium,Beginner,Yes,10
MAP0361,ROLE015,SK054,Medium,Beginner,Yes,11
MAP0362,ROLE015,SK055,Medium,Beginner,Yes,12
MAP0363,ROLE015,SK056,Medium,Beginner,Yes,13
MAP0364,ROLE015,SK057,Medium,Beginner,Yes,14
MAP0365,ROLE015,SK058,Medium,Beginner,Yes,15
MAP0366,ROLE015,SK059,Low,Beginner,No,16
MAP0367,ROLE015,SK060,Low,Beginner,No,17
MAP0368,ROLE015,SK061,Low,Beginner,No,18
MAP0369,ROLE015,SK062,Low,Beginner,No,19
MAP0370,ROLE015,SK063,Low,Beginner,No,20
MAP0371,ROLE015,SK064,Low,Beginner,No,21
MAP0372,ROLE015,SK065,Low,Beginner,No,22
MAP0373,ROLE015,SK066,Low,Beginner,No,23
MAP0374,ROLE015,SK067,Low,Beginner,No,24
MAP0375,ROLE015,SK068,Low,Beginner,No,25
MAP0376,ROLE016,SK067,High,Intermediate,Yes,1
MAP0377,ROLE016,SK068,High,Intermediate,Yes,2
MAP0378,ROLE016,SK069,High,Intermediate,Yes,3
MAP0379,ROLE016,SK070,High,Intermediate,Yes,4
MAP0380,ROLE016,SK071,High,Intermediate,Yes,5
MAP0381,ROLE016,SK072,Medium,Beginner,Yes,6
MAP0382,ROLE016,SK073,Medium,Beginner,Yes,7
MAP0383,ROLE016,SK074,Medium,Beginner,Yes,8
MAP0384,ROLE016,SK075,Medium,Beginner,Yes,9
MAP0385,ROLE016,SK076,Medium,Beginner,Yes,10
MAP0386,ROLE016,SK077,Medium,Beginner,Yes,11
MAP0387,ROLE016,SK078,Medium,Beginner,Yes,12
MAP0388,ROLE016,SK079,Medium,Beginner,Yes,13
MAP0389,ROLE016,SK080,Medium,Beginner,Yes,14
MAP0390,ROLE016,SK081,Medium,Beginner,Yes,15
MAP0391,ROLE016,SK082,Low,Beginner,No,16
MAP0392,ROLE016,SK083,Low,Beginner,No,17
MAP0393,ROLE016,SK084,Low,Beginner,No,18
MAP0394,ROLE016,SK085,Low,Beginner,No,19
MAP0395,ROLE016,SK086,Low,Beginner,No,20
MAP0396,ROLE016,SK087,Low,Beginner,No,21
MAP0397,ROLE016,SK088,Low,Beginner,No,22
MAP0398,ROLE016,SK089,Low,Beginner,No,23
MAP0399,ROLE016,SK090,Low,Beginner,No,24
MAP0400,ROLE016,SK091,Low,Beginner,No,25
MAP0401,ROLE017,SK090,High,Intermediate,Yes,1
MAP0402,ROLE017,SK091,High,Intermediate,Yes,2
MAP0403,ROLE017,SK092,High,Intermediate,Yes,3
MAP0404,ROLE017,SK093,High,Intermediate,Yes,4
MAP0405,ROLE017,SK094,High,Intermediate,Yes,5
MAP0406,ROLE017,SK095,Medium,Beginner,Yes,6
MAP0407,ROLE017,SK096,Medium,Beginner,Yes,7
MAP0408,ROLE017,SK097,Medium,Beginner,Yes,8
MAP0409,ROLE017,SK098,Medium,Beginner,Yes,9
MAP0410,ROLE017,SK099,Medium,Beginner,Yes,10
MAP0411,ROLE017,SK100,Medium,Beginner,Yes,11
MAP0412,ROLE017,SK101,Medium,Beginner,Yes,12
MAP0413,ROLE017,SK102,Medium,Beginner,Yes,13
MAP0414,ROLE017,SK103,Medium,Beginner,Yes,14
MAP0415,ROLE017,SK104,Medium,Beginner,Yes,15
MAP0416,ROLE017,SK105,Low,Beginner,No,16
MAP0417,ROLE017,SK106,Low,Beginner,No,17
MAP0418,ROLE017,SK107,Low,Beginner,No,18
MAP0419,ROLE017,SK108,Low,Beginner,No,19
MAP0420,ROLE017,SK109,Low,Beginner,No,20
MAP0421,ROLE017,SK110,Low,Beginner,No,21
MAP0422,ROLE017,SK111,Low,Beginner,No,22
MAP0423,ROLE017,SK112,Low,Beginner,No,23
MAP0424,ROLE017,SK113,Low,Beginner,No,24
MAP0425,ROLE017,SK114,Low,Beginner,No,25
MAP0426,ROLE018,SK113,High,Intermediate,Yes,1
MAP0427,ROLE018,SK114,High,Intermediate,Yes,2
MAP0428,ROLE018,SK115,High,Intermediate,Yes,3
MAP0429,ROLE018,SK116,High,Intermediate,Yes,4
MAP0430,ROLE018,SK117,High,Intermediate,Yes,5
MAP0431,ROLE018,SK118,Medium,Beginner,Yes,6
MAP0432,ROLE018,SK119,Medium,Beginner,Yes,7
MAP0433,ROLE018,SK120,Medium,Beginner,Yes,8
MAP0434,ROLE018,SK121,Medium,Beginner,Yes,9
MAP0435,ROLE018,SK122,Medium,Beginner,Yes,10
MAP0436,ROLE018,SK123,Medium,Beginner,Yes,11
MAP0437,ROLE018,SK124,Medium,Beginner,Yes,12
MAP0438,ROLE018,SK125,Medium,Beginner,Yes,13
MAP0439,ROLE018,SK126,Medium,Beginner,Yes,14
MAP0440,ROLE018,SK127,Medium,Beginner,Yes,15
MAP0441,ROLE018,SK128,Low,Beginner,No,16
MAP0442,ROLE018,SK129,Low,Beginner,No,17
MAP0443,ROLE018,SK130,Low,Beginner,No,18
MAP0444,ROLE018,SK131,Low,Beginner,No,19
MAP0445,ROLE018,SK132,Low,Beginner,No,20
MAP0446,ROLE018,SK133,Low,Beginner,No,21
MAP0447,ROLE018,SK134,Low,Beginner,No,22
MAP0448,ROLE018,SK135,Low,Beginner,No,23
MAP0449,ROLE018,SK136,Low,Beginner,No,24
MAP0450,ROLE018,SK137,Low,Beginner,No,25
MAP0451,ROLE019,SK136,High,Intermediate,Yes,1
MAP0452,ROLE019,SK137,High,Intermediate,Yes,2
MAP0453,ROLE019,SK138,High,Intermediate,Yes,3
MAP0454,ROLE019,SK139,High,Intermediate,Yes,4
MAP0455,ROLE019,SK140,High,Intermediate,Yes,5
MAP0456,ROLE019,SK141,Medium,Beginner,Yes,6
MAP0457,ROLE019,SK142,Medium,Beginner,Yes,7
MAP0458,ROLE019,SK143,Medium,Beginner,Yes,8
MAP0459,ROLE019,SK144,Medium,Beginner,Yes,9
MAP0460,ROLE019,SK145,Medium,Beginner,Yes,10
MAP0461,ROLE019,SK146,Medium,Beginner,Yes,11
MAP0462,ROLE019,SK147,Medium,Beginner,Yes,12
MAP0463,ROLE019,SK148,Medium,Beginner,Yes,13
MAP0464,ROLE019,SK149,Medium,Beginner,Yes,14
MAP0465,ROLE019,SK150,Medium,Beginner,Yes,15
MAP0466,ROLE019,SK151,Low,Beginner,No,16
MAP0467,ROLE019,SK152,Low,Beginner,No,17
MAP0468,ROLE019,SK153,Low,Beginner,No,18
MAP0469,ROLE019,SK154,Low,Beginner,No,19
