comparison_id,role_1_id,role_1_name,role_2_id,role_2_name,salary_comparison,required_skills_role_1,required_skills_role_2,job_growth,work_life_balance,difficulty_to_enter,remote_opportunities,best_for,summary
CC017,ROLE043,Digital Marketing Analyst,ROLE058,Data Governance Analyst,Role 1 Higher,Node.js;Power BI;Deep Learning;Python;RAG,AWS;Machine Learning;Deep Learning;Java;Node.js,Very Good,Demanding,Challenging,Limited,Research Enthusiasts,Frontend Developer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC018,ROLE026,UX Designer,ROLE027,UI/UX Designer,Role 1 Higher,React;Kubernetes;Docker;Deep Learning;Machine Learning,Power BI;Linux;Deep Learning;Azure;Machine Learning,Excellent,Demanding,Challenging,Moderate,Research Enthusiasts,Frontend Developer and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC019,ROLE001,Data Scientist,ROLE023,Embedded Systems Engineer,Role 1 Higher,Linux;Deep Learning;Docker;AWS;Git,Java;Git;Power BI;AWS;SQL,Very Good,High,Easy,Moderate,Career Switchers,Cybersecurity Analyst and Data Scientist are both strong career choices with different skill requirements and growth opportunities.
CC020,ROLE003,AI Engineer,ROLE025,UI Designer,Role 2 Higher,Docker;Kubernetes;Linux;Deep Learning;React,Node.js;Git;AWS;Machine Learning;Kubernetes,Very Good,Moderate,Moderate,Moderate,Career Switchers,Business Analyst and Cloud Engineer are both strong career choices with different skill requirements and growth opportunities.
CC021,ROLE026,UX Designer,ROLE002,Machine Learning Engineer,Comparable,Docker;LangChain;Node.js;Azure;Java,Linux;Git;Python;AWS;Machine Learning,Excellent,Moderate,Challenging,Moderate,Career Switchers,Backend Developer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC022,ROLE020,Game Developer,ROLE019,Automation Test Engineer,Role 2 Higher,AWS;LangChain;Deep Learning;Linux;RAG,Python;AWS;React;LangChain;Node.js,Very Good,Moderate,Challenging,Limited,Career Switchers,Full Stack Developer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC023,ROLE027,UI/UX Designer,ROLE018,QA Engineer,Role 2 Higher,Linux;Deep Learning;AWS;Git;Node.js,Linux;Deep Learning;Java;Azure;Machine Learning,Very Good,High,Challenging,Limited,Career Switchers,Data Scientist and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC024,ROLE057,IT Support Specialist,ROLE017,Flutter Developer,Role 2 Higher,AWS;Machine Learning;Azure;Kubernetes;Linux,LangChain;Machine Learning;Docker;Git;SQL,Good,Demanding,Easy,Limited,Research Enthusiasts,Data Scientist and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC025,ROLE020,Game Developer,ROLE045,Technical Writer,Role 2 Higher,Python;RAG;LangChain;Machine Learning;Azure,Git;SQL;Docker;Node.js;Azure,Excellent,Demanding,Challenging,Limited,Research Enthusiasts,Frontend Developer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC026,ROLE015,Android Developer,ROLE023,Embedded Systems Engineer,Role 1 Higher,Machine Learning;React;Azure;Kubernetes;Deep Learning,Node.js;RAG;AWS;SQL;LangChain,Good,Demanding,Easy,Limited,Problem Solvers,Data Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC027,ROLE032,Site Reliability Engineer,ROLE028,Product Manager,Role 1 Higher,SQL;RAG;Azure;AWS;Kubernetes,AWS;Python;Machine Learning;Azure;LangChain,Good,Moderate,Challenging,Moderate,Research Enthusiasts,DevOps Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC028,ROLE004,Data Analyst,ROLE029,Technical Support Engineer,Role 2 Higher,Docker;Linux;SQL;Kubernetes;Java,Kubernetes;React;Machine Learning;Git;LangChain,Excellent,Demanding,Easy,Limited,Career Switchers,AI Engineer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC029,ROLE050,Power BI Developer,ROLE055,Release Engineer,Comparable,LangChain;Azure;Linux;Git;Kubernetes,Git;LangChain;Kubernetes;React;Deep Learning,Very Good,Demanding,Easy,Limited,Freshers,AI Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC030,ROLE021,Blockchain Developer,ROLE015,Android Developer,Role 1 Higher,Linux;Power BI;Machine Learning;Docker;RAG,RAG;LangChain;Azure;Git;Node.js,Excellent,Moderate,Easy,Moderate,Research Enthusiasts,Full Stack Developer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC031,ROLE053,Firmware Engineer,ROLE029,Technical Support Engineer,Comparable,LangChain;Machine Learning;Linux;Power BI;SQL,SQL;Java;Kubernetes;React;LangChain,Good,Demanding,Easy,High,Problem Solvers,Cybersecurity Analyst and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC032,ROLE059,Platform Engineer,ROLE040,AR/VR Developer,Role 2 Higher,Git;Docker;Deep Learning;React;Azure,Docker;Deep Learning;Python;SQL;Power BI,Very Good,Moderate,Challenging,Moderate,Problem Solvers,ML Engineer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC033,ROLE032,Site Reliability Engineer,ROLE031,Data Engineer,Comparable,Git;LangChain;Machine Learning;AWS;Node.js,Power BI;Python;Docker;Azure;LangChain,Very Good,High,Moderate,Moderate,Research Enthusiasts,Business Analyst and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC034,ROLE056,Scrum Master,ROLE057,IT Support Specialist,Role 2 Higher,Java;SQL;Deep Learning;Machine Learning;Linux,Python;RAG;Machine Learning;Deep Learning;Git,Good,Demanding,Challenging,Limited,Freshers,Cybersecurity Analyst and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC035,ROLE046,Cloud Security Engineer,ROLE045,Technical Writer,Comparable,Git;Kubernetes;Deep Learning;Machine Learning;RAG,Kubernetes;LangChain;Node.js;Linux;Azure,Good,Moderate,Easy,Moderate,Career Switchers,Software Engineer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC036,ROLE013,Security Engineer,ROLE003,AI Engineer,Role 1 Higher,Kubernetes;AWS;Git;Power BI;Deep Learning,Java;AWS;RAG;Kubernetes;Docker,Good,Moderate,Challenging,Limited,Research Enthusiasts,Software Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC037,ROLE058,Data Governance Analyst,ROLE053,Firmware Engineer,Role 2 Higher,SQL;Deep Learning;Docker;Node.js;Azure,RAG;Deep Learning;Docker;Java;AWS,Very Good,Demanding,Easy,Limited,Problem Solvers,Cybersecurity Analyst and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC038,ROLE049,Salesforce Developer,ROLE058,Data Governance Analyst,Comparable,RAG;Git;Deep Learning;Node.js;Java,Azure;Python;Deep Learning;Linux;Node.js,Very Good,High,Easy,Limited,Freshers,AI Engineer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC039,ROLE008,Full Stack Developer,ROLE029,Technical Support Engineer,Role 1 Higher,SQL;Power BI;Azure;Kubernetes;Linux,AWS;Java;Node.js;SQL;Machine Learning,Good,Demanding,Easy,High,Career Switchers,Software Engineer and Business Analyst are both strong career choices with different skill requirements and growth opportunities.
CC040,ROLE041,SAP Consultant,ROLE038,NLP Engineer,Role 2 Higher,Deep Learning;React;Git;SQL;Kubernetes,Docker;AWS;Linux;Deep Learning;React,Very Good,Moderate,Moderate,High,Research Enthusiasts,Cybersecurity Analyst and Business Analyst are both strong career choices with different skill requirements and growth opportunities.
CC041,ROLE026,UX Designer,ROLE059,Platform Engineer,Role 1 Higher,LangChain;Node.js;SQL;AWS;Azure,Deep Learning;Azure;Node.js;Kubernetes;React,Very Good,High,Easy,Moderate,Research Enthusiasts,DevOps Engineer and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC042,ROLE041,SAP Consultant,ROLE039,Computer Vision Engineer,Comparable,Kubernetes;AWS;Node.js;Python;Linux,Docker;Node.js;Kubernetes;AWS;Deep Learning,Good,Moderate,Moderate,Moderate,Career Switchers,Software Engineer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC043,ROLE016,iOS Developer,ROLE010,DevOps Engineer,Comparable,Docker;Linux;Node.js;Power BI;AWS,Kubernetes;Power BI;Git;LangChain;Azure,Excellent,Demanding,Easy,High,Career Switchers,DevOps Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC044,ROLE030,Database Administrator,ROLE015,Android Developer,Role 2 Higher,Linux;Git;Machine Learning;Power BI;AWS,Python;Java;Linux;Azure;Deep Learning,Excellent,Moderate,Moderate,High,Research Enthusiasts,ML Engineer and Data Engineer are both strong career choices with different skill requirements and growth opportunities.
CC045,ROLE030,Database Administrator,ROLE051,Systems Administrator,Role 2 Higher,Azure;Power BI;RAG;React;Deep Learning,Deep Learning;Java;Linux;Node.js;Git,Very Good,Moderate,Moderate,High,Career Switchers,Business Analyst and Data Engineer are both strong career choices with different skill requirements and growth opportunities.
CC046,ROLE018,QA Engineer,ROLE047,Penetration Tester,Role 2 Higher,Docker;Java;Deep Learning;Node.js;SQL,Power BI;LangChain;Java;Deep Learning;Linux,Good,Moderate,Easy,High,Problem Solvers,Data Scientist and Data Engineer are both strong career choices with different skill requirements and growth opportunities.
CC047,ROLE015,Android Developer,ROLE053,Firmware Engineer,Comparable,Azure;Kubernetes;Docker;Python;LangChain,React;SQL;Linux;RAG;Python,Excellent,High,Challenging,Moderate,Freshers,DevOps Engineer and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC048,ROLE034,Solutions Architect,ROLE051,Systems Administrator,Role 1 Higher,Java;Python;Azure;Kubernetes;Docker,Azure;Node.js;Python;Deep Learning;RAG,Excellent,Demanding,Moderate,Moderate,Career Switchers,Data Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC049,ROLE039,Computer Vision Engineer,ROLE016,iOS Developer,Role 1 Higher,RAG;AWS;Deep Learning;Power BI;Java,Machine Learning;Node.js;Kubernetes;Deep Learning;React,Excellent,Demanding,Moderate,High,Career Switchers,Business Analyst and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC050,ROLE040,AR/VR Developer,ROLE016,iOS Developer,Comparable,Kubernetes;Power BI;Azure;Python;RAG,SQL;Node.js;Kubernetes;Power BI;AWS,Excellent,Demanding,Moderate,High,Problem Solvers,Frontend Developer and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC051,ROLE026,UX Designer,ROLE024,Robotics Engineer,Comparable,Azure;Python;Machine Learning;LangChain;SQL,Kubernetes;Power BI;React;Java;Node.js,Good,Demanding,Easy,Limited,Problem Solvers,Data Scientist and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC052,ROLE014,Ethical Hacker,ROLE020,Game Developer,Role 2 Higher,Python;Power BI;Machine Learning;Azure;SQL,Power BI;Git;LangChain;Machine Learning;Node.js,Good,High,Easy,Moderate,Research Enthusiasts,ML Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC053,ROLE043,Digital Marketing Analyst,ROLE021,Blockchain Developer,Role 2 Higher,Python;LangChain;Power BI;React;Linux,Git;Python;Kubernetes;Docker;Deep Learning,Very Good,Moderate,Challenging,Moderate,Career Switchers,DevOps Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC054,ROLE045,Technical Writer,ROLE051,Systems Administrator,Role 1 Higher,RAG;LangChain;Power BI;Machine Learning;Python,LangChain;Linux;RAG;Machine Learning;Deep Learning,Very Good,Moderate,Challenging,High,Freshers,Data Engineer and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC055,ROLE045,Technical Writer,ROLE034,Solutions Architect,Role 2 Higher,Node.js;Deep Learning;Azure;Java;AWS,Docker;Node.js;Azure;SQL;Linux,Very Good,Demanding,Challenging,Moderate,Problem Solvers,DevOps Engineer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC056,ROLE037,Generative AI Engineer,ROLE054,Storage Engineer,Comparable,Power BI;RAG;Docker;Linux;Python,Machine Learning;React;Java;Node.js;Python,Very Good,High,Easy,Limited,Freshers,Data Scientist and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC057,ROLE003,AI Engineer,ROLE016,iOS Developer,Role 1 Higher,Azure;RAG;Python;React;Linux,Machine Learning;Linux;AWS;Docker;Git,Very Good,Moderate,Moderate,Limited,Career Switchers,Data Engineer and Business Analyst are both strong career choices with different skill requirements and growth opportunities.
CC058,ROLE005,Business Analyst,ROLE022,IoT Engineer,Role 1 Higher,Machine Learning;AWS;Java;RAG;React,AWS;Power BI;RAG;Azure;SQL,Very Good,Demanding,Challenging,Limited,Research Enthusiasts,Software Engineer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC059,ROLE021,Blockchain Developer,ROLE030,Database Administrator,Comparable,Java;SQL;Power BI;Kubernetes;RAG,SQL;Azure;RAG;Git;Java,Very Good,Moderate,Moderate,Moderate,Freshers,Cloud Engineer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC060,ROLE013,Security Engineer,ROLE015,Android Developer,Comparable,React;Kubernetes;Java;Deep Learning;LangChain,LangChain;Deep Learning;RAG;Java;Docker,Excellent,High,Challenging,High,Research Enthusiasts,AI Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC061,ROLE038,NLP Engineer,ROLE038,NLP Engineer,Role 2 Higher,SQL;LangChain;Deep Learning;Azure;Git,Machine Learning;Azure;React;Node.js;AWS,Very Good,Moderate,Easy,Moderate,Career Switchers,ML Engineer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC062,ROLE050,Power BI Developer,ROLE019,Automation Test Engineer,Role 2 Higher,Git;Deep Learning;Python;React;RAG,LangChain;Java;Kubernetes;Python;Node.js,Very Good,Moderate,Challenging,Limited,Research Enthusiasts,DevOps Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC063,ROLE036,Prompt Engineer,ROLE030,Database Administrator,Role 1 Higher,Python;Linux;Power BI;LangChain;SQL,Java;RAG;Deep Learning;Kubernetes;Power BI,Very Good,High,Challenging,Moderate,Career Switchers,Backend Developer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC064,ROLE052,Automation Engineer,ROLE022,IoT Engineer,Role 2 Higher,RAG;Git;Azure;Python;Deep Learning,Azure;AWS;Power BI;LangChain;RAG,Very Good,Demanding,Easy,Moderate,Freshers,Software Engineer and Backend Developer are both strong career choices with different skill requirements and growth opportunities.
CC065,ROLE017,Flutter Developer,ROLE013,Security Engineer,Role 2 Higher,React;Azure;Docker;Python;Java,AWS;Azure;Java;React;Deep Learning,Excellent,High,Challenging,Moderate,Career Switchers,ML Engineer and Cybersecurity Analyst are both strong career choices with different skill requirements and growth opportunities.
CC066,ROLE012,Cyber Security Analyst,ROLE030,Database Administrator,Role 1 Higher,React;Linux;Power BI;Java;RAG,Docker;Git;Azure;Node.js;Python,Very Good,Moderate,Easy,High,Problem Solvers,Business Analyst and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC067,ROLE004,Data Analyst,ROLE010,DevOps Engineer,Comparable,Linux;Java;React;Deep Learning;Azure,Linux;React;RAG;LangChain;Kubernetes,Very Good,Moderate,Challenging,Moderate,Freshers,ML Engineer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC068,ROLE011,Cloud Engineer,ROLE024,Robotics Engineer,Role 1 Higher,Kubernetes;Java;LangChain;AWS;Docker,Python;Kubernetes;Linux;Machine Learning;AWS,Good,Moderate,Easy,Moderate,Problem Solvers,Cybersecurity Analyst and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC069,ROLE010,DevOps Engineer,ROLE018,QA Engineer,Role 1 Higher,Docker;React;Python;Power BI;SQL,Linux;React;Azure;Machine Learning;Node.js,Good,High,Moderate,Limited,Career Switchers,Cybersecurity Analyst and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC070,ROLE001,Data Scientist,ROLE019,Automation Test Engineer,Role 1 Higher,Node.js;Power BI;LangChain;Deep Learning;AWS,Node.js;LangChain;RAG;AWS;SQL,Very Good,Moderate,Challenging,Moderate,Career Switchers,Data Scientist and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC071,ROLE060,Web Developer,ROLE011,Cloud Engineer,Comparable,Git;Python;React;SQL;Java,Machine Learning;SQL;Linux;Git;Node.js,Excellent,Moderate,Challenging,Limited,Research Enthusiasts,Cloud Engineer and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC072,ROLE047,Penetration Tester,ROLE022,IoT Engineer,Comparable,Machine Learning;RAG;Node.js;Python;AWS,Power BI;Linux;React;Kubernetes;Docker,Excellent,Demanding,Challenging,Moderate,Research Enthusiasts,DevOps Engineer and Cloud Engineer are both strong career choices with different skill requirements and growth opportunities.
CC073,ROLE049,Salesforce Developer,ROLE039,Computer Vision Engineer,Comparable,RAG;LangChain;Power BI;React;AWS,Git;Docker;Node.js;Power BI;LangChain,Good,Demanding,Challenging,Limited,Research Enthusiasts,Frontend Developer and Software Engineer are both strong career choices with different skill requirements and growth opportunities.
CC074,ROLE040,AR/VR Developer,ROLE028,Product Manager,Comparable,Linux;Kubernetes;Deep Learning;Python;Node.js,Kubernetes;AWS;Node.js;React;RAG,Good,High,Challenging,High,Research Enthusiasts,Business Analyst and Data Scientist are both strong career choices with different skill requirements and growth opportunities.
CC075,ROLE035,BI Developer,ROLE017,Flutter Developer,Role 1 Higher,Linux;Python;RAG;Azure;Kubernetes,LangChain;React;Docker;Power BI;RAG,Excellent,Demanding,Challenging,Limited,Freshers,DevOps Engineer and Data Engineer are both strong career choices with different skill requirements and growth opportunities.
CC076,ROLE031,Data Engineer,ROLE056,Scrum Master,Role 1 Higher,LangChain;React;Machine Learning;Deep Learning;Docker,Power BI;Node.js;AWS;Linux;Machine Learning,Very Good,Demanding,Challenging,High,Problem Solvers,DevOps Engineer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC077,ROLE038,NLP Engineer,ROLE040,AR/VR Developer,Role 2 Higher,Linux;Node.js;Python;LangChain;Git,React;RAG;Deep Learning;Docker;Git,Excellent,Demanding,Easy,Limited,Problem Solvers,Data Engineer and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC078,ROLE058,Data Governance Analyst,ROLE018,QA Engineer,Role 1 Higher,Git;Kubernetes;Machine Learning;Docker;RAG,LangChain;Git;Machine Learning;SQL;Azure,Excellent,Demanding,Challenging,Moderate,Freshers,Business Analyst and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC079,ROLE055,Release Engineer,ROLE011,Cloud Engineer,Role 1 Higher,Java;Python;AWS;Docker;Git,Power BI;AWS;Python;Deep Learning;Linux,Very Good,Moderate,Challenging,Limited,Problem Solvers,Backend Developer and Data Scientist are both strong career choices with different skill requirements and growth opportunities.
CC080,ROLE012,Cyber Security Analyst,ROLE009,Software Engineer,Role 2 Higher,AWS;LangChain;Node.js;Azure;SQL,Git;LangChain;Machine Learning;RAG;Docker,Excellent,High,Easy,High,Freshers,Backend Developer and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC081,ROLE033,Network Engineer,ROLE059,Platform Engineer,Role 1 Higher,Power BI;React;Azure;Linux;AWS,RAG;Azure;Node.js;Kubernetes;Linux,Good,Demanding,Easy,Moderate,Freshers,Backend Developer and Data Engineer are both strong career choices with different skill requirements and growth opportunities.
CC082,ROLE056,Scrum Master,ROLE046,Cloud Security Engineer,Role 1 Higher,Kubernetes;Power BI;Machine Learning;LangChain;Python,SQL;Docker;Kubernetes;React;Java,Very Good,Demanding,Challenging,Moderate,Research Enthusiasts,Full Stack Developer and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC083,ROLE052,Automation Engineer,ROLE024,Robotics Engineer,Role 2 Higher,Linux;Docker;Deep Learning;SQL;Azure,RAG;React;Power BI;Node.js;Azure,Good,High,Moderate,High,Problem Solvers,Business Analyst and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC084,ROLE052,Automation Engineer,ROLE026,UX Designer,Role 2 Higher,AWS;React;Linux;RAG;SQL,AWS;React;LangChain;Azure;SQL,Excellent,High,Moderate,High,Career Switchers,ML Engineer and Frontend Developer are both strong career choices with different skill requirements and growth opportunities.
CC085,ROLE025,UI Designer,ROLE038,NLP Engineer,Comparable,Azure;AWS;Power BI;Docker;Machine Learning,Machine Learning;Git;RAG;SQL;Node.js,Good,Demanding,Challenging,High,Problem Solvers,Frontend Developer and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC086,ROLE028,Product Manager,ROLE031,Data Engineer,Role 2 Higher,Machine Learning;AWS;Docker;Git;Java,Azure;Node.js;RAG;Machine Learning;React,Good,Moderate,Challenging,Moderate,Research Enthusiasts,Cloud Engineer and Data Scientist are both strong career choices with different skill requirements and growth opportunities.
CC087,ROLE060,Web Developer,ROLE031,Data Engineer,Role 2 Higher,Node.js;Machine Learning;React;SQL;LangChain,Power BI;LangChain;Node.js;Machine Learning;RAG,Very Good,Demanding,Easy,Moderate,Career Switchers,Cloud Engineer and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC088,ROLE034,Solutions Architect,ROLE001,Data Scientist,Role 1 Higher,Power BI;Docker;LangChain;Kubernetes;SQL,Node.js;RAG;Kubernetes;Java;Power BI,Good,High,Moderate,Limited,Freshers,ML Engineer and AI Engineer are both strong career choices with different skill requirements and growth opportunities.
CC089,ROLE040,AR/VR Developer,ROLE037,Generative AI Engineer,Role 2 Higher,Azure;Machine Learning;Deep Learning;Python;Power BI,Kubernetes;Java;Machine Learning;SQL;Python,Excellent,High,Challenging,Moderate,Problem Solvers,Frontend Developer and DevOps Engineer are both strong career choices with different skill requirements and growth opportunities.
CC090,ROLE043,Digital Marketing Analyst,ROLE041,SAP Consultant,Comparable,Linux;LangChain;AWS;RAG;Kubernetes,React;Kubernetes;Azure;Linux;Python,Good,Demanding,Challenging,Moderate,Research Enthusiasts,Business Analyst and Full Stack Developer are both strong career choices with different skill requirements and growth opportunities.
CC091,ROLE042,ERP Consultant,ROLE052,Automation Engineer,Role 2 Higher,React;Docker;AWS;Git;Kubernetes,Git;React;Machine Learning;Azure;AWS,Very Good,Moderate,Easy,Moderate,Freshers,Business Analyst and Data Scientist are both strong career choices with different skill requirements and growth opportunities.
CC092,ROLE052,Automation Engineer,ROLE007,Frontend Developer,Role 1 Higher,Deep Learning;LangChain;Node.js;Java;Docker,SQL;Git;RAG;Java;Azure,Good,Moderate,Moderate,Limited,Freshers,Cloud Engineer and ML Engineer are both strong career choices with different skill requirements and growth opportunities.
CC093,ROLE058,Data Governance Analyst,ROLE053,Firmware Engineer,Role 2 Higher,Power BI;Java;Deep Learning;AWS;Python,AWS;Python;LangChain;Linux;Java,Very Good,Demanding,Moderate,Limited,Career Switchers,DevOps Engineer and Business Analyst are both strong career choices with different skill requirements and growth opportunities.
