question_id,role_id,skill_id,question,difficulty,question_type,expected_answer,keywords,company_level
Q00032,ROLE001,SK040,Explain the fundamentals of skill SK040 for ROLE001.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK040.","SK040, fundamentals, implementation, best practices",Startup
Q00033,ROLE001,SK041,Explain the fundamentals of skill SK041 for ROLE001.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK041.","SK041, fundamentals, implementation, best practices",Mid-size
Q00034,ROLE002,SK016,Explain the fundamentals of skill SK016 for ROLE002.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK016.","SK016, fundamentals, implementation, best practices",Mid-size
Q00035,ROLE002,SK017,Explain the fundamentals of skill SK017 for ROLE002.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK017.","SK017, fundamentals, implementation, best practices",MNC
Q00036,ROLE002,SK018,Explain the fundamentals of skill SK018 for ROLE002.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK018.","SK018, fundamentals, implementation, best practices",FAANG
Q00037,ROLE002,SK019,Explain the fundamentals of skill SK019 for ROLE002.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK019.","SK019, fundamentals, implementation, best practices",Startup
Q00038,ROLE002,SK020,Explain the fundamentals of skill SK020 for ROLE002.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK020.","SK020, fundamentals, implementation, best practices",Mid-size
Q00039,ROLE002,SK021,Explain the fundamentals of skill SK021 for ROLE002.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK021.","SK021, fundamentals, implementation, best practices",MNC
Q00040,ROLE002,SK022,Explain the fundamentals of skill SK022 for ROLE002.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK022.","SK022, fundamentals, implementation, best practices",FAANG
Q00041,ROLE002,SK023,Explain the fundamentals of skill SK023 for ROLE002.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK023.","SK023, fundamentals, implementation, best practices",Startup
Q00042,ROLE002,SK024,Explain the fundamentals of skill SK024 for ROLE002.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK024.","SK024, fundamentals, implementation, best practices",Mid-size
Q00043,ROLE002,SK025,Explain the fundamentals of skill SK025 for ROLE002.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK025.","SK025, fundamentals, implementation, best practices",MNC
Q00044,ROLE002,SK026,Explain the fundamentals of skill SK026 for ROLE002.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK026.","SK026, fundamentals, implementation, best practices",FAANG
Q00045,ROLE002,SK027,Explain the fundamentals of skill SK027 for ROLE002.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK027.","SK027, fundamentals, implementation, best practices",Startup
Q00046,ROLE002,SK028,Explain the fundamentals of skill SK028 for ROLE002.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK028.","SK028, fundamentals, implementation, best practices",Mid-size
Q00047,ROLE002,SK029,Explain the fundamentals of skill SK029 for ROLE002.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK029.","SK029, fundamentals, implementation, best practices",MNC
Q00048,ROLE002,SK030,Explain the fundamentals of skill SK030 for ROLE002.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK030.","SK030, fundamentals, implementation, best practices",FAANG
Q00049,ROLE002,SK031,Explain the fundamentals of skill SK031 for ROLE002.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK031.","SK031, fundamentals, implementation, best practices",Startup
Q00050,ROLE002,SK032,Explain the fundamentals of skill SK032 for ROLE002.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK032.","SK032, fundamentals, implementation, best practices",Mid-size
Q00051,ROLE002,SK033,Explain the fundamentals of skill SK033 for ROLE002.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK033.","SK033, fundamentals, implementation, best practices",MNC
Q00052,ROLE002,SK034,Explain the fundamentals of skill SK034 for ROLE002.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK034.","SK034, fundamentals, implementation, best practices",FAANG
Q00053,ROLE002,SK035,Explain the fundamentals of skill SK035 for ROLE002.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK035.","SK035, fundamentals, implementation, best practices",Startup
Q00054,ROLE002,SK036,Explain the fundamentals of skill SK036 for ROLE002.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK036.","SK036, fundamentals, implementation, best practices",Mid-size
Q00055,ROLE002,SK037,Explain the fundamentals of skill SK037 for ROLE002.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK037.","SK037, fundamentals, implementation, best practices",MNC
Q00056,ROLE002,SK038,Explain the fundamentals of skill SK038 for ROLE002.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK038.","SK038, fundamentals, implementation, best practices",FAANG
Q00057,ROLE002,SK039,Explain the fundamentals of skill SK039 for ROLE002.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK039.","SK039, fundamentals, implementation, best practices",Startup
Q00058,ROLE002,SK040,Explain the fundamentals of skill SK040 for ROLE002.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK040.","SK040, fundamentals, implementation, best practices",Mid-size
Q00059,ROLE002,SK041,Explain the fundamentals of skill SK041 for ROLE002.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK041.","SK041, fundamentals, implementation, best practices",MNC
Q00060,ROLE002,SK042,Explain the fundamentals of skill SK042 for ROLE002.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK042.","SK042, fundamentals, implementation, best practices",FAANG
Q00061,ROLE002,SK043,Explain the fundamentals of skill SK043 for ROLE002.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK043.","SK043, fundamentals, implementation, best practices",Startup
Q00062,ROLE002,SK044,Explain the fundamentals of skill SK044 for ROLE002.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK044.","SK044, fundamentals, implementation, best practices",Mid-size
Q00063,ROLE002,SK045,Explain the fundamentals of skill SK045 for ROLE002.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK045.","SK045, fundamentals, implementation, best practices",MNC
Q00064,ROLE002,SK046,Explain the fundamentals of skill SK046 for ROLE002.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK046.","SK046, fundamentals, implementation, best practices",FAANG
Q00065,ROLE002,SK047,Explain the fundamentals of skill SK047 for ROLE002.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK047.","SK047, fundamentals, implementation, best practices",Startup
Q00066,ROLE002,SK048,Explain the fundamentals of skill SK048 for ROLE002.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK048.","SK048, fundamentals, implementation, best practices",Mid-size
Q00067,ROLE003,SK023,Explain the fundamentals of skill SK023 for ROLE003.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK023.","SK023, fundamentals, implementation, best practices",Mid-size
Q00068,ROLE003,SK024,Explain the fundamentals of skill SK024 for ROLE003.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK024.","SK024, fundamentals, implementation, best practices",MNC
Q00069,ROLE003,SK025,Explain the fundamentals of skill SK025 for ROLE003.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK025.","SK025, fundamentals, implementation, best practices",FAANG
Q00070,ROLE003,SK026,Explain the fundamentals of skill SK026 for ROLE003.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK026.","SK026, fundamentals, implementation, best practices",Startup
Q00071,ROLE003,SK027,Explain the fundamentals of skill SK027 for ROLE003.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK027.","SK027, fundamentals, implementation, best practices",Mid-size
Q00072,ROLE003,SK028,Explain the fundamentals of skill SK028 for ROLE003.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK028.","SK028, fundamentals, implementation, best practices",MNC
Q00073,ROLE003,SK029,Explain the fundamentals of skill SK029 for ROLE003.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK029.","SK029, fundamentals, implementation, best practices",FAANG
Q00074,ROLE003,SK030,Explain the fundamentals of skill SK030 for ROLE003.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK030.","SK030, fundamentals, implementation, best practices",Startup
Q00075,ROLE003,SK031,Explain the fundamentals of skill SK031 for ROLE003.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK031.","SK031, fundamentals, implementation, best practices",Mid-size
Q00076,ROLE003,SK032,Explain the fundamentals of skill SK032 for ROLE003.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK032.","SK032, fundamentals, implementation, best practices",MNC
Q00077,ROLE003,SK033,Explain the fundamentals of skill SK033 for ROLE003.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK033.","SK033, fundamentals, implementation, best practices",FAANG
Q00078,ROLE003,SK034,Explain the fundamentals of skill SK034 for ROLE003.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK034.","SK034, fundamentals, implementation, best practices",Startup
Q00079,ROLE003,SK035,Explain the fundamentals of skill SK035 for ROLE003.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK035.","SK035, fundamentals, implementation, best practices",Mid-size
Q00080,ROLE003,SK036,Explain the fundamentals of skill SK036 for ROLE003.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK036.","SK036, fundamentals, implementation, best practices",MNC
Q00081,ROLE003,SK037,Explain the fundamentals of skill SK037 for ROLE003.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK037.","SK037, fundamentals, implementation, best practices",FAANG
Q00082,ROLE003,SK038,Explain the fundamentals of skill SK038 for ROLE003.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK038.","SK038, fundamentals, implementation, best practices",Startup
Q00083,ROLE003,SK039,Explain the fundamentals of skill SK039 for ROLE003.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK039.","SK039, fundamentals, implementation, best practices",Mid-size
Q00084,ROLE003,SK040,Explain the fundamentals of skill SK040 for ROLE003.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK040.","SK040, fundamentals, implementation, best practices",MNC
Q00085,ROLE003,SK041,Explain the fundamentals of skill SK041 for ROLE003.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK041.","SK041, fundamentals, implementation, best practices",FAANG
Q00086,ROLE003,SK042,Explain the fundamentals of skill SK042 for ROLE003.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK042.","SK042, fundamentals, implementation, best practices",Startup
Q00087,ROLE003,SK043,Explain the fundamentals of skill SK043 for ROLE003.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK043.","SK043, fundamentals, implementation, best practices",Mid-size
Q00088,ROLE003,SK044,Explain the fundamentals of skill SK044 for ROLE003.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK044.","SK044, fundamentals, implementation, best practices",MNC
Q00089,ROLE003,SK045,Explain the fundamentals of skill SK045 for ROLE003.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK045.","SK045, fundamentals, implementation, best practices",FAANG
Q00090,ROLE003,SK046,Explain the fundamentals of skill SK046 for ROLE003.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK046.","SK046, fundamentals, implementation, best practices",Startup
Q00091,ROLE003,SK047,Explain the fundamentals of skill SK047 for ROLE003.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK047.","SK047, fundamentals, implementation, best practices",Mid-size
Q00092,ROLE003,SK048,Explain the fundamentals of skill SK048 for ROLE003.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK048.","SK048, fundamentals, implementation, best practices",MNC
Q00093,ROLE003,SK049,Explain the fundamentals of skill SK049 for ROLE003.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK049.","SK049, fundamentals, implementation, best practices",FAANG
Q00094,ROLE003,SK050,Explain the fundamentals of skill SK050 for ROLE003.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK050.","SK050, fundamentals, implementation, best practices",Startup
Q00095,ROLE003,SK051,Explain the fundamentals of skill SK051 for ROLE003.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK051.","SK051, fundamentals, implementation, best practices",Mid-size
Q00096,ROLE003,SK052,Explain the fundamentals of skill SK052 for ROLE003.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK052.","SK052, fundamentals, implementation, best practices",MNC
Q00097,ROLE003,SK053,Explain the fundamentals of skill SK053 for ROLE003.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK053.","SK053, fundamentals, implementation, best practices",FAANG
Q00098,ROLE003,SK054,Explain the fundamentals of skill SK054 for ROLE003.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK054.","SK054, fundamentals, implementation, best practices",Startup
Q00099,ROLE003,SK055,Explain the fundamentals of skill SK055 for ROLE003.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK055.","SK055, fundamentals, implementation, best practices",Mid-size
Q00100,ROLE004,SK030,Explain the fundamentals of skill SK030 for ROLE004.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK030.","SK030, fundamentals, implementation, best practices",Mid-size
Q00101,ROLE004,SK031,Explain the fundamentals of skill SK031 for ROLE004.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK031.","SK031, fundamentals, implementation, best practices",MNC
Q00102,ROLE004,SK032,Explain the fundamentals of skill SK032 for ROLE004.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK032.","SK032, fundamentals, implementation, best practices",FAANG
Q00103,ROLE004,SK033,Explain the fundamentals of skill SK033 for ROLE004.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK033.","SK033, fundamentals, implementation, best practices",Startup
Q00104,ROLE004,SK034,Explain the fundamentals of skill SK034 for ROLE004.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK034.","SK034, fundamentals, implementation, best practices",Mid-size
Q00105,ROLE004,SK035,Explain the fundamentals of skill SK035 for ROLE004.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK035.","SK035, fundamentals, implementation, best practices",MNC
Q00106,ROLE004,SK036,Explain the fundamentals of skill SK036 for ROLE004.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK036.","SK036, fundamentals, implementation, best practices",FAANG
Q00107,ROLE004,SK037,Explain the fundamentals of skill SK037 for ROLE004.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK037.","SK037, fundamentals, implementation, best practices",Startup
Q00108,ROLE004,SK038,Explain the fundamentals of skill SK038 for ROLE004.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK038.","SK038, fundamentals, implementation, best practices",Mid-size
Q00109,ROLE004,SK039,Explain the fundamentals of skill SK039 for ROLE004.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK039.","SK039, fundamentals, implementation, best practices",MNC
Q00110,ROLE004,SK040,Explain the fundamentals of skill SK040 for ROLE004.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK040.","SK040, fundamentals, implementation, best practices",FAANG
Q00111,ROLE004,SK041,Explain the fundamentals of skill SK041 for ROLE004.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK041.","SK041, fundamentals, implementation, best practices",Startup
Q00112,ROLE004,SK042,Explain the fundamentals of skill SK042 for ROLE004.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK042.","SK042, fundamentals, implementation, best practices",Mid-size
Q00113,ROLE004,SK043,Explain the fundamentals of skill SK043 for ROLE004.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK043.","SK043, fundamentals, implementation, best practices",MNC
Q00114,ROLE004,SK044,Explain the fundamentals of skill SK044 for ROLE004.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK044.","SK044, fundamentals, implementation, best practices",FAANG
Q00115,ROLE004,SK045,Explain the fundamentals of skill SK045 for ROLE004.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK045.","SK045, fundamentals, implementation, best practices",Startup
Q00116,ROLE004,SK046,Explain the fundamentals of skill SK046 for ROLE004.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK046.","SK046, fundamentals, implementation, best practices",Mid-size
Q00117,ROLE004,SK047,Explain the fundamentals of skill SK047 for ROLE004.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK047.","SK047, fundamentals, implementation, best practices",MNC
Q00118,ROLE004,SK048,Explain the fundamentals of skill SK048 for ROLE004.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK048.","SK048, fundamentals, implementation, best practices",FAANG
Q00119,ROLE004,SK049,Explain the fundamentals of skill SK049 for ROLE004.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK049.","SK049, fundamentals, implementation, best practices",Startup
Q00120,ROLE004,SK050,Explain the fundamentals of skill SK050 for ROLE004.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK050.","SK050, fundamentals, implementation, best practices",Mid-size
Q00121,ROLE004,SK051,Explain the fundamentals of skill SK051 for ROLE004.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK051.","SK051, fundamentals, implementation, best practices",MNC
Q00122,ROLE004,SK052,Explain the fundamentals of skill SK052 for ROLE004.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK052.","SK052, fundamentals, implementation, best practices",FAANG
Q00123,ROLE004,SK053,Explain the fundamentals of skill SK053 for ROLE004.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK053.","SK053, fundamentals, implementation, best practices",Startup
Q00124,ROLE004,SK054,Explain the fundamentals of skill SK054 for ROLE004.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK054.","SK054, fundamentals, implementation, best practices",Mid-size
Q00125,ROLE004,SK055,Explain the fundamentals of skill SK055 for ROLE004.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK055.","SK055, fundamentals, implementation, best practices",MNC
Q00126,ROLE004,SK056,Explain the fundamentals of skill SK056 for ROLE004.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK056.","SK056, fundamentals, implementation, best practices",FAANG
Q00127,ROLE004,SK057,Explain the fundamentals of skill SK057 for ROLE004.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK057.","SK057, fundamentals, implementation, best practices",Startup
Q00128,ROLE004,SK058,Explain the fundamentals of skill SK058 for ROLE004.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK058.","SK058, fundamentals, implementation, best practices",Mid-size
