project_id,project_name,project_domain,difficulty,estimated_duration,description,required_skills,github_available,dataset_required,portfolio_value,related_role
PROJ0026,Mobile Project 26,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK026, SK031, SK041",Yes,No,Very High,ROLE026
PROJ0027,DevOps Project 27,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK027, SK032, SK042",Yes,No,Medium,ROLE027
PROJ0028,IoT Project 28,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK028, SK033, SK043",Yes,No,High,ROLE028
PROJ0029,Blockchain Project 29,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK029, SK034, SK044",Yes,No,Very High,ROLE029
PROJ0030,UI/UX Project 30,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK030, SK035, SK045",Yes,No,Medium,ROLE030
PROJ0031,AI Project 31,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK031, SK036, SK046",Yes,Yes,High,ROLE031
PROJ0032,Data Science Project 32,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK032, SK037, SK047",Yes,Yes,Very High,ROLE032
PROJ0033,Web Development Project 33,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK033, SK038, SK048",Yes,No,Medium,ROLE033
PROJ0034,Cloud Project 34,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK034, SK039, SK049",Yes,No,High,ROLE034
PROJ0035,Cyber Security Project 35,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK035, SK040, SK050",Yes,No,Very High,ROLE035
PROJ0036,Mobile Project 36,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK036, SK041, SK051",Yes,No,Medium,ROLE036
PROJ0037,DevOps Project 37,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK037, SK042, SK052",Yes,No,High,ROLE037
PROJ0038,IoT Project 38,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK038, SK043, SK053",Yes,No,Very High,ROLE038
PROJ0039,Blockchain Project 39,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK039, SK044, SK054",Yes,No,Medium,ROLE039
PROJ0040,UI/UX Project 40,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK040, SK045, SK055",Yes,No,High,ROLE040
PROJ0041,AI Project 41,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK041, SK046, SK056",Yes,Yes,Very High,ROLE041
PROJ0042,Data Science Project 42,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK042, SK047, SK057",Yes,Yes,Medium,ROLE042
PROJ0043,Web Development Project 43,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK043, SK048, SK058",Yes,No,High,ROLE043
PROJ0044,Cloud Project 44,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK044, SK049, SK059",Yes,No,Very High,ROLE044
PROJ0045,Cyber Security Project 45,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK045, SK050, SK060",Yes,No,Medium,ROLE045
PROJ0046,Mobile Project 46,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK046, SK051, SK061",Yes,No,High,ROLE046
PROJ0047,DevOps Project 47,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK047, SK052, SK062",Yes,No,Very High,ROLE047
PROJ0048,IoT Project 48,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK048, SK053, SK063",Yes,No,Medium,ROLE048
PROJ0049,Blockchain Project 49,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK049, SK054, SK064",Yes,No,High,ROLE049
PROJ0050,UI/UX Project 50,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK050, SK055, SK065",Yes,No,Very High,ROLE050
PROJ0051,AI Project 51,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK051, SK056, SK066",Yes,Yes,Medium,ROLE051
PROJ0052,Data Science Project 52,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK052, SK057, SK067",Yes,Yes,High,ROLE052
PROJ0053,Web Development Project 53,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK053, SK058, SK068",Yes,No,Very High,ROLE053
PROJ0054,Cloud Project 54,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK054, SK059, SK069",Yes,No,Medium,ROLE054
PROJ0055,Cyber Security Project 55,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK055, SK060, SK070",Yes,No,High,ROLE055
PROJ0056,Mobile Project 56,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK056, SK061, SK071",Yes,No,Very High,ROLE056
PROJ0057,DevOps Project 57,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK057, SK062, SK072",Yes,No,Medium,ROLE057
PROJ0058,IoT Project 58,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK058, SK063, SK073",Yes,No,High,ROLE058
PROJ0059,Blockchain Project 59,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK059, SK064, SK074",Yes,No,Very High,ROLE059
PROJ0060,UI/UX Project 60,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK060, SK065, SK075",Yes,No,Medium,ROLE060
PROJ0061,AI Project 61,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK061, SK066, SK076",Yes,Yes,High,ROLE001
PROJ0062,Data Science Project 62,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK062, SK067, SK077",Yes,Yes,Very High,ROLE002
PROJ0063,Web Development Project 63,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK063, SK068, SK078",Yes,No,Medium,ROLE003
PROJ0064,Cloud Project 64,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK064, SK069, SK079",Yes,No,High,ROLE004
PROJ0065,Cyber Security Project 65,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK065, SK070, SK080",Yes,No,Very High,ROLE005
PROJ0066,Mobile Project 66,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK066, SK071, SK081",Yes,No,Medium,ROLE006
PROJ0067,DevOps Project 67,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK067, SK072, SK082",Yes,No,High,ROLE007
PROJ0068,IoT Project 68,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK068, SK073, SK083",Yes,No,Very High,ROLE008
PROJ0069,Blockchain Project 69,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK069, SK074, SK084",Yes,No,Medium,ROLE009
PROJ0070,UI/UX Project 70,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK070, SK075, SK085",Yes,No,High,ROLE010
PROJ0071,AI Project 71,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK071, SK076, SK086",Yes,Yes,Very High,ROLE011
PROJ0072,Data Science Project 72,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK072, SK077, SK087",Yes,Yes,Medium,ROLE012
PROJ0073,Web Development Project 73,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK073, SK078, SK088",Yes,No,High,ROLE013
PROJ0074,Cloud Project 74,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK074, SK079, SK089",Yes,No,Very High,ROLE014
PROJ0075,Cyber Security Project 75,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK075, SK080, SK090",Yes,No,Medium,ROLE015
PROJ0076,Mobile Project 76,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK076, SK081, SK091",Yes,No,High,ROLE016
PROJ0077,DevOps Project 77,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK077, SK082, SK092",Yes,No,Very High,ROLE017
PROJ0078,IoT Project 78,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK078, SK083, SK093",Yes,No,Medium,ROLE018
PROJ0079,Blockchain Project 79,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK079, SK084, SK094",Yes,No,High,ROLE019
PROJ0080,UI/UX Project 80,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK080, SK085, SK095",Yes,No,Very High,ROLE020
PROJ0081,AI Project 81,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK081, SK086, SK096",Yes,Yes,Medium,ROLE021
PROJ0082,Data Science Project 82,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK082, SK087, SK097",Yes,Yes,High,ROLE022
PROJ0083,Web Development Project 83,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK083, SK088, SK098",Yes,No,Very High,ROLE023
PROJ0084,Cloud Project 84,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK084, SK089, SK099",Yes,No,Medium,ROLE024
PROJ0085,Cyber Security Project 85,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK085, SK090, SK100",Yes,No,High,ROLE025
PROJ0086,Mobile Project 86,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK086, SK091, SK101",Yes,No,Very High,ROLE026
PROJ0087,DevOps Project 87,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK087, SK092, SK102",Yes,No,Medium,ROLE027
PROJ0088,IoT Project 88,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK088, SK093, SK103",Yes,No,High,ROLE028
PROJ0089,Blockchain Project 89,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK089, SK094, SK104",Yes,No,Very High,ROLE029
PROJ0090,UI/UX Project 90,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK090, SK095, SK105",Yes,No,Medium,ROLE030
PROJ0091,AI Project 91,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK091, SK096, SK106",Yes,Yes,High,ROLE031
PROJ0092,Data Science Project 92,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK092, SK097, SK107",Yes,Yes,Very High,ROLE032
PROJ0093,Web Development Project 93,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK093, SK098, SK108",Yes,No,Medium,ROLE033
PROJ0094,Cloud Project 94,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK094, SK099, SK109",Yes,No,High,ROLE034
PROJ0095,Cyber Security Project 95,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK095, SK100, SK110",Yes,No,Very High,ROLE035
PROJ0096,Mobile Project 96,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK096, SK101, SK111",Yes,No,Medium,ROLE036
PROJ0097,DevOps Project 97,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK097, SK102, SK112",Yes,No,High,ROLE037
PROJ0098,IoT Project 98,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK098, SK103, SK113",Yes,No,Very High,ROLE038
PROJ0099,Blockchain Project 99,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK099, SK104, SK114",Yes,No,Medium,ROLE039
PROJ0100,UI/UX Project 100,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK100, SK105, SK115",Yes,No,High,ROLE040
PROJ0101,AI Project 101,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK101, SK106, SK116",Yes,Yes,Very High,ROLE041
PROJ0102,Data Science Project 102,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK102, SK107, SK117",Yes,Yes,Medium,ROLE042
PROJ0103,Web Development Project 103,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK103, SK108, SK118",Yes,No,High,ROLE043
PROJ0104,Cloud Project 104,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK104, SK109, SK119",Yes,No,Very High,ROLE044
PROJ0105,Cyber Security Project 105,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK105, SK110, SK120",Yes,No,Medium,ROLE045
PROJ0106,Mobile Project 106,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK106, SK111, SK121",Yes,No,High,ROLE046
PROJ0107,DevOps Project 107,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK107, SK112, SK122",Yes,No,Very High,ROLE047
PROJ0108,IoT Project 108,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK108, SK113, SK123",Yes,No,Medium,ROLE048
PROJ0109,Blockchain Project 109,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK109, SK114, SK124",Yes,No,High,ROLE049
PROJ0110,UI/UX Project 110,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK110, SK115, SK125",Yes,No,Very High,ROLE050
PROJ0111,AI Project 111,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK111, SK116, SK126",Yes,Yes,Medium,ROLE051
PROJ0112,Data Science Project 112,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK112, SK117, SK127",Yes,Yes,High,ROLE052
PROJ0113,Web Development Project 113,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK113, SK118, SK128",Yes,No,Very High,ROLE053
PROJ0114,Cloud Project 114,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK114, SK119, SK129",Yes,No,Medium,ROLE054
PROJ0115,Cyber Security Project 115,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK115, SK120, SK130",Yes,No,High,ROLE055
PROJ0116,Mobile Project 116,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK116, SK121, SK131",Yes,No,Very High,ROLE056
PROJ0117,DevOps Project 117,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK117, SK122, SK132",Yes,No,Medium,ROLE057
PROJ0118,IoT Project 118,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK118, SK123, SK133",Yes,No,High,ROLE058
PROJ0119,Blockchain Project 119,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK119, SK124, SK134",Yes,No,Very High,ROLE059
PROJ0120,UI/UX Project 120,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK120, SK125, SK135",Yes,No,Medium,ROLE060
PROJ0121,AI Project 121,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK121, SK126, SK136",Yes,Yes,High,ROLE001
PROJ0122,Data Science Project 122,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK122, SK127, SK137",Yes,Yes,Very High,ROLE002
PROJ0123,Web Development Project 123,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK123, SK128, SK138",Yes,No,Medium,ROLE003
PROJ0124,Cloud Project 124,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK124, SK129, SK139",Yes,No,High,ROLE004
PROJ0125,Cyber Security Project 125,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK125, SK130, SK140",Yes,No,Very High,ROLE005
PROJ0126,Mobile Project 126,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK126, SK131, SK141",Yes,No,Medium,ROLE006
PROJ0127,DevOps Project 127,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK127, SK132, SK142",Yes,No,High,ROLE007
PROJ0128,IoT Project 128,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK128, SK133, SK143",Yes,No,Very High,ROLE008
PROJ0129,Blockchain Project 129,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK129, SK134, SK144",Yes,No,Medium,ROLE009
PROJ0130,UI/UX Project 130,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK130, SK135, SK145",Yes,No,High,ROLE010
PROJ0131,AI Project 131,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK131, SK136, SK146",Yes,Yes,Very High,ROLE011
PROJ0132,Data Science Project 132,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK132, SK137, SK147",Yes,Yes,Medium,ROLE012
PROJ0133,Web Development Project 133,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK133, SK138, SK148",Yes,No,High,ROLE013
PROJ0134,Cloud Project 134,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK134, SK139, SK149",Yes,No,Very High,ROLE014
PROJ0135,Cyber Security Project 135,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK135, SK140, SK150",Yes,No,Medium,ROLE015
PROJ0136,Mobile Project 136,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK136, SK141, SK151",Yes,No,High,ROLE016
PROJ0137,DevOps Project 137,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK137, SK142, SK152",Yes,No,Very High,ROLE017
PROJ0138,IoT Project 138,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK138, SK143, SK153",Yes,No,Medium,ROLE018
PROJ0139,Blockchain Project 139,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK139, SK144, SK154",Yes,No,High,ROLE019
PROJ0140,UI/UX Project 140,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK140, SK145, SK155",Yes,No,Very High,ROLE020
PROJ0141,AI Project 141,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK141, SK146, SK156",Yes,Yes,Medium,ROLE021
PROJ0142,Data Science Project 142,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK142, SK147, SK157",Yes,Yes,High,ROLE022
PROJ0143,Web Development Project 143,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK143, SK148, SK158",Yes,No,Very High,ROLE023
PROJ0144,Cloud Project 144,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK144, SK149, SK159",Yes,No,Medium,ROLE024
PROJ0145,Cyber Security Project 145,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK145, SK150, SK160",Yes,No,High,ROLE025
PROJ0146,Mobile Project 146,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK146, SK151, SK161",Yes,No,Very High,ROLE026
PROJ0147,DevOps Project 147,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK147, SK152, SK162",Yes,No,Medium,ROLE027
PROJ0148,IoT Project 148,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK148, SK153, SK163",Yes,No,High,ROLE028
PROJ0149,Blockchain Project 149,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK149, SK154, SK164",Yes,No,Very High,ROLE029
PROJ0150,UI/UX Project 150,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK150, SK155, SK165",Yes,No,Medium,ROLE030
PROJ0151,AI Project 151,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK151, SK156, SK166",Yes,Yes,High,ROLE031
PROJ0152,Data Science Project 152,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK152, SK157, SK167",Yes,Yes,Very High,ROLE032
PROJ0153,Web Development Project 153,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK153, SK158, SK168",Yes,No,Medium,ROLE033
PROJ0154,Cloud Project 154,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK154, SK159, SK169",Yes,No,High,ROLE034
PROJ0155,Cyber Security Project 155,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK155, SK160, SK170",Yes,No,Very High,ROLE035
PROJ0156,Mobile Project 156,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK156, SK161, SK171",Yes,No,Medium,ROLE036
PROJ0157,DevOps Project 157,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK157, SK162, SK172",Yes,No,High,ROLE037
PROJ0158,IoT Project 158,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK158, SK163, SK173",Yes,No,Very High,ROLE038
PROJ0159,Blockchain Project 159,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK159, SK164, SK174",Yes,No,Medium,ROLE039
PROJ0160,UI/UX Project 160,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK160, SK165, SK175",Yes,No,High,ROLE040
PROJ0161,AI Project 161,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK161, SK166, SK176",Yes,Yes,Very High,ROLE041
PROJ0162,Data Science Project 162,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK162, SK167, SK177",Yes,Yes,Medium,ROLE042
PROJ0163,Web Development Project 163,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK163, SK168, SK178",Yes,No,High,ROLE043
PROJ0164,Cloud Project 164,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK164, SK169, SK179",Yes,No,Very High,ROLE044
PROJ0165,Cyber Security Project 165,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK165, SK170, SK180",Yes,No,Medium,ROLE045
PROJ0166,Mobile Project 166,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK166, SK171, SK181",Yes,No,High,ROLE046
PROJ0167,DevOps Project 167,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK167, SK172, SK182",Yes,No,Very High,ROLE047
PROJ0168,IoT Project 168,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK168, SK173, SK183",Yes,No,Medium,ROLE048
PROJ0169,Blockchain Project 169,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK169, SK174, SK184",Yes,No,High,ROLE049
PROJ0170,UI/UX Project 170,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK170, SK175, SK185",Yes,No,Very High,ROLE050
PROJ0171,AI Project 171,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK171, SK176, SK186",Yes,Yes,Medium,ROLE051
